batch	shots	toffoli	clifford	classical_failures	phase_failure_shots	ancilla_failure_shots	any_failure_shots	phase_garbage_batches	ancilla_garbage_batches	inputs_end_offset
0	64	62456838	728605961	0	0	0	0	0	0	36076
2	64	62464420	728672936	0	0	0	0	0	0	72037
7	64	62459058	728625766	0	0	0	0	0	0	108018
6	64	62455873	728594760	0	0	0	0	0	0	144023
1	64	62462427	728656370	0	0	0	0	0	0	179959
3	64	62461451	728643112	0	0	0	0	0	0	215952
4	64	62453406	728581477	0	0	0	0	0	0	251941
5	64	62459670	728626266	0	0	0	0	0	0	287914
8	64	62460682	728636609	0	0	0	0	0	0	323904
10	64	62456194	728595592	0	0	0	0	0	0	359952
15	64	62461414	728646079	0	0	0	0	0	0	396022
14	64	62452130	728566189	0	0	0	0	0	0	432067
9	64	62450977	728550107	0	0	0	0	0	0	468042
11	64	62454873	728585935	0	0	0	0	0	0	504073
12	64	62453730	728578471	0	0	0	0	0	0	540117
13	64	62454862	728588460	0	0	0	0	0	0	576169
16	64	62471956	728734650	0	0	0	0	0	0	612285
23	64	62456421	728611485	0	0	0	0	0	0	648398
18	64	62460041	728629284	0	0	0	0	0	0	684512
22	64	62458682	728621329	0	0	0	0	0	0	720621
17	64	62464054	728665767	0	0	0	0	0	0	756716
19	64	62463890	728667101	0	0	0	0	0	0	792817
20	64	62451777	728556452	0	0	0	0	0	0	828920
21	64	62451820	728568936	0	0	0	0	0	0	865039
31	64	62464824	728673495	0	0	0	0	0	0	901171
24	64	62460913	728638131	0	0	0	0	0	0	937276
26	64	62467262	728696637	0	0	0	0	0	0	973391
25	64	62447953	728528148	0	0	0	0	0	0	1009502
30	64	62471898	728730727	0	0	0	0	0	0	1045615
27	64	62454961	728592210	0	0	0	0	0	0	1081726
29	64	62464207	728670898	0	0	0	0	0	0	1117834
28	64	62450066	728550805	0	0	0	0	0	0	1153946
32	64	62469615	728715891	0	0	0	0	0	0	1190049
39	64	62457051	728610633	0	0	0	0	0	0	1226144
34	64	62461534	728653116	0	0	0	0	0	0	1262253
33	64	62479656	728797520	0	0	0	0	0	0	1298378
38	64	62477148	728775335	0	0	0	0	0	0	1334487
37	64	62458060	728613836	0	0	0	0	0	0	1370614
35	64	62462651	728653932	0	0	0	0	0	0	1406737
36	64	62459562	728628480	0	0	0	0	0	0	1442841
42	64	62457614	728605362	0	0	0	0	0	0	1478952
47	64	62450136	728544421	0	0	0	0	0	0	1515061
40	64	62458857	728618576	0	0	0	0	0	0	1551175
41	64	62474798	728749978	0	0	0	0	0	0	1587279
46	64	62461599	728650087	0	0	0	0	0	0	1623384
45	64	62458452	728625582	0	0	0	0	0	0	1659504
43	64	62475077	728759121	0	0	0	0	0	0	1695616
44	64	62453178	728575700	0	0	0	0	0	0	1731717
50	64	62477389	728774748	0	0	0	0	0	0	1767831
55	64	62459962	728637976	0	0	0	0	0	0	1803932
48	64	62460043	728638119	0	0	0	0	0	0	1840044
49	64	62462289	728654038	0	0	0	0	0	0	1876163
54	64	62453867	728584439	0	0	0	0	0	0	1912280
53	64	62463279	728663007	0	0	0	0	0	0	1948382
58	64	62465793	728684888	0	0	0	0	0	0	1984490
52	64	62465517	728680436	0	0	0	0	0	0	2020610
51	64	62457492	728616093	0	0	0	0	0	0	2056727
63	64	62460390	728631624	0	0	0	0	0	0	2092846
62	64	62463095	728657090	0	0	0	0	0	0	2128951
57	64	62472243	728734172	0	0	0	0	0	0	2165048
56	64	62453338	728577387	0	0	0	0	0	0	2201184
61	64	62447789	728534962	0	0	0	0	0	0	2237308
66	64	62455738	728598846	0	0	0	0	0	0	2273426
