batch	shots	toffoli	clifford	classical_failures	phase_failure_shots	ancilla_failure_shots	any_failure_shots	phase_garbage_batches	ancilla_garbage_batches	inputs_end_offset
1	64	65222159	760410178	0	0	0	0	0	0	36098
0	64	65212443	760327782	0	0	0	0	0	0	72012
7	64	65210466	760309685	0	0	0	0	0	0	107993
3	64	65220358	760391465	0	0	0	0	0	0	143986
4	64	65216369	760361441	0	0	0	0	0	0	179975
6	64	65230652	760481582	0	0	0	0	0	0	215980
5	64	65213635	760339668	0	0	0	0	0	0	251953
2	64	65226512	760451990	0	0	0	0	0	0	287914
9	64	65229217	760465161	0	0	0	0	0	0	323889
8	64	65220669	760392764	0	0	0	0	0	0	359879
15	64	65227129	760454086	0	0	0	0	0	0	395949
11	64	65215671	760346816	0	0	0	0	0	0	431980
12	64	65230918	760481690	0	0	0	0	0	0	468024
14	64	65229952	760477560	0	0	0	0	0	0	504069
13	64	65216924	760368077	0	0	0	0	0	0	540121
10	64	65223001	760417490	0	0	0	0	0	0	576169
17	64	65233088	760502337	0	0	0	0	0	0	612264
16	64	65236591	760538148	0	0	0	0	0	0	648380
23	64	65220462	760402102	0	0	0	0	0	0	684493
19	64	65220027	760387528	0	0	0	0	0	0	720594
20	64	65214735	760342784	0	0	0	0	0	0	756697
22	64	65212678	760331673	0	0	0	0	0	0	792806
21	64	65230728	760484944	0	0	0	0	0	0	828925
18	64	65211889	760321168	0	0	0	0	0	0	865039
25	64	65213407	760341147	0	0	0	0	0	0	901150
31	64	65223229	760415447	0	0	0	0	0	0	937282
24	64	65227024	760449103	0	0	0	0	0	0	973387
27	64	65232491	760500409	0	0	0	0	0	0	1009498
28	64	65218278	760375115	0	0	0	0	0	0	1045610
30	64	65214585	760346074	0	0	0	0	0	0	1081723
33	64	65221881	760404659	0	0	0	0	0	0	1117848
29	64	65220406	760393871	0	0	0	0	0	0	1153956
26	64	65229571	760476643	0	0	0	0	0	0	1190071
39	64	65221104	760398829	0	0	0	0	0	0	1226166
32	64	65222009	760413667	0	0	0	0	0	0	1262269
36	64	65232887	760501035	0	0	0	0	0	0	1298373
35	64	65218276	760379998	0	0	0	0	0	0	1334496
38	64	65226420	760440743	0	0	0	0	0	0	1370605
41	64	65216218	760354024	0	0	0	0	0	0	1406709
37	64	65221382	760398411	0	0	0	0	0	0	1442836
34	64	65215372	760360675	0	0	0	0	0	0	1478945
47	64	65217846	760374471	0	0	0	0	0	0	1515054
40	64	65238287	760543714	0	0	0	0	0	0	1551168
44	64	65228849	760467234	0	0	0	0	0	0	1587269
43	64	65216934	760365910	0	0	0	0	0	0	1623381
46	64	65214958	760346265	0	0	0	0	0	0	1659486
49	64	65222573	760413039	0	0	0	0	0	0	1695605
45	64	65226948	760451479	0	0	0	0	0	0	1731725
42	64	65232945	760495717	0	0	0	0	0	0	1767836
55	64	65216046	760362626	0	0	0	0	0	0	1803937
48	64	65221471	760403154	0	0	0	0	0	0	1840049
52	64	65227205	760454303	0	0	0	0	0	0	1876169
51	64	65229346	760470755	0	0	0	0	0	0	1912286
54	64	65207670	760294320	0	0	0	0	0	0	1948403
57	64	65225378	760436220	0	0	0	0	0	0	1984500
53	64	65222925	760422138	0	0	0	0	0	0	2020602
50	64	65226627	760442309	0	0	0	0	0	0	2056716
63	64	65221210	760403774	0	0	0	0	0	0	2092835
56	64	65226939	760445215	0	0	0	0	0	0	2128971
60	64	65223266	760422576	0	0	0	0	0	0	2165068
59	64	65230203	760471550	0	0	0	0	0	0	2201194
65	64	65217101	760366681	0	0	0	0	0	0	2237293
62	64	65235527	760526643	0	0	0	0	0	0	2273398
58	64	65217839	760376002	0	0	0	0	0	0	2309506
61	64	65223848	760426194	0	0	0	0	0	0	2345630
71	64	65209182	760293832	0	0	0	0	0	0	2381752
67	64	65237194	760537735	0	0	0	0	0	0	2417878
68	64	65210713	760314825	0	0	0	0	0	0	2453997
64	64	65222183	760404758	0	0	0	0	0	0	2490110
73	64	65210697	760307028	0	0	0	0	0	0	2526233
70	64	65210332	760313655	0	0	0	0	0	0	2562340
66	64	65220015	760385494	0	0	0	0	0	0	2598458
69	64	65233084	760504450	0	0	0	0	0	0	2634579
79	64	65218283	760380829	0	0	0	0	0	0	2670670
75	64	65243609	760591210	0	0	0	0	0	0	2706778
76	64	65223933	760430935	0	0	0	0	0	0	2742882
72	64	65214109	760333465	0	0	0	0	0	0	2778986
81	64	65235020	760523444	0	0	0	0	0	0	2815106
78	64	65235693	760529447	0	0	0	0	0	0	2851229
74	64	65215162	760348844	0	0	0	0	0	0	2887338
77	64	65223234	760418377	0	0	0	0	0	0	2923444
87	64	65223973	760428568	0	0	0	0	0	0	2959558
83	64	65220338	760390432	0	0	0	0	0	0	2995667
84	64	65227550	760449893	0	0	0	0	0	0	3031783
80	64	65226189	760443803	0	0	0	0	0	0	3067904
89	64	65213088	760332423	0	0	0	0	0	0	3104016
86	64	65221565	760401426	0	0	0	0	0	0	3140123
95	64	65218645	760383576	0	0	0	0	0	0	3176216
85	64	65218393	760381056	0	0	0	0	0	0	3212329
82	64	65235898	760528059	0	0	0	0	0	0	3248439
