batch	shots	toffoli	clifford	classical_failures	phase_failure_shots	ancilla_failure_shots	any_failure_shots	phase_garbage_batches	ancilla_garbage_batches	inputs_end_offset
1	64	68980786	801327148	0	0	0	0	0	0	36098
7	64	68997261	801468902	0	0	0	0	0	0	72079
5	64	69000985	801501933	0	0	0	0	0	0	108052
3	64	68988632	801388733	0	0	0	0	0	0	144045
2	64	69006355	801548972	0	0	0	0	0	0	180006
4	64	69000455	801497221	0	0	0	0	0	0	215995
6	64	68998200	801476001	0	0	0	0	0	0	252000
0	64	68998374	801475856	0	0	0	0	0	0	287914
15	64	68976205	801290693	0	0	0	0	0	0	323984
9	64	68966052	801199259	0	0	0	0	0	0	359959
13	64	68996423	801454192	0	0	0	0	0	0	396011
11	64	69002858	801507807	0	0	0	0	0	0	432042
10	64	68995756	801448940	0	0	0	0	0	0	468090
12	64	69017429	801632409	0	0	0	0	0	0	504134
8	64	68988647	801395188	0	0	0	0	0	0	540124
14	64	69014473	801610144	0	0	0	0	0	0	576169
23	64	68972274	801249523	0	0	0	0	0	0	612282
17	64	68993567	801433869	0	0	0	0	0	0	648377
19	64	69005562	801540731	0	0	0	0	0	0	684478
21	64	68982787	801348277	0	0	0	0	0	0	720597
18	64	68996365	801457743	0	0	0	0	0	0	756711
20	64	69010779	801572567	0	0	0	0	0	0	792814
16	64	68999912	801493109	0	0	0	0	0	0	828930
22	64	69003625	801520149	0	0	0	0	0	0	865039
31	64	68991110	801412787	0	0	0	0	0	0	901171
25	64	68976950	801294174	0	0	0	0	0	0	937282
27	64	68982623	801344483	0	0	0	0	0	0	973393
29	64	68991563	801415855	0	0	0	0	0	0	1009501
26	64	68994292	801444494	0	0	0	0	0	0	1045616
28	64	68969137	801226488	0	0	0	0	0	0	1081728
24	64	68994253	801443910	0	0	0	0	0	0	1117833
30	64	68980524	801329505	0	0	0	0	0	0	1153946
39	64	68993890	801441982	0	0	0	0	0	0	1190041
33	64	68974179	801263873	0	0	0	0	0	0	1226166
35	64	68979345	801319122	0	0	0	0	0	0	1262289
37	64	68981272	801315914	0	0	0	0	0	0	1298416
