batch	shots	toffoli	clifford	classical_failures	phase_failure_shots	ancilla_failure_shots	any_failure_shots	phase_garbage_batches	ancilla_garbage_batches	inputs_end_offset
0	64	69010751	801581480	0	0	0	0	0	0	36076
5	64	68981102	801334472	0	0	0	0	0	0	72049
3	64	68999509	801486209	0	0	0	0	0	0	108042
6	64	69021080	801672019	0	0	0	0	0	0	144047
2	64	68987901	801393943	0	0	0	0	0	0	180008
1	64	68975201	801279836	0	0	0	0	0	0	215944
7	64	69008807	801564341	0	0	0	0	0	0	251925
4	64	68998514	801475055	0	0	0	0	0	0	287914
8	64	68980028	801317075	0	0	0	0	0	0	323904
13	64	68998640	801481523	0	0	0	0	0	0	359956
14	64	68985233	801363357	0	0	0	0	0	0	396001
11	64	68986541	801373788	0	0	0	0	0	0	432032
9	64	68994785	801446469	0	0	0	0	0	0	468007
10	64	69004636	801526586	0	0	0	0	0	0	504055
15	64	69009932	801577168	0	0	0	0	0	0	540125
12	64	69020039	801657645	0	0	0	0	0	0	576169
16	64	69015345	801627432	0	0	0	0	0	0	612285
21	64	68986946	801388138	0	0	0	0	0	0	648404
22	64	68991427	801420503	0	0	0	0	0	0	684513
19	64	69009566	801566671	0	0	0	0	0	0	720614
17	64	69000346	801493997	0	0	0	0	0	0	756709
18	64	68992144	801416870	0	0	0	0	0	0	792823
23	64	68991614	801420754	0	0	0	0	0	0	828936
20	64	68995035	801440053	0	0	0	0	0	0	865039
24	64	68987250	801380437	0	0	0	0	0	0	901144
29	64	68987205	801381741	0	0	0	0	0	0	937252
30	64	69023455	801686500	0	0	0	0	0	0	973365
27	64	69007977	801560432	0	0	0	0	0	0	1009476
25	64	68997514	801472664	0	0	0	0	0	0	1045587
26	64	69012264	801594726	0	0	0	0	0	0	1081702
31	64	68977453	801300808	0	0	0	0	0	0	1117834
28	64	69002523	801512322	0	0	0	0	0	0	1153946
32	64	69006506	801544186	0	0	0	0	0	0	1190049
37	64	69002906	801509775	0	0	0	0	0	0	1226176
38	64	68998071	801475171	0	0	0	0	0	0	1262285
35	64	68985933	801369451	0	0	0	0	0	0	1298408
33	64	68972413	801254528	0	0	0	0	0	0	1334533
34	64	69008648	801570550	0	0	0	0	0	0	1370642
40	64	69021850	801669693	0	0	0	0	0	0	1406756
36	64	68997521	801467021	0	0	0	0	0	0	1442860
39	64	69007499	801547156	0	0	0	0	0	0	1478955
45	64	68999953	801495502	0	0	0	0	0	0	1515075
46	64	69003886	801518649	0	0	0	0	0	0	1551180
