candidate,stratum,index,classical,phase,ancilla
jump2,G-s0,597,1,0,0
jump2,G-s0,707,1,1,0
jump2,G-s0,1161,1,0,0
jump2,G-s0,1245,1,1,0
jump2,G-s0,1514,1,0,0
jump2,G-s0,1560,1,0,0
jump2,G-s0,1919,1,0,0
jump2,G-s0,3187,1,0,0
jump2,G-s0,3983,1,1,0
jump2,G-s0,4933,1,1,0
jump2,G-s0,5832,1,1,0
jump2,G-s0,5917,1,0,0
jump2,G-s0,6272,1,0,0
jump2,G-s0,6774,1,0,0
jump2,G-s0,7265,1,1,0
jump2,G-s0,7278,0,1,0
jump2,G-s0,8594,1,0,0
jump2,G-s0,9105,1,0,0
jump2,G-s128,214,1,0,0
jump2,G-s128,386,1,1,0
jump2,G-s128,584,1,1,0
jump2,G-s128,934,1,0,0
jump2,G-s128,2751,1,1,0
jump2,G-s128,3677,1,0,0
jump2,G-s128,4058,1,1,0
jump2,G-s128,4117,1,1,0
jump2,G-s128,4172,1,1,0
jump2,G-s128,4570,1,1,0
jump2,G-s128,4611,1,0,0
jump2,G-s128,4888,0,1,0
jump2,G-s128,5107,1,1,0
jump2,G-s128,5592,0,1,0
jump2,G-s128,6855,0,1,0
jump2,G-s128,7250,1,0,0
jump2,G-s128,7869,1,1,0
jump2,G-s128,8815,0,1,0
jump2,G-s128,9421,0,1,0
jump2,G-s128,10495,1,0,0
jump2,G-s240,82,0,1,0
jump2,G-s240,329,0,1,0
jump2,G-s240,1572,1,1,0
jump2,G-s240,2135,1,0,0
jump2,G-s240,4073,1,1,0
jump2,G-s240,4157,1,1,0
jump2,G-s240,4506,1,1,0
jump2,G-s240,4885,1,0,0
jump2,G-s240,5026,1,0,0
jump2,G-s240,5065,1,0,0
jump2,G-s240,5301,1,0,0
jump2,G-s240,5675,1,1,0
jump2,G-s240,5808,1,1,0
jump2,G-s240,6086,1,0,0
jump2,G-s240,6441,1,1,0
jump2,G-s240,7500,1,0,0
jump2,G-s240,7973,1,0,0
jump2,G-s240,8253,1,0,0
jump2,G-s240,8489,1,0,0
jump2,G-s240,8627,1,1,0
jump2,G-s240,9052,0,1,0
jump2,G-s240,9429,1,0,0
jump2,G-s240,10105,0,1,0
jump2,G-s240,10209,1,0,0
jump2,G-s240,10803,0,1,0
jump2,G-s240,10992,0,1,0
