batch	shots	toffoli	clifford	classical_failures	phase_failure_shots	ancilla_failure_shots	any_failure_shots	phase_garbage_batches	ancilla_garbage_batches	inputs_end_offset
3	64	80187472	4876621519	0	0	0	0	0	0	36148
0	64	80185194	4867593851	0	0	0	0	0	0	72051
4	64	80184030	4872820644	0	0	0	0	0	0	108015
7	64	80199114	4879559342	0	0	0	0	0	0	143995
1	64	80178157	4874898940	0	0	0	0	0	0	179953
6	64	80183897	4874178186	0	0	0	0	0	0	215933
5	64	80156564	4877817635	0	0	0	0	0	0	251919
2	64	80164280	4880834780	0	0	0	0	0	0	287888
9	64	80184980	4877834921	0	0	0	0	0	0	323861
10	64	80175773	4882628199	0	0	0	0	0	0	359906
11	64	80178410	4884422756	0	0	0	0	0	0	395967
14	64	80158353	4874080756	0	0	0	0	0	0	432014
12	64	80186944	4872725623	0	0	0	0	0	0	468060
8	64	80189870	4875065061	0	0	0	0	0	0	504048
13	64	80210721	4884751991	0	0	0	0	0	0	540092
15	64	80182653	4870289842	0	0	0	0	0	0	576158
22	64	80173877	4878381525	0	0	0	0	0	0	612256
20	64	80198685	4872649106	0	0	0	0	0	0	648365
21	64	80175227	4875161521	0	0	0	0	0	0	684465
17	64	80179479	4873317766	0	0	0	0	0	0	720588
16	64	80168460	4876348585	0	0	0	0	0	0	756689
19	64	80191666	4874265686	0	0	0	0	0	0	792800
23	64	80191366	4874406261	0	0	0	0	0	0	828922
18	64	80179604	4880244398	0	0	0	0	0	0	865042
24	64	80183930	4883990217	0	0	0	0	0	0	901152
31	64	80194552	4876991012	0	0	0	0	0	0	937246
29	64	80178282	4872744881	0	0	0	0	0	0	973356
25	64	80182549	4875465293	0	0	0	0	0	0	1009447
30	64	80186183	4872329074	0	0	0	0	0	0	1045552
27	64	80162216	4876470043	0	0	0	0	0	0	1081670
28	64	80177767	4870973584	0	0	0	0	0	0	1117793
26	64	80189437	4874937765	0	0	0	0	0	0	1153887
35	64	80167782	4869781005	0	0	0	0	0	0	1190003
32	64	80178642	4881771987	0	0	0	0	0	0	1226125
37	64	80214550	4874775291	0	0	0	0	0	0	1262234
39	64	80186814	4879066291	0	0	0	0	0	0	1298342
33	64	80183058	4878237911	0	0	0	0	0	0	1334455
38	64	80173588	4868464272	0	0	0	0	0	0	1370565
36	64	80181539	4875915802	0	0	0	0	0	0	1406683
34	64	80173842	4875753670	0	0	0	0	0	0	1442811
43	64	80210752	4869450021	0	0	0	0	0	0	1478939
41	64	80185738	4881641715	0	0	0	0	0	0	1515053
46	64	80189891	4876487385	0	0	0	0	0	0	1551172
47	64	80175749	4876223474	0	0	0	0	0	0	1587299
45	64	80172456	4876164652	0	0	0	0	0	0	1623421
42	64	80181846	4884683643	0	0	0	0	0	0	1659555
44	64	80157591	4880931817	0	0	0	0	0	0	1695685
40	64	80183732	4884913784	0	0	0	0	0	0	1731805
51	64	80182162	4869237963	0	0	0	0	0	0	1767911
50	64	80160243	4874095946	0	0	0	0	0	0	1804030
48	64	80177988	4880541971	0	0	0	0	0	0	1840133
52	64	80195520	4872274503	0	0	0	0	0	0	1876243
54	64	80177481	4876817276	0	0	0	0	0	0	1912355
53	64	80200025	4877727528	0	0	0	0	0	0	1948460
55	64	80180845	4876225210	0	0	0	0	0	0	1984571
49	64	80170285	4883640851	0	0	0	0	0	0	2020675
59	64	80156104	4881124806	0	0	0	0	0	0	2056803
63	64	80175212	4878782130	0	0	0	0	0	0	2092908
56	64	80174382	4874838685	0	0	0	0	0	0	2129001
61	64	80177299	4877349925	0	0	0	0	0	0	2165105
60	64	80174160	4872201062	0	0	0	0	0	0	2201226
58	64	80184141	4872884474	0	0	0	0	0	0	2237341
57	64	80187300	4884626554	0	0	0	0	0	0	2273454
62	64	80172039	4865488882	0	0	0	0	0	0	2309562
69	64	80178285	4874692353	0	0	0	0	0	0	2345665
66	64	80169878	4871058465	0	0	0	0	0	0	2381765
67	64	80188310	4867049150	0	0	0	0	0	0	2417879
65	64	80164161	4867776112	0	0	0	0	0	0	2453990
71	64	80186273	4874436200	0	0	0	0	0	0	2490112
70	64	80170667	4869515630	0	0	0	0	0	0	2526221
64	64	80188322	4880886408	0	0	0	0	0	0	2562325
68	64	80180641	4878711211	0	0	0	0	0	0	2598446
75	64	80191751	4877568604	0	0	0	0	0	0	2634547
74	64	80168408	4873588118	0	0	0	0	0	0	2670658
73	64	80196693	4866809724	0	0	0	0	0	0	2706746
72	64	80171382	4875989724	0	0	0	0	0	0	2742860
77	64	80164816	4879987613	0	0	0	0	0	0	2778970
78	64	80177615	4880288895	0	0	0	0	0	0	2815076
76	64	80184404	4878840359	0	0	0	0	0	0	2851190
79	64	80190171	4874283449	0	0	0	0	0	0	2887301
82	64	80178831	4882540144	0	0	0	0	0	0	2923415
83	64	80187250	4871241501	0	0	0	0	0	0	2959526
87	64	80200001	4871979740	0	0	0	0	0	0	2995638
84	64	80201746	4874532976	0	0	0	0	0	0	3031744
80	64	80184929	4872714557	0	0	0	0	0	0	3067848
81	64	80164773	4878757563	0	0	0	0	0	0	3103964
85	64	80178950	4876203179	0	0	0	0	0	0	3140080
86	64	80187578	4869395089	0	0	0	0	0	0	3176188
89	64	80186096	4867235919	0	0	0	0	0	0	3212294
90	64	80182058	4879674033	0	0	0	0	0	0	3248407
94	64	80178161	4880702628	0	0	0	0	0	0	3284519
93	64	80187126	4875562557	0	0	0	0	0	0	3320623
92	64	80170596	4881295514	0	0	0	0	0	0	3356738
91	64	80188471	4874777682	0	0	0	0	0	0	3392845
95	64	80188407	4879068703	0	0	0	0	0	0	3428926
88	64	80185770	4867597463	0	0	0	0	0	0	3465046
97	64	80189499	4872536045	0	0	0	0	0	0	3501168
96	64	80190717	4877981011	0	0	0	0	0	0	3537269
100	64	80178712	4872675513	0	0	0	0	0	0	3573452
98	64	80188487	4875011020	0	0	0	0	0	0	3609561
103	64	80174217	4877533845	0	0	0	0	0	0	3645737
101	64	80157462	4873193670	0	0	0	0	0	0	3681894
99	64	80186629	4877264707	0	0	0	0	0	0	3717999
102	64	80185578	4872987533	0	0	0	0	0	0	3754183
110	64	80174109	4875631482	0	0	0	0	0	0	3790365
109	64	80199651	4881527552	0	0	0	0	0	0	3826543
111	64	80154973	4875558494	0	0	0	0	0	0	3862716
104	64	80173065	4879439550	0	0	0	0	0	0	3898896
106	64	80186074	4876348162	0	0	0	0	0	0	3935070
108	64	80154486	4873751429	0	0	0	0	0	0	3971240
107	64	80189509	4873312268	0	0	0	0	0	0	4007423
105	64	80187272	4870301140	0	0	0	0	0	0	4043603
113	64	80186448	4877802245	0	0	0	0	0	0	4079773
112	64	80207236	4877633780	0	0	0	0	0	0	4115954
115	64	80196442	4876288447	0	0	0	0	0	0	4152128
116	64	80190422	4878944245	0	0	0	0	0	0	4188297
119	64	80186229	4882362288	0	0	0	0	0	0	4224483
117	64	80185843	4877848146	0	0	0	0	0	0	4260663
118	64	80176970	4874459076	0	0	0	0	0	0	4296834
114	64	80192957	4877100661	0	0	0	0	0	0	4332999
126	64	80165820	4874306378	0	0	0	0	0	0	4369172
123	64	80166650	4873130280	0	0	0	0	0	0	4405354
120	64	80182356	4873606740	0	0	0	0	0	0	4441524
127	64	80187709	4880085399	0	0	0	0	0	0	4477700
124	64	80177609	4869273966	0	0	0	0	0	0	4513876
121	64	80182956	4869773228	0	0	0	0	0	0	4550043
122	64	80172045	4872977241	0	0	0	0	0	0	4586214
125	64	80190009	4883891756	0	0	0	0	0	0	4622395
132	64	80163871	4867400646	0	0	0	0	0	0	4658579
128	64	80177221	4875985236	0	0	0	0	0	0	4694754
131	64	80184113	4877137259	0	0	0	0	0	0	4730947
129	64	80198344	4879064056	0	0	0	0	0	0	4767132
130	64	80167819	4876857631	0	0	0	0	0	0	4803314
135	64	80183042	4884464872	0	0	0	0	0	0	4839495
134	64	80181061	4876578068	0	0	0	0	0	0	4875681
133	64	80164090	4864868216	0	0	0	0	0	0	4911853
137	64	80190528	4870669476	0	0	0	0	0	0	4948034
138	64	80194889	4880266223	0	0	0	0	0	0	4984197
139	64	80182325	4870605308	0	0	0	0	0	0	5020377
140	64	80172269	4874306691	0	0	0	0	0	0	5056570
141	64	80183848	4872698419	0	0	0	0	0	0	5092731
136	64	80178944	4867438124	0	0	0	0	0	0	5128908
143	64	80188276	4874528099	0	0	0	0	0	0	5165083
142	64	80179910	4875351474	0	0	0	0	0	0	5201250
149	64	80197580	4875276152	0	0	0	0	0	0	5237417
148	64	80156038	4871365970	0	0	0	0	0	0	5273598
145	64	80188927	4882099967	0	0	0	0	0	0	5309777
