batch	shots	toffoli	clifford	classical_failures	phase_failure_shots	ancilla_failure_shots	any_failure_shots	phase_garbage_batches	ancilla_garbage_batches	inputs_end_offset
2	64	80180798	4869646404	0	0	0	0	0	0	36145
3	64	80186458	4877760122	0	0	0	0	0	0	72117
1	64	80168725	4876296039	0	0	0	0	0	0	108055
7	64	80176530	4882338430	0	0	0	0	0	0	144042
4	64	80170110	4881358925	0	0	0	0	0	0	180015
0	64	80178184	4874542166	0	0	0	0	0	0	215920
6	64	80184184	4870544742	0	0	0	0	0	0	251909
5	64	80176295	4868311378	0	0	0	0	0	0	287888
15	64	80170894	4871949203	0	0	0	0	0	0	323953
12	64	80187548	4876721003	0	0	0	0	0	0	359997
13	64	80183951	4862924060	0	0	0	0	0	0	396054
14	64	80196668	4873771133	0	0	0	0	0	0	432099
10	64	80170793	4878440120	0	0	0	0	0	0	468146
11	64	80186599	4879411617	0	0	0	0	0	0	504201
8	64	80180383	4874919828	0	0	0	0	0	0	540180
9	64	80168023	4872587245	0	0	0	0	0	0	576155
21	64	80181180	4868782197	0	0	0	0	0	0	612271
17	64	80186154	4876623602	0	0	0	0	0	0	648377
23	64	80189415	4874257583	0	0	0	0	0	0	684491
18	64	80191228	4876806133	0	0	0	0	0	0	720620
20	64	80188117	4873125456	0	0	0	0	0	0	756735
19	64	80195413	4876885986	0	0	0	0	0	0	792852
16	64	80170538	4878599750	0	0	0	0	0	0	828953
22	64	80184270	4870071737	0	0	0	0	0	0	865069
28	64	80173793	4874120335	0	0	0	0	0	0	901187
25	64	80176858	4879581439	0	0	0	0	0	0	937303
30	64	80183326	4867633526	0	0	0	0	0	0	973404
24	64	80186688	4875765088	0	0	0	0	0	0	1009521
26	64	80182668	4874374980	0	0	0	0	0	0	1045649
31	64	80171457	4875739475	0	0	0	0	0	0	1081751
29	64	80162453	4879890876	0	0	0	0	0	0	1117860
27	64	80171366	4869730580	0	0	0	0	0	0	1153959
35	64	80190363	4875165677	0	0	0	0	0	0	1190069
36	64	80163723	4875985021	0	0	0	0	0	0	1226186
39	64	80194010	4872021599	0	0	0	0	0	0	1262300
33	64	80176870	4877558328	0	0	0	0	0	0	1298394
32	64	80188219	4873311696	0	0	0	0	0	0	1334511
34	64	80202815	4875675032	0	0	0	0	0	0	1370628
37	64	80193748	4868289097	0	0	0	0	0	0	1406729
38	64	80181641	4876789901	0	0	0	0	0	0	1442839
44	64	80188378	4874169550	0	0	0	0	0	0	1478953
45	64	80169891	4870632775	0	0	0	0	0	0	1515068
47	64	80201113	4876857591	0	0	0	0	0	0	1551187
46	64	80191822	4879150366	0	0	0	0	0	0	1587305
42	64	80196280	4871258891	0	0	0	0	0	0	1623418
41	64	80178788	4875785075	0	0	0	0	0	0	1659536
43	64	80158414	4878482762	0	0	0	0	0	0	1695653
40	64	80190634	4871468823	0	0	0	0	0	0	1731768
52	64	80199778	4878111564	0	0	0	0	0	0	1767888
49	64	80195105	4874068749	0	0	0	0	0	0	1804003
50	64	80201090	4871481145	0	0	0	0	0	0	1840090
53	64	80208194	4872434186	0	0	0	0	0	0	1876191
54	64	80171191	4878861843	0	0	0	0	0	0	1912294
55	64	80186823	4874750460	0	0	0	0	0	0	1948412
48	64	80168794	4874846370	0	0	0	0	0	0	1984524
51	64	80166706	4876917380	0	0	0	0	0	0	2020631
58	64	80197786	4870494493	0	0	0	0	0	0	2056718
63	64	80186311	4882745126	0	0	0	0	0	0	2092834
62	64	80171699	4879017607	0	0	0	0	0	0	2128949
56	64	80179554	4874385791	0	0	0	0	0	0	2165053
60	64	80178822	4875187683	0	0	0	0	0	0	2201166
57	64	80195716	4872074826	0	0	0	0	0	0	2237283
59	64	80186399	4873254719	0	0	0	0	0	0	2273389
61	64	80174077	4876646844	0	0	0	0	0	0	2309506
65	64	80178782	4873933135	0	0	0	0	0	0	2345628
68	64	80175201	4874177356	0	0	0	0	0	0	2381734
71	64	80189064	4878567437	0	0	0	0	0	0	2417862
64	64	80181625	4864101848	0	0	0	0	0	0	2453965
70	64	80196822	4877657046	0	0	0	0	0	0	2490079
66	64	80179276	4868621383	0	0	0	0	0	0	2526195
67	64	80176493	4882366989	0	0	0	0	0	0	2562309
69	64	80184082	4874034542	0	0	0	0	0	0	2598425
79	64	80189257	4873578588	0	0	0	0	0	0	2634535
