batch	shots	toffoli	clifford	classical_failures	phase_failure_shots	ancilla_failure_shots	any_failure_shots	phase_garbage_batches	ancilla_garbage_batches	inputs_end_offset
2	64	97484809	4418633495	0	0	0	0	0	0	36131
0	64	97473644	4409631557	0	0	0	0	0	0	72034
3	64	97481271	4423718361	0	0	0	0	0	0	108020
1	64	97475072	4425763086	0	0	0	0	0	0	143978
5	64	97468491	4417590417	0	0	0	0	0	0	179964
6	64	97477664	4419936184	0	0	0	0	0	0	215944
4	64	97479157	4417860525	0	0	0	0	0	0	251908
7	64	97466256	4419542818	0	0	0	0	0	0	287888
12	64	97487858	4418402129	0	0	0	0	0	0	323934
14	64	97479025	4416071665	0	0	0	0	0	0	359981
11	64	97477696	4425626906	1	1	0	1	1	0	396042
15	64	97478113	4418220335	0	0	0	0	0	0	432108
10	64	97478052	4420512674	0	0	0	0	0	0	468153
8	64	97477137	4420386096	0	0	0	0	0	0	504141
13	64	97475466	4429491059	0	0	0	0	0	0	540185
9	64	97484497	4420029363	1	0	0	1	0	0	576158
17	64	97486042	4419099768	0	0	0	0	0	0	612281
21	64	97476403	4420334132	0	0	0	0	0	0	648381
20	64	97479728	4420164588	0	0	0	0	0	0	684490
16	64	97484079	4415028574	0	0	0	0	0	0	720591
23	64	97484474	4416602392	1	0	0	1	0	0	756713
18	64	97462685	4415746940	1	0	0	1	0	0	792833
19	64	97474067	4417742759	1	1	0	1	1	0	828944
22	64	97479434	4422017105	0	0	0	0	0	0	865042
28	64	97470835	4423590337	0	0	0	0	0	0	901165
31	64	97473943	4417103671	0	0	0	0	0	0	937259
30	64	97485409	4420852921	0	0	0	0	0	0	973364
27	64	97485125	4425276126	0	0	0	0	0	0	1009482
24	64	97473502	4422328900	1	0	0	1	0	0	1045592
29	64	97481295	4415358871	1	0	0	1	0	0	1081702
25	64	97476727	4420740781	0	0	0	0	0	0	1117793
26	64	97486358	4419365366	0	0	0	0	0	0	1153887
37	64	97482643	4417379073	0	0	0	0	0	0	1189996
39	64	97488676	4414165565	0	0	0	0	0	0	1226104
33	64	97488022	4420535555	0	0	0	0	0	0	1262217
34	64	97488075	4428508328	0	0	0	0	0	0	1298345
36	64	97478306	4415806354	0	0	0	0	0	0	1334463
32	64	97478543	4420727117	0	0	0	0	0	0	1370585
35	64	97471007	4416725947	0	0	0	0	0	0	1406701
38	64	97473276	4421571355	0	0	0	0	0	0	1442811
47	64	97479408	4413680666	0	0	0	0	0	0	1478938
44	64	97485024	4425065586	0	0	0	0	0	0	1515068
45	64	97486427	4415058217	0	0	0	0	0	0	1551190
42	64	97482287	4422635240	0	0	0	0	0	0	1587324
43	64	97485686	4414301984	0	0	0	0	0	0	1623452
41	64	97482032	4427257476	0	0	0	0	0	0	1659566
40	64	97471163	4416368399	0	0	0	0	0	0	1695686
46	64	97476473	4413350665	0	0	0	0	0	0	1731805
54	64	97482820	4410612415	0	0	0	0	0	0	1767917
48	64	97467113	4418111537	0	0	0	0	0	0	1804020
50	64	97487108	4418488586	0	0	0	0	0	0	1840139
49	64	97473283	4422668205	1	0	0	1	0	0	1876244
51	64	97491482	4416970525	0	0	0	0	0	0	1912350
52	64	97473737	4416540554	0	0	0	0	0	0	1948460
53	64	97484274	4423147090	0	0	0	0	0	0	1984565
55	64	97490881	4417434445	0	0	0	0	0	0	2020676
56	64	97494441	4426488037	0	0	0	0	0	0	2056769
60	64	97477578	4417889828	0	0	0	0	0	0	2092890
58	64	97488058	4420423538	0	0	0	0	0	0	2129005
59	64	97477985	4423905051	0	0	0	0	0	0	2165133
57	64	97471283	4419948789	0	0	0	0	0	0	2201246
63	64	97483874	4427177499	0	0	0	0	0	0	2237351
62	64	97478028	4410089799	1	1	0	1	1	0	2273459
61	64	97485358	4417191034	0	0	0	0	0	0	2309563
66	64	97481696	4417456875	0	0	0	0	0	0	2345663
67	64	97476952	4415717313	0	0	0	0	0	0	2381777
64	64	97484402	4421003142	0	0	0	0	0	0	2417881
70	64	97471195	4418614233	0	0	0	0	0	0	2453990
68	64	97473046	4417037351	0	0	0	0	0	0	2490111
69	64	97483786	4418444403	0	0	0	0	0	0	2526214
71	64	97476722	4417387250	0	0	0	0	0	0	2562336
65	64	97482442	4404960602	0	0	0	0	0	0	2598447
72	64	97480169	4412496408	0	0	0	0	0	0	2634561
73	64	97470258	4419976390	0	0	0	0	0	0	2670649
76	64	97481609	4421332035	0	0	0	0	0	0	2706763
79	64	97474735	4416497514	0	0	0	0	0	0	2742874
78	64	97466438	4430875807	0	0	0	0	0	0	2778980
77	64	97472048	4416820035	1	1	0	1	1	0	2815090
74	64	97484296	4416238123	0	0	0	0	0	0	2851201
75	64	97481451	4426274232	0	0	0	0	0	0	2887302
84	64	97480362	4415915096	0	0	0	0	0	0	2923408
85	64	97482324	4418946893	0	0	0	0	0	0	2959524
87	64	97490190	4422992180	0	0	0	0	0	0	2995636
86	64	97483681	4413014122	0	0	0	0	0	0	3031744
80	64	97485990	4411870747	0	0	0	0	0	0	3067848
83	64	97473069	4423978603	0	0	0	0	0	0	3103959
82	64	97481236	4417078332	0	0	0	0	0	0	3140073
81	64	97485725	4423792764	0	0	0	0	0	0	3176189
95	64	97482035	4421936860	0	0	0	0	0	0	3212270
89	64	97476930	4416284980	0	0	0	0	0	0	3248376
88	64	97481994	4416074063	0	0	0	0	0	0	3284496
92	64	97481887	4414910892	1	0	0	1	0	0	3320611
94	64	97482369	4411084164	0	0	0	0	0	0	3356723
93	64	97485600	4414224447	0	0	0	0	0	0	3392827
90	64	97493801	4414123325	0	0	0	0	0	0	3428940
91	64	97480005	4425095494	1	1	0	1	1	0	3465047
101	64	97477165	4419122408	0	0	0	0	0	0	3501204
99	64	97476104	4423570723	0	0	0	0	0	0	3537309
103	64	97486630	4418267763	0	0	0	0	0	0	3573485
102	64	97487192	4409242584	0	0	0	0	0	0	3609669
96	64	97471111	4427229234	0	0	0	0	0	0	3645770
97	64	97479169	4420318927	0	0	0	0	0	0	3681892
98	64	97485171	4422012689	1	0	0	1	0	0	3718001
100	64	97469015	4419949983	0	0	0	0	0	0	3754184
105	64	97477417	4417120781	1	0	0	1	0	0	3790364
111	64	97482596	4419020824	0	0	0	0	0	0	3826537
110	64	97475458	4420623653	0	0	0	0	0	0	3862719
108	64	97479508	4414954792	0	0	0	0	0	0	3898889
106	64	97477362	4420620644	0	0	0	0	0	0	3935063
107	64	97482580	4424491449	0	0	0	0	0	0	3971246
109	64	97477945	4418997528	0	0	0	0	0	0	4007424
104	64	97486605	4417849333	0	0	0	0	0	0	4043604
118	64	97493357	4418085240	0	0	0	0	0	0	4079775
114	64	97468845	4418871923	0	0	0	0	0	0	4115940
119	64	97483764	4417017461	0	0	0	0	0	0	4152126
112	64	97469732	4419532580	0	0	0	0	0	0	4188307
113	64	97468849	4424614024	1	2	0	2	1	0	4224477
117	64	97489063	4412157516	0	0	0	0	0	0	4260657
116	64	97485417	4429840546	0	0	0	0	0	0	4296826
115	64	97472049	4419511565	0	0	0	0	0	0	4333000
124	64	97481230	4416203689	0	0	0	0	0	0	4369176
126	64	97476491	4417367215	0	0	0	0	0	0	4405349
122	64	97478575	4421800149	0	0	0	0	0	0	4441520
120	64	97476406	4413225437	0	0	0	0	0	0	4477690
127	64	97480351	4427730118	0	0	0	0	0	0	4513866
123	64	97495766	4429296372	0	0	0	0	0	0	4550048
121	64	97488378	4418672316	0	0	0	0	0	0	4586215
125	64	97492011	4418854098	0	0	0	0	0	0	4622396
132	64	97480211	4415697661	0	0	0	0	0	0	4658580
131	64	97481426	4431314637	0	0	0	0	0	0	4694773
130	64	97475594	4418300767	0	0	0	0	0	0	4730955
129	64	97482610	4420642414	0	0	0	0	0	0	4767140
128	64	97487712	4417567630	0	0	0	0	0	0	4803315
134	64	97485586	4419081523	1	0	0	1	0	0	4839501
135	64	97484349	4418428005	0	0	0	0	0	0	4875682
133	64	97478182	4409970410	0	0	0	0	0	0	4911854
139	64	97474866	4417890903	0	0	0	0	0	0	4948034
141	64	97476162	4426474242	0	0	0	0	0	0	4984195
142	64	97473912	4419887218	1	0	0	1	0	0	5020362
137	64	97471170	4413726067	0	0	0	0	0	0	5056543
138	64	97466503	4425675339	0	0	0	0	0	0	5092706
143	64	97470795	4419931610	0	0	0	0	0	0	5128881
136	64	97483417	4416090880	0	0	0	0	0	0	5165058
140	64	97484007	4421693675	0	0	0	0	0	0	5201251
150	64	97468860	4415566619	0	0	0	0	0	0	5237434
149	64	97476566	4411589451	0	0	0	0	0	0	5273601
151	64	97467490	4417404525	0	0	0	0	0	0	5309775
146	64	97476550	4419151667	0	0	0	0	0	0	5345957
145	64	97461111	4429052180	0	0	0	0	0	0	5382136
148	64	97483141	4413819667	0	0	0	0	0	0	5418317
144	64	97478177	4420906364	0	0	0	0	0	0	5454480
147	64	97480565	4415303183	0	0	0	0	0	0	5490670
155	64	97480311	4420734301	0	0	0	0	0	0	5526831
158	64	97490068	4425360041	0	0	0	0	0	0	5563084
152	64	97476889	4416709205	0	0	0	0	0	0	5599242
157	64	97477142	4412564204	0	0	0	0	0	0	5635471
156	64	97503874	4415790339	0	0	0	0	0	0	5671724
159	64	97494485	4416795607	0	0	0	0	0	0	5707959
153	64	97481897	4422146963	0	0	0	0	0	0	5744123
154	64	97499075	4420331311	0	0	0	0	0	0	5780312
162	64	97478118	4425281982	0	0	0	0	0	0	5816543
161	64	97480629	4413703598	0	0	0	0	0	0	5852779
167	64	97467266	4414405344	0	0	0	0	0	0	5889033
164	64	97479172	4417319812	0	0	0	0	0	0	5925278
163	64	97484285	4419152090	0	0	0	0	0	0	5961508
166	64	97485597	4417092685	0	0	0	0	0	0	5997742
165	64	97478502	4422429897	0	0	0	0	0	0	6033974
160	64	97478423	4422318872	0	0	0	0	0	0	6070218
173	39	59402093	2695750831	0	0	0	0	0	0	6092299
172	64	97474968	4413289484	0	0	0	0	0	0	6128532
168	64	97474813	4423569933	0	0	0	0	0	0	6164768
170	64	97472507	4413342512	0	0	0	0	0	0	6200998
171	64	97494262	4412928778	0	0	0	0	0	0	6237233
169	64	97490274	4421446806	0	0	0	0	0	0	6273456
