batch	shots	toffoli	clifford	classical_failures	phase_failure_shots	ancilla_failure_shots	any_failure_shots	phase_garbage_batches	ancilla_garbage_batches	inputs_end_offset
1	64	97485146	4421832337	0	0	0	0	0	0	36118
3	64	97482982	4414110640	0	0	0	0	0	0	72105
5	64	97484280	4418694280	0	0	0	0	0	0	108074
2	64	97496284	4424542913	0	0	0	0	0	0	144051
7	64	97480343	4421867898	0	0	0	0	0	0	180019
0	64	97490600	4422638032	0	0	0	0	0	0	215920
6	64	97486917	4425746632	0	0	0	0	0	0	251911
4	64	97476518	4421190124	0	0	0	0	0	0	287884
10	64	97473650	4412504500	0	0	0	0	0	0	323919
13	64	97489448	4416751830	0	0	0	0	0	0	359982
15	64	97475356	4414742894	0	0	0	0	0	0	396056
14	64	97492823	4416534531	0	0	0	0	0	0	432103
8	64	97490788	4419735330	0	0	0	0	0	0	468098
9	64	97485402	4417366782	0	0	0	0	0	0	504077
12	64	97479019	4424003498	0	0	0	0	0	0	540132
11	64	97492953	4416721829	0	0	0	0	0	0	576185
19	64	97472225	4420899375	0	0	0	0	0	0	612286
17	64	97475713	4410604799	0	0	0	0	0	0	648394
22	64	97483438	4422665047	0	0	0	0	0	0	684503
16	64	97482465	4413917465	0	0	0	0	0	0	720592
20	64	97477579	4419111749	0	0	0	0	0	0	756709
21	64	97483260	4415637369	0	0	0	0	0	0	792820
23	64	97472210	4417224187	0	0	0	0	0	0	828943
18	64	97490662	4408791602	0	0	0	0	0	0	865053
28	64	97491142	4420141410	0	0	0	0	0	0	901163
26	64	97483046	4412236780	1	0	0	1	0	0	937282
30	64	97483641	4417708574	0	0	0	0	0	0	973385
29	64	97468752	4402741213	0	0	0	0	0	0	1009497
27	64	97492873	4417669824	0	0	0	0	0	0	1045614
25	64	97481027	4415412138	0	0	0	0	0	0	1081719
24	64	97477365	4417883672	0	0	0	0	0	0	1117821
31	64	97487488	4414504539	0	0	0	0	0	0	1153926
36	64	97481696	4418392424	0	0	0	0	0	0	1190040
34	64	97480830	4421018856	0	0	0	0	0	0	1226155
37	64	97476879	4417495692	0	0	0	0	0	0	1262253
38	64	97475618	4416872814	0	0	0	0	0	0	1298358
33	64	97486598	4422213947	0	0	0	0	0	0	1334462
39	64	97484813	4417879179	0	0	0	0	0	0	1370564
32	64	97482730	4418644607	0	0	0	0	0	0	1406672
35	64	97485907	4406341544	0	0	0	0	0	0	1442768
44	64	97481752	4427075926	0	0	0	0	0	0	1478862
43	64	97482272	4423407160	0	0	0	0	0	0	1514990
47	64	97461455	4418455175	0	0	0	0	0	0	1551095
40	64	97469801	4423158079	0	0	0	0	0	0	1587206
45	64	97478726	4416159654	0	1	0	1	1	0	1623311
42	64	97474420	4423679704	1	0	0	1	0	0	1659437
46	64	97479293	4423230666	0	0	0	0	0	0	1695560
41	64	97487715	4409278371	0	0	0	0	0	0	1731664
53	64	97487477	4418989073	0	0	0	0	0	0	1767782
54	64	97485701	4420238633	0	0	0	0	0	0	1803909
55	64	97472917	4419666189	0	0	0	0	0	0	1840035
50	64	97475979	4423587011	0	0	0	0	0	0	1876146
48	64	97477105	4418198754	0	0	0	0	0	0	1912261
49	64	97483033	4414358247	0	1	0	1	1	0	1948369
52	64	97486822	4414266014	0	0	0	0	0	0	1984478
51	64	97482386	4425529871	0	0	0	0	0	0	2020576
63	64	97477310	4415262807	0	0	0	0	0	0	2056686
60	64	97498082	4427950110	0	0	0	0	0	0	2092815
61	64	97468990	4425818365	0	0	0	0	0	0	2128910
59	64	97478182	4413295105	0	0	0	0	0	0	2165024
56	64	97492549	4412326418	0	0	0	0	0	0	2201128
57	64	97472141	4416520448	0	0	0	0	0	0	2237221
62	64	97473117	4424120684	0	0	0	0	0	0	2273340
58	64	97476371	4422869635	0	0	0	0	0	0	2309432
70	64	97478153	4418911275	0	0	0	0	0	0	2345549
65	64	97472620	4428863737	0	0	0	0	0	0	2381666
64	64	97480638	4424279733	0	0	0	0	0	0	2417777
66	64	97484373	4421124704	0	0	0	0	0	0	2453887
67	64	97481311	4420130058	0	0	0	0	0	0	2489994
71	64	97484774	4423323091	0	0	0	0	0	0	2526092
68	64	97486196	4421687981	0	0	0	0	0	0	2562216
69	64	97487590	4413396450	0	0	0	0	0	0	2598326
72	64	97473950	4421022433	0	0	0	0	0	0	2634449
73	64	97483326	4417560350	1	0	0	1	0	0	2670556
79	64	97483376	4419681769	0	0	0	0	0	0	2706666
78	64	97476194	4424623383	0	0	0	0	0	0	2742762
75	64	97483937	4416502333	0	0	0	0	0	0	2778836
76	64	97470820	4417232464	0	0	0	0	0	0	2814930
74	64	97475225	4414641748	0	0	0	0	0	0	2851020
77	64	97486499	4419732804	1	0	0	1	0	0	2887132
87	64	97476417	4417289123	0	0	0	0	0	0	2923241
80	64	97477323	4415699457	0	0	0	0	0	0	2959358
84	64	97469210	4423672586	0	0	0	0	0	0	2995461
81	64	97473447	4421101163	0	0	0	0	0	0	3031566
85	64	97488060	4419897260	0	0	0	0	0	0	3067669
86	64	97477590	4422794465	0	0	0	0	0	0	3103770
82	64	97483545	4416282297	0	0	0	0	0	0	3139891
83	64	97490423	4415207557	0	0	0	0	0	0	3176006
91	64	97485280	4411115476	0	0	0	0	0	0	3212113
95	64	97466566	4421484313	1	1	0	1	1	0	3248208
