batch	shots	toffoli	clifford	classical_failures	phase_failure_shots	ancilla_failure_shots	any_failure_shots	phase_garbage_batches	ancilla_garbage_batches	inputs_end_offset
5	64	72149918	4781735868	0	0	0	0	0	0	36143
4	64	72156446	4779928459	0	0	0	0	0	0	72115
2	64	72172796	4785830247	0	0	0	0	0	0	108084
7	64	72147255	4778286549	0	0	0	0	0	0	144076
0	64	72171358	4786354431	0	0	0	0	0	0	179988
6	64	72173240	4786233989	0	0	0	0	0	0	215974
1	64	72168240	4784104149	0	0	0	0	0	0	251928
3	64	72170638	4777516882	0	0	0	0	0	0	287917
15	64	72185574	4782056382	0	0	0	0	0	0	323992
13	64	72168473	4776505069	0	0	0	0	0	0	360041
11	64	72168173	4785335850	0	0	0	0	0	0	396078
9	64	72162674	4793089274	0	0	0	0	0	0	432050
8	64	72171551	4788824591	0	0	0	0	0	0	468027
10	64	72156286	4784285572	0	0	0	0	0	0	504080
12	64	72169951	4784361729	0	0	0	0	0	0	540129
14	64	72161203	4782314074	0	0	0	0	0	0	576165
17	64	72163337	4787220328	0	0	0	0	0	0	612273
21	64	72160124	4776547989	0	0	0	0	0	0	648398
16	64	72162254	4787836195	0	0	0	0	0	0	684491
18	64	72172084	4780834711	0	0	0	0	0	0	720585
20	64	72150438	4786230726	0	0	0	0	0	0	756698
22	64	72163582	4793313150	0	0	0	0	0	0	792808
19	64	72144816	4776197930	0	0	0	0	0	0	828927
23	64	72163720	4782712552	0	0	0	0	0	0	865031
29	64	72147830	4780623169	0	0	0	0	0	0	901148
28	64	72152935	4785721804	0	0	0	0	0	0	937260
24	64	72160338	4791834928	0	0	0	0	0	0	973349
30	64	72168311	4786977498	1	0	0	1	0	0	1009452
26	64	72164737	4785426972	0	0	0	0	0	0	1045577
27	64	72160053	4787091940	0	0	0	0	0	0	1081685
25	64	72153592	4784084668	0	0	0	0	0	0	1117794
31	64	72156687	4780639641	0	0	0	0	0	0	1153896
36	64	72173000	4784943450	0	0	0	0	0	0	1190008
38	64	72158309	4778967907	0	0	0	0	0	0	1226129
37	64	72165116	4788039182	0	0	0	0	0	0	1262233
35	64	72142214	4786795365	0	0	0	0	0	0	1298353
33	64	72161539	4778784668	0	0	0	0	0	0	1334453
34	64	72154390	4782346781	0	0	0	0	0	0	1370558
32	64	72153948	4775316412	0	0	0	0	0	0	1406663
