batch	shots	toffoli	clifford	classical_failures	phase_failure_shots	ancilla_failure_shots	any_failure_shots	phase_garbage_batches	ancilla_garbage_batches	inputs_end_offset
4	64	72160558	4785931924	0	0	0	0	0	0	36143
7	64	72164652	4786042229	0	0	0	0	0	0	72124
1	64	72161333	4782040607	0	0	0	0	0	0	108071
5	64	72150839	4784918782	0	0	0	0	0	0	144060
3	64	72160063	4779888242	0	0	0	0	0	0	180055
6	64	72169492	4783850072	0	0	0	0	0	0	216038
2	64	72166938	4789487015	0	0	0	0	0	0	251892
0	64	72171686	4784920873	0	0	0	0	0	0	287797
14	64	72157704	4788660773	0	0	0	0	0	0	323837
10	64	72163318	4786708424	0	0	0	0	0	0	359890
8	64	72157639	4777700391	0	0	0	0	0	0	395860
15	64	72165492	4776788260	0	0	0	0	0	0	431940
13	64	72163430	4786254035	0	0	0	0	0	0	467994
12	64	72165944	4774583144	0	0	0	0	0	0	504035
11	64	72163311	4784355881	0	0	0	0	0	0	540083
9	64	72180460	4787357350	0	0	0	0	0	0	576064
21	64	72163538	4787026490	0	0	0	0	0	0	612174
18	64	72150447	4788359423	0	0	0	0	0	0	648274
16	64	72162988	4795723395	0	0	0	0	0	0	684385
19	64	72156969	4787305159	0	0	0	0	0	0	720492
22	64	72169181	4788403066	0	0	0	0	0	0	756613
23	64	72160265	4787050032	0	0	0	0	0	0	792726
17	64	72164299	4791396665	0	0	0	0	0	0	828838
20	64	72161553	4780614372	0	0	0	0	0	0	864939
26	64	72157740	4787943243	0	0	0	0	0	0	901049
30	64	72154232	4787651126	0	0	0	0	0	0	937157
24	64	72163361	4785765185	0	0	0	0	0	0	973266
25	64	72165200	4786721100	0	0	0	0	0	0	1009379
28	64	72164252	4791289997	0	0	0	0	0	0	1045494
29	64	72147086	4789876206	0	0	0	0	0	0	1081617
31	64	72169488	4785931433	0	0	0	0	0	0	1117705
27	64	72159711	4790500696	0	0	0	0	0	0	1153813
39	64	72158859	4788120898	0	0	0	0	0	0	1189915
35	64	72157909	4780558862	0	0	0	0	0	0	1226031
36	64	72167573	4783551800	0	0	0	0	0	0	1262152
32	64	72169425	4782005357	0	0	0	0	0	0	1298261
37	64	72166413	4779859567	0	0	0	0	0	0	1334372
33	64	72155042	4781843433	0	0	0	0	0	0	1370489
34	64	72170478	4787277500	0	0	0	0	0	0	1406578
38	64	72161124	4783725923	0	0	0	0	0	0	1442701
44	64	72164266	4775208734	0	0	0	0	0	0	1478808
45	64	72160576	4779781989	0	0	0	0	0	0	1514921
40	64	72167558	4789857790	0	0	0	0	0	0	1551038
46	64	72159958	4776671159	0	0	0	0	0	0	1587140
42	64	72164153	4785906668	0	0	0	0	0	0	1623260
47	64	72167816	4781870103	0	0	0	0	0	0	1659367
41	64	72156311	4787179940	1	0	0	1	0	0	1695470
43	64	72171717	4784884241	0	0	0	0	0	0	1731584
52	64	72151999	4783856982	0	0	0	0	0	0	1767704
55	64	72159066	4786928296	0	0	0	0	0	0	1803825
54	64	72161652	4784239015	0	0	0	0	0	0	1839947
51	64	72161034	4786714326	0	0	0	0	0	0	1876071
48	64	72159685	4780690761	0	0	0	0	0	0	1912043
50	64	72169193	4783515607	0	0	0	0	0	0	1948152
49	64	72168836	4780488345	0	0	0	0	0	0	1984269
53	64	72158024	4786411292	0	0	0	0	0	0	2020386
59	64	72159722	4787839429	0	0	0	0	0	0	2056499
56	64	72157483	4783689912	0	0	0	0	0	0	2092615
58	64	72158456	4780398972	0	0	0	0	0	0	2128733
61	64	72162856	4787656742	0	0	0	0	0	0	2164832
62	64	72169497	4786764679	0	0	0	0	0	0	2200947
60	64	72153109	4787693616	0	0	0	0	0	0	2237054
63	64	72163608	4789215255	0	0	0	0	0	0	2273180
57	64	72163470	4798890666	0	0	0	0	0	0	2309296
64	64	72166733	4781814655	0	0	0	0	0	0	2345398
70	64	72167816	4788424133	0	0	0	0	0	0	2381523
66	64	72172462	4785739160	0	0	0	0	0	0	2417629
67	64	72170308	4792306207	0	0	0	0	0	0	2453741
68	64	72151187	4778723869	0	0	0	0	0	0	2489850
69	64	72171143	4782359622	0	0	0	0	0	0	2525963
65	64	72154203	4785757570	0	0	0	0	0	0	2562065
71	64	72154388	4784541106	0	0	0	0	0	0	2598172
79	64	72164082	4780475643	0	0	0	0	0	0	2634287
76	64	72167190	4780722933	0	0	0	0	0	0	2670382
78	64	72157834	4793763369	0	0	0	0	0	0	2706490
75	64	72168208	4788994499	0	0	0	0	0	0	2742599
72	64	72171984	4777982472	0	0	0	0	0	0	2778718
74	64	72158602	4788740738	0	0	0	0	0	0	2814835
73	64	72148397	4788766320	0	0	0	0	0	0	2850946
77	64	72156830	4781718504	0	0	0	0	0	0	2887058
81	64	72158307	4788052870	0	0	0	0	0	0	2923178
83	64	72169657	4779588577	0	0	0	0	0	0	2959284
86	64	72159067	4784239334	0	0	0	0	0	0	2995388
84	64	72165135	4782062315	0	0	0	0	0	0	3031496
85	64	72150472	4784607340	0	0	0	0	0	0	3067613
82	64	72158845	4781521173	0	0	0	0	0	0	3103716
80	64	72154288	4782140002	0	0	0	0	0	0	3139831
87	64	72168325	4783652673	0	0	0	0	0	0	3175950
94	64	72163468	4791405985	0	0	0	0	0	0	3212056
92	64	72169121	4784057247	0	0	0	0	0	0	3248189
89	64	72172643	4779713579	0	0	0	0	0	0	3284289
95	64	72160655	4780483006	0	0	0	0	0	0	3320395
93	64	72169335	4781457617	0	0	0	0	0	0	3356507
88	64	72163659	4784811928	0	0	0	0	0	0	3392613
91	64	72166235	4782138949	0	0	0	0	0	0	3428724
90	64	72159722	4777511462	0	0	0	0	0	0	3464851
102	64	72149688	4787561435	0	0	0	0	0	0	3501031
103	64	72158516	4784689296	0	0	0	0	0	0	3537211
98	64	72163623	4777173933	0	0	0	0	0	0	3573323
96	64	72161337	4782371343	0	0	0	0	0	0	3609439
101	64	72155598	4780094742	0	0	0	0	0	0	3645615
99	64	72164405	4781274342	0	0	0	0	0	0	3681736
100	64	72159028	4781909087	0	0	0	0	0	0	3717924
97	64	72147873	4787732952	0	0	0	0	0	0	3754028
108	64	72157028	4785204062	0	0	0	0	0	0	3790202
105	64	72162110	4784721784	0	0	0	0	0	0	3826381
109	64	72159342	4789016434	0	0	0	0	0	0	3862550
106	64	72161556	4784169661	0	0	0	0	0	0	3898727
110	64	72175936	4787646681	0	0	0	0	0	0	3934903
104	64	72158550	4791704374	0	0	0	0	0	0	3971079
107	64	72153382	4787356230	0	0	0	0	0	0	4007245
111	64	72158012	4777691287	0	0	0	0	0	0	4043432
118	64	72168753	4787696251	0	0	0	0	0	0	4079608
113	64	72153735	4785089479	0	0	0	0	0	0	4115793
116	64	72152770	4783644869	0	0	0	0	0	0	4151975
114	64	72163486	4791065836	0	0	0	0	0	0	4188154
115	64	72175915	4780928568	0	0	0	0	0	0	4224332
112	64	72149684	4784223863	0	0	0	0	0	0	4260512
119	64	72157216	4787007870	0	0	0	0	0	0	4296685
117	64	72163445	4783079009	0	0	0	0	0	0	4332863
124	64	72152306	4778907552	0	0	0	0	0	0	4369043
126	64	72163430	4785148897	0	0	0	0	0	0	4405234
121	64	72161716	4783975517	0	0	0	0	0	0	4441403
125	64	72162338	4788067000	0	0	0	0	0	0	4477594
120	64	72165504	4787812503	0	0	0	0	0	0	4513767
127	64	72163778	4786975527	0	0	0	0	0	0	4549947
122	64	72158075	4785772430	0	0	0	0	0	0	4586132
123	64	72161210	4782194540	0	0	0	0	0	0	4622312
130	64	72167617	4781732342	0	0	0	0	0	0	4658497
129	64	72151238	4777522593	0	0	0	0	0	0	4694685
131	64	72163614	4775084201	0	0	0	0	0	0	4730855
128	64	72160018	4784054424	0	0	0	0	0	0	4767029
132	64	72149215	4793264976	0	0	0	0	0	0	4803207
135	64	72152705	4792000248	0	0	0	0	0	0	4839382
134	64	72162825	4796362504	0	0	0	0	0	0	4875565
133	64	72163106	4784228580	0	0	0	0	0	0	4911749
142	64	72161517	4780899961	0	0	0	0	0	0	4947937
137	64	72150968	4787155092	0	0	0	0	0	0	4984133
136	64	72172379	4787926369	0	0	0	0	0	0	5020320
138	64	72153060	4786307686	0	0	0	0	0	0	5056491
139	64	72156702	4783642082	0	0	0	0	0	0	5092669
141	64	72154997	4782767340	0	0	0	0	0	0	5128854
140	64	72166621	4781045375	0	0	0	0	0	0	5165032
143	64	72148361	4786357428	0	0	0	0	0	0	5201200
149	64	72170764	4788686475	0	0	0	0	0	0	5237376
150	64	72157395	4783760491	0	0	0	0	0	0	5273540
146	64	72163848	4781687961	0	0	0	0	0	0	5309696
151	64	72159788	4786648995	0	0	0	0	0	0	5345886
148	64	72173714	4777303946	0	0	0	0	0	0	5382049
145	64	72164661	4784290641	0	0	0	0	0	0	5418226
147	64	72166038	4783235838	0	0	0	0	0	0	5454397
144	64	72164098	4778480104	0	0	0	0	0	0	5490563
152	64	72149655	4787581391	0	0	0	0	0	0	5526735
153	64	72162194	4784314246	0	0	0	0	0	0	5562918
156	64	72161848	4780406338	0	0	0	0	0	0	5599148
154	64	72173929	4779428456	0	0	0	0	0	0	5635322
157	64	72168612	4790894567	0	0	0	0	0	0	5671575
159	64	72152495	4788516954	0	0	0	0	0	0	5707801
158	64	72164433	4786341866	0	0	0	0	0	0	5744039
155	64	72154347	4785770175	0	0	0	0	0	0	5780213
162	64	72157331	4778762289	0	0	0	0	0	0	5816442
161	64	72171939	4782864902	0	0	0	0	0	0	5852660
165	64	72164537	4787370964	0	0	0	0	0	0	5888909
160	64	72170099	4783159400	0	0	0	0	0	0	5925154
164	64	72152844	4787958334	0	0	0	0	0	0	5961389
163	64	72165313	4781291598	0	0	0	0	0	0	5997638
167	64	72158397	4788390639	0	0	0	0	0	0	6033871
166	64	72155251	4782084409	0	0	0	0	0	0	6070114
173	39	43981625	2919128791	0	0	0	0	0	0	6092203
169	64	72158708	4784422831	0	0	0	0	0	0	6128436
