stratum,candidate,n,mean_T,total_T,total_Clifford,classical,phase,ancilla,any,identity_rows,wilson95_low,wilson95_high
G-s0,original-pingpong,11111,1127525.345963459634596345963,12527934119,830834135378,8,5,0,8,0,0.00036488915239828797,0.0014202428167984498
G-s0,conservative-pingpong,11111,1252839.396003960039600396004,13920298529,846441849763,0,0,0,0,0,2.710505431213761e-20,0.00034561526000405146
G-s0,jump2,11111,1523125.014130141301413014130,16923442032,767189253831,17,7,0,18,0,0.0010250191500238196,0.002559508705663776
G-s128,original-pingpong,11111,1127532.831878318783187831878,12528017295,830360232937,2,0,0,2,0,4.936437402280837e-05,0.0006561300632794147
G-s128,conservative-pingpong,11111,1252844.510305103051030510305,13920355354,845939522943,0,0,0,0,0,2.710505431213761e-20,0.00034561526000405146
G-s128,jump2,11111,1523106.138421384213842138421,16923232304,766732903060,15,14,0,20,0,0.0011655798586861592,0.002778827174299608
G-s240,original-pingpong,11111,1127539.033210332103321033210,12528086198,830606726115,6,3,0,6,0,0.000247512075011238,0.0011777407168873282
G-s240,conservative-pingpong,11111,1252839.877328773287732877329,13920303877,846252838174,0,0,0,0,0,2.710505431213761e-20,0.00034561526000405146
G-s240,jump2,11111,1523118.988479884798847988480,16923375081,767013168268,21,14,0,27,0,0.001670656727848635,0.003533327425680733
P1-s0,original-pingpong,11111,1127526.263432634326343263433,12527944313,830328141007,6,3,0,6,0,0.000247512075011238,0.0011777407168873282
P1-s0,conservative-pingpong,11111,1252879.326523265232652326523,13920742197,845951196607,0,0,0,0,0,2.710505431213761e-20,0.00034561526000405146
P1-s0,jump2,11111,1523139.145801458014580145801,16923599049,766638909888,14,16,0,26,0,0.001597451933806239,0.0034265926310740424
P1-s128,original-pingpong,11111,1127523.879398793987939879399,12527917824,830821922201,5,2,0,5,1,0.00019222985759501196,0.0010530833456544684
P1-s128,conservative-pingpong,11111,1252864.992799927999279992800,13920582935,846405008090,0,0,0,0,1,2.710505431213761e-20,0.00034561526000405146
P1-s128,jump2,11111,1523139.607326073260732607326,16923604177,767094704722,12,12,0,19,1,0.0010950514460817936,0.0026694159982548877
P1-s240,original-pingpong,11111,1127517.812438124381243812438,12527850414,830497152484,2,0,0,2,0,4.936437402280837e-05,0.0006561300632794147
P1-s240,conservative-pingpong,11111,1252859.036180361803618036180,13920516751,846159112827,0,0,0,0,0,2.710505431213761e-20,0.00034561526000405146
P1-s240,jump2,11111,1523118.054900549005490054901,16923364708,766815321667,13,13,0,19,0,0.0010950514460817936,0.0026694159982548877
P2-s0,original-pingpong,11111,1127533.858878588785887858879,12528028706,830591168888,5,3,0,6,0,0.000247512075011238,0.0011777407168873282
P2-s0,conservative-pingpong,11111,1252855.049500495004950049500,13920472455,846314365254,0,0,0,0,0,2.710505431213761e-20,0.00034561526000405146
P2-s0,jump2,11111,1523104.677976779767797677977,16923216077,766976019351,25,16,0,30,0,0.001892007701264002,0.0038517952182126223
P2-s128,original-pingpong,11111,1127526.511385113851138511385,12527947068,830661287930,1,0,0,1,2,1.588754548810349e-05,0.0005096673031650339
P2-s128,conservative-pingpong,11111,1252845.209792097920979209792,13920363126,846330004635,0,0,0,0,2,2.710505431213761e-20,0.00034561526000405146
P2-s128,jump2,11111,1523117.944469444694446944469,16923363481,766993091463,23,20,0,31,2,0.0019663231643851703,0.003957419343740541
P2-s240,original-pingpong,11112,1127521.048416126709863210943,12529013890,830865313345,3,2,0,3,0,9.182117201327804e-05,0.0007935331987873856
P2-s240,conservative-pingpong,11112,1252866.646238300935925125990,13921854173,846597854839,0,0,0,0,0,0,0.0003455841678675467
P2-s240,jump2,11112,1523124.654787616990640748740,16924961164,767308641153,23,15,0,25,0,0.0015244261306811419,0.003319243061629046
