batch,start,end,phase,delta,cumulative
106,0,0,start,0x0000000000000000,0x0000000000000000
106,0,6608,tlm_coord_x_sub,0x0000100000000000,0x0000100000000000
106,6608,13216,tlm_coord_y_sub,0x0000000000000000,0x0000100000000000
106,13216,7360927,tlm_inverse,0x0000000000000000,0x0000100000000000
106,7360927,7402394,tlm_coord_add3x,0x0000000000000000,0x0000100000000000
106,7402394,7402394,tlm_square,0x0000000000000000,0x0000100000000000
106,7402394,8345745,square_product_register,0x0000000000000000,0x0000100000000000
106,8345745,15697858,tlm_forward_multiply,0x0000000000000000,0x0000100000000000
106,15697858,15704466,tlm_coord_y_sub_final,0x0000000000000000,0x0000100000000000
106,15704466,15716533,tlm_coord_rsub_final,0x0000000000000000,0x0000100000000000
