run,source_phase_group,static_toffoli,ccx,ccz,operations
mixed1321,coordinates,1660,1650,10,73262
mixed1321,pp_setup,0,0,0,500
mixed1321,pp_value_forward,197884,197884,0,2612570
mixed1321,pp_replay_halving_initial,88,88,0,924
mixed1321,pp_replay_halving_seed,152,152,0,1935
mixed1321,pp_replay_halving_ordinary,275886,275886,0,3666546
mixed1321,pp_endpoint,348,348,0,3920
mixed1321,pp_coefficient_clear,0,0,0,512
mixed1321,pp_value_reverse,197484,197484,0,2607322
mixed1321,pp_restore_layout,0,0,0,2024
mixed1321,square,59449,59431,18,943351
mixed1321,pp_coefficient_allocate,0,0,0,256
mixed1321,pp_replay_inverse_ordinary,275886,275886,0,3670758
mixed1321,pp_replay_inverse_seed,152,152,0,1934
mixed1321,pp_replay_inverse_initial,88,88,0,923
windowed1338-exact-count,other_init,29,29,0,87
windowed1338-exact-count,qrom,167179,167179,0,202785205
windowed1338-exact-count,coordinates,3987,3954,33,26382
windowed1338-exact-count,pp_setup,0,0,0,500
windowed1338-exact-count,pp_value_forward,197884,197884,0,2612570
windowed1338-exact-count,pp_replay_halving_initial,88,88,0,924
windowed1338-exact-count,pp_replay_halving_seed,152,152,0,1935
windowed1338-exact-count,pp_replay_halving_ordinary,275886,275886,0,3666546
windowed1338-exact-count,pp_endpoint,348,348,0,3920
windowed1338-exact-count,pp_coefficient_clear,0,0,0,512
windowed1338-exact-count,pp_value_reverse,197484,197484,0,2607322
windowed1338-exact-count,pp_restore_layout,0,0,0,2024
windowed1338-exact-count,square,64968,64968,0,924229
windowed1338-exact-count,pp_coefficient_allocate,0,0,0,256
windowed1338-exact-count,pp_replay_inverse_ordinary,275886,275886,0,3670758
windowed1338-exact-count,pp_replay_inverse_seed,152,152,0,1934
windowed1338-exact-count,pp_replay_inverse_initial,88,88,0,923
conservative1392-exact-count,other_init,29,29,0,87
conservative1392-exact-count,qrom,167179,167179,0,202785205
conservative1392-exact-count,coordinates,4092,4059,33,27978
conservative1392-exact-count,pp_setup,0,0,0,500
conservative1392-exact-count,pp_value_forward,219782,219782,0,2898884
conservative1392-exact-count,pp_replay_halving_initial,104,104,0,1036
conservative1392-exact-count,pp_replay_halving_seed,168,168,0,2047
conservative1392-exact-count,pp_replay_halving_ordinary,335438,335438,0,4444370
conservative1392-exact-count,pp_endpoint,412,412,0,4368
conservative1392-exact-count,pp_coefficient_clear,0,0,0,512
conservative1392-exact-count,pp_value_reverse,219414,219414,0,2893936
conservative1392-exact-count,pp_restore_layout,0,0,0,2060
conservative1392-exact-count,square,64968,64968,0,924229
conservative1392-exact-count,pp_coefficient_allocate,0,0,0,256
conservative1392-exact-count,pp_replay_inverse_ordinary,335438,335438,0,4448774
conservative1392-exact-count,pp_replay_inverse_seed,168,168,0,2046
conservative1392-exact-count,pp_replay_inverse_initial,104,104,0,1035
jump2-windowed-exact-count,other_init,29,29,0,87
jump2-windowed-exact-count,qrom,167179,167179,0,202785548
jump2-windowed-exact-count,coordinates,3985,3952,33,26394
jump2-windowed-exact-count,other_tlm_inverse,0,0,0,506
jump2-windowed-exact-count,jump2_value_initial,5220,5214,6,26688
jump2-windowed-exact-count,jump2_payload_initial,22526,22227,299,202916
jump2-windowed-exact-count,jump2_codec_initial,4,4,0,38
jump2-windowed-exact-count,jump2_value_ordinary,628774,627046,1728,3871748
jump2-windowed-exact-count,jump2_payload_ordinary,704939,699406,5533,4544493
jump2-windowed-exact-count,jump2_codec_ordinary,6374,6374,0,59944
jump2-windowed-exact-count,square,55668,55668,0,572435
jump2-windowed-exact-count,other_tlm_forward_multiply,0,0,0,250
