peak_phase	active	op_index	allocation_phase	file	line	count
init	512	0	init	src/bin/../point_add/trailmix_ludicrous/mod.rs	463	256
init	512	0	init	src/bin/../point_add/trailmix_ludicrous/mod.rs	464	256
square_a_lo_apply_shifted_128_add	1149	4606763	init	src/bin/../point_add/trailmix_ludicrous/mod.rs	464	256
square_a_lo_apply_shifted_128_add	1149	4606763	square_a_lo_apply_shifted_128_add	src/bin/../point_add/trailmix_ludicrous/arith.rs	1627	1
square_a_lo_apply_shifted_128_add	1149	4606763	square_a_lo_apply_shifted_128_add	src/bin/../point_add/trailmix_ludicrous/arith.rs	1654	122
square_a_lo_apply_shifted_128_add	1149	4606763	square_a_lo_apply_shifted_128_add	src/bin/../point_add/trailmix_ludicrous/arith.rs	1793	1
square_a_lo_apply_shifted_128_add	1149	4606763	square_a_lo_apply_shifted_128_add	src/bin/../point_add/trailmix_ludicrous/square.rs	218	128
square_a_lo_apply_shifted_128_add	1149	4606763	square_a_lo_build	src/bin/../point_add/trailmix_ludicrous/square.rs	100	256
square_a_lo_apply_shifted_128_add	1149	4606763	square_sum_hi_lo	src/bin/../point_add/trailmix_ludicrous/square.rs	218	129
square_a_lo_apply_shifted_128_add	1149	4606763	tlm_inverse_gcd_reverse_body	reacquire	0	1
square_a_lo_apply_shifted_128_add	1149	4606763	tlm_inverse_gcd_reverse_decode	src/bin/../point_add/trailmix_ludicrous/gcd.rs	1484	255
square_a_lo_apply_unshifted_sub	1149	4602751	init	src/bin/../point_add/trailmix_ludicrous/mod.rs	464	256
square_a_lo_apply_unshifted_sub	1149	4602751	square_a_lo_apply_unshifted_sub	src/bin/../point_add/trailmix_ludicrous/arith.rs	1554	1
square_a_lo_apply_unshifted_sub	1149	4602751	square_a_lo_apply_unshifted_sub	src/bin/../point_add/trailmix_ludicrous/arith.rs	1627	1
square_a_lo_apply_unshifted_sub	1149	4602751	square_a_lo_apply_unshifted_sub	src/bin/../point_add/trailmix_ludicrous/arith.rs	1654	250
square_a_lo_apply_unshifted_sub	1149	4602751	square_a_lo_build	src/bin/../point_add/trailmix_ludicrous/square.rs	100	256
square_a_lo_apply_unshifted_sub	1149	4602751	square_sum_hi_lo	src/bin/../point_add/trailmix_ludicrous/square.rs	218	129
square_a_lo_apply_unshifted_sub	1149	4602751	tlm_inverse_gcd_reverse_body	reacquire	0	1
square_a_lo_apply_unshifted_sub	1149	4602751	tlm_inverse_gcd_reverse_decode	src/bin/../point_add/trailmix_ludicrous/gcd.rs	1484	255
square_a_lo_build	1026	4597522	init	src/bin/../point_add/trailmix_ludicrous/mod.rs	464	256
square_a_lo_build	1026	4597522	square_a_lo_build	src/bin/../point_add/arith/multiply.rs	1944	128
square_a_lo_build	1026	4597522	square_a_lo_build	src/bin/../point_add/arith/multiply.rs	1950	1
square_a_lo_build	1026	4597522	square_a_lo_build	src/bin/../point_add/trailmix_ludicrous/square.rs	100	256
square_a_lo_build	1026	4597522	square_sum_hi_lo	src/bin/../point_add/trailmix_ludicrous/square.rs	218	129
square_a_lo_build	1026	4597522	tlm_inverse_gcd_reverse_body	reacquire	0	1
square_a_lo_build	1026	4597522	tlm_inverse_gcd_reverse_decode	src/bin/../point_add/trailmix_ludicrous/gcd.rs	1484	255
square_a_lo_unbuild	1026	4627583	init	src/bin/../point_add/trailmix_ludicrous/mod.rs	464	256
square_a_lo_unbuild	1026	4627583	square_a_lo_build	src/bin/../point_add/trailmix_ludicrous/square.rs	100	256
square_a_lo_unbuild	1026	4627583	square_a_lo_unbuild	src/bin/../point_add/arith/multiply.rs	2018	128
square_a_lo_unbuild	1026	4627583	square_a_lo_unbuild	src/bin/../point_add/arith/multiply.rs	2021	1
square_a_lo_unbuild	1026	4627583	square_sum_hi_lo	src/bin/../point_add/trailmix_ludicrous/square.rs	218	129
square_a_lo_unbuild	1026	4627583	tlm_inverse_gcd_reverse_body	reacquire	0	1
square_a_lo_unbuild	1026	4627583	tlm_inverse_gcd_reverse_decode	src/bin/../point_add/trailmix_ludicrous/gcd.rs	1484	255
square_b_hi_apply_f_times_sub	1149	4837658	init	src/bin/../point_add/trailmix_ludicrous/mod.rs	464	256
square_b_hi_apply_f_times_sub	1149	4837658	square_b_hi_apply_f_times_sub	src/bin/../point_add/trailmix_ludicrous/arith.rs	1554	1
square_b_hi_apply_f_times_sub	1149	4837658	square_b_hi_apply_f_times_sub	src/bin/../point_add/trailmix_ludicrous/arith.rs	1627	1
square_b_hi_apply_f_times_sub	1149	4837658	square_b_hi_apply_f_times_sub	src/bin/../point_add/trailmix_ludicrous/arith.rs	1654	250
square_b_hi_apply_f_times_sub	1149	4837658	square_b_hi_build	src/bin/../point_add/trailmix_ludicrous/square.rs	100	256
square_b_hi_apply_f_times_sub	1149	4837658	square_sum_hi_lo	src/bin/../point_add/trailmix_ludicrous/square.rs	218	129
square_b_hi_apply_f_times_sub	1149	4837658	tlm_inverse_gcd_reverse_body	reacquire	0	1
square_b_hi_apply_f_times_sub	1149	4837658	tlm_inverse_gcd_reverse_decode	src/bin/../point_add/trailmix_ludicrous/gcd.rs	1484	255
square_b_hi_apply_shifted_128_add	1149	4816342	init	src/bin/../point_add/trailmix_ludicrous/mod.rs	464	256
square_b_hi_apply_shifted_128_add	1149	4816342	square_b_hi_apply_shifted_128_add	src/bin/../point_add/trailmix_ludicrous/arith.rs	1627	1
square_b_hi_apply_shifted_128_add	1149	4816342	square_b_hi_apply_shifted_128_add	src/bin/../point_add/trailmix_ludicrous/arith.rs	1654	122
square_b_hi_apply_shifted_128_add	1149	4816342	square_b_hi_apply_shifted_128_add	src/bin/../point_add/trailmix_ludicrous/arith.rs	1793	1
square_b_hi_apply_shifted_128_add	1149	4816342	square_b_hi_apply_shifted_128_add	src/bin/../point_add/trailmix_ludicrous/square.rs	218	128
square_b_hi_apply_shifted_128_add	1149	4816342	square_b_hi_build	src/bin/../point_add/trailmix_ludicrous/square.rs	100	256
square_b_hi_apply_shifted_128_add	1149	4816342	square_sum_hi_lo	src/bin/../point_add/trailmix_ludicrous/square.rs	218	129
square_b_hi_apply_shifted_128_add	1149	4816342	tlm_inverse_gcd_reverse_body	reacquire	0	1
square_b_hi_apply_shifted_128_add	1149	4816342	tlm_inverse_gcd_reverse_decode	src/bin/../point_add/trailmix_ludicrous/gcd.rs	1484	255
square_b_hi_build	1026	4811881	init	src/bin/../point_add/trailmix_ludicrous/mod.rs	464	256
square_b_hi_build	1026	4811881	square_b_hi_build	src/bin/../point_add/arith/multiply.rs	1944	128
square_b_hi_build	1026	4811881	square_b_hi_build	src/bin/../point_add/arith/multiply.rs	1950	1
square_b_hi_build	1026	4811881	square_b_hi_build	src/bin/../point_add/trailmix_ludicrous/square.rs	100	256
square_b_hi_build	1026	4811881	square_sum_hi_lo	src/bin/../point_add/trailmix_ludicrous/square.rs	218	129
square_b_hi_build	1026	4811881	tlm_inverse_gcd_reverse_body	reacquire	0	1
square_b_hi_build	1026	4811881	tlm_inverse_gcd_reverse_decode	src/bin/../point_add/trailmix_ludicrous/gcd.rs	1484	255
square_b_hi_unbuild	1026	4893402	init	src/bin/../point_add/trailmix_ludicrous/mod.rs	464	256
square_b_hi_unbuild	1026	4893402	square_b_hi_build	src/bin/../point_add/trailmix_ludicrous/square.rs	100	256
square_b_hi_unbuild	1026	4893402	square_b_hi_unbuild	src/bin/../point_add/arith/multiply.rs	2018	128
square_b_hi_unbuild	1026	4893402	square_b_hi_unbuild	src/bin/../point_add/arith/multiply.rs	2021	1
square_b_hi_unbuild	1026	4893402	square_sum_hi_lo	src/bin/../point_add/trailmix_ludicrous/square.rs	218	129
square_b_hi_unbuild	1026	4893402	tlm_inverse_gcd_reverse_body	reacquire	0	1
square_b_hi_unbuild	1026	4893402	tlm_inverse_gcd_reverse_decode	src/bin/../point_add/trailmix_ludicrous/gcd.rs	1484	255
square_c_sum_apply_shifted_128_sub	1149	4388813	init	src/bin/../point_add/trailmix_ludicrous/mod.rs	464	256
square_c_sum_apply_shifted_128_sub	1149	4388813	square_c_sum_apply_shifted_128_sub	src/bin/../point_add/trailmix_ludicrous/arith.rs	1627	1
square_c_sum_apply_shifted_128_sub	1149	4388813	square_c_sum_apply_shifted_128_sub	src/bin/../point_add/trailmix_ludicrous/arith.rs	1654	120
square_c_sum_apply_shifted_128_sub	1149	4388813	square_c_sum_apply_shifted_128_sub	src/bin/../point_add/trailmix_ludicrous/arith.rs	1848	1
square_c_sum_apply_shifted_128_sub	1149	4388813	square_c_sum_apply_shifted_128_sub	src/bin/../point_add/trailmix_ludicrous/square.rs	218	128
square_c_sum_apply_shifted_128_sub	1149	4388813	square_c_sum_build	src/bin/../point_add/trailmix_ludicrous/square.rs	100	258
square_c_sum_apply_shifted_128_sub	1149	4388813	square_sum_hi_lo	src/bin/../point_add/trailmix_ludicrous/square.rs	218	129
square_c_sum_apply_shifted_128_sub	1149	4388813	tlm_inverse_gcd_reverse_body	reacquire	0	1
square_c_sum_apply_shifted_128_sub	1149	4388813	tlm_inverse_gcd_reverse_decode	src/bin/../point_add/trailmix_ludicrous/gcd.rs	1484	255
square_c_sum_build	1029	4384197	init	src/bin/../point_add/trailmix_ludicrous/mod.rs	464	256
square_c_sum_build	1029	4384197	square_c_sum_build	src/bin/../point_add/arith/multiply.rs	1944	129
square_c_sum_build	1029	4384197	square_c_sum_build	src/bin/../point_add/arith/multiply.rs	1950	1
square_c_sum_build	1029	4384197	square_c_sum_build	src/bin/../point_add/trailmix_ludicrous/square.rs	100	258
square_c_sum_build	1029	4384197	square_sum_hi_lo	src/bin/../point_add/trailmix_ludicrous/square.rs	218	129
square_c_sum_build	1029	4384197	tlm_inverse_gcd_reverse_body	reacquire	0	1
square_c_sum_build	1029	4384197	tlm_inverse_gcd_reverse_decode	src/bin/../point_add/trailmix_ludicrous/gcd.rs	1484	255
square_c_sum_unbuild	1029	4411781	init	src/bin/../point_add/trailmix_ludicrous/mod.rs	464	256
square_c_sum_unbuild	1029	4411781	square_c_sum_build	src/bin/../point_add/trailmix_ludicrous/square.rs	100	258
square_c_sum_unbuild	1029	4411781	square_c_sum_unbuild	src/bin/../point_add/arith/multiply.rs	2018	129
