phase	start	end	ops	ccx	ccz	hmr	reset
tlm_coord_x_sub	0	6608	6608	330	2	331	590
tlm_coord_y_sub	6608	13216	6608	330	2	331	590
tlm_inverse	13216	13722	506	0	0	0	0
tlm_inverse_gcd_forward_shift_initial	13722	15254	1532	509	0	0	0
tlm_inverse_gcd_forward_compare_initial	15254	16020	766	255	0	0	0
tlm_inverse_gcd_forward_body_initial	16020	20404	4384	549	2	294	296
tlm_apply_inverse_fold_initial	20404	23262	2858	624	4	110	112
tlm_apply_inverse_swap_initial	23262	24030	768	256	0	0	0
tlm_apply_inverse_mod_sub_register_initial	24030	29764	5734	648	2	391	392
tlm_apply_inverse_mod_sub_fold_initial	29764	30423	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean_initial	30423	30739	316	19	0	20	22
tlm_inverse_gcd_forward_codec_initial	30739	30748	9	1	0	0	2
tlm_inverse_gcd_forward_shift	30748	31768	1020	254	0	0	0
tlm_inverse_gcd_forward_compare	31768	32862	1094	279	0	23	24
tlm_inverse_gcd_forward_body	32862	37246	4384	549	2	294	296
tlm_apply_inverse_fold	37246	38966	1720	310	0	54	62
tlm_apply_inverse_swap	38966	39734	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	39734	45496	5762	650	2	393	394
tlm_apply_inverse_mod_sub_fold	45496	46155	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	46155	46471	316	19	0	20	22
tlm_inverse_gcd_forward_codec	46471	46474	3	0	0	0	0
tlm_inverse_gcd_forward_shift	46474	47494	1020	254	0	0	0
tlm_inverse_gcd_forward_compare	47494	48588	1094	279	0	23	24
tlm_inverse_gcd_forward_body	48588	52972	4384	549	2	294	296
tlm_apply_inverse_fold	52972	54692	1720	310	0	54	62
tlm_apply_inverse_swap	54692	55460	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	55460	61264	5804	653	2	396	397
tlm_apply_inverse_mod_sub_fold	61264	61923	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	61923	62239	316	19	0	20	22
