phase	start	end	ops	ccx	ccz	hmr	reset
tlm_coord_x_sub	0	6608	6608	330	2	331	590
tlm_coord_y_sub	6608	13216	6608	330	2	331	590
pp_setup	13216	13466	250	0	0	0	0
pp_value_forward	13466	1319751	1306285	98942	0	98942	100853
pp_replay_halving_initial	1319751	1320675	924	88	0	88	89
pp_replay_halving_seed	1320675	1322610	1935	152	0	153	154
pp_replay_halving_ordinary	1322610	1327833	5223	393	0	393	400
pp_replay_halving_ordinary	1327833	1333056	5223	393	0	393	400
pp_replay_halving_ordinary	1333056	1338279	5223	393	0	393	400
pp_replay_halving_ordinary	1338279	1343502	5223	393	0	393	400
pp_replay_halving_ordinary	1343502	1348725	5223	393	0	393	400
pp_replay_halving_ordinary	1348725	1353948	5223	393	0	393	400
pp_replay_halving_ordinary	1353948	1359171	5223	393	0	393	400
pp_replay_halving_ordinary	1359171	1364394	5223	393	0	393	400
pp_replay_halving_ordinary	1364394	1369617	5223	393	0	393	400
pp_replay_halving_ordinary	1369617	1374840	5223	393	0	393	400
pp_replay_halving_ordinary	1374840	1380063	5223	393	0	393	400
pp_replay_halving_ordinary	1380063	1385286	5223	393	0	393	400
pp_replay_halving_ordinary	1385286	1390509	5223	393	0	393	400
pp_replay_halving_ordinary	1390509	1395732	5223	393	0	393	400
pp_replay_halving_ordinary	1395732	1400955	5223	393	0	393	400
pp_replay_halving_ordinary	1400955	1406178	5223	393	0	393	400
pp_replay_halving_ordinary	1406178	1411401	5223	393	0	393	400
pp_replay_halving_ordinary	1411401	1416624	5223	393	0	393	400
pp_replay_halving_ordinary	1416624	1421847	5223	393	0	393	400
pp_replay_halving_ordinary	1421847	1427070	5223	393	0	393	400
pp_replay_halving_ordinary	1427070	1432293	5223	393	0	393	400
pp_replay_halving_ordinary	1432293	1437516	5223	393	0	393	400
pp_replay_halving_ordinary	1437516	1442739	5223	393	0	393	400
pp_replay_halving_ordinary	1442739	1447962	5223	393	0	393	400
pp_replay_halving_ordinary	1447962	1453185	5223	393	0	393	400
