peak_phase	active	op_index	allocation_phase	file	line	count
init	1029	22	init	src/bin/../point_add/pingpong_div.rs	1269	256
init	1029	22	init	src/bin/../point_add/pingpong_div.rs	1270	256
init	1029	22	init	src/bin/../point_add/pingpong_div.rs	1271	4
init	1029	22	init	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	346	256
init	1029	22	init	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	347	256
init	1029	22	init	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	499	1
pp_coefficient_allocate	1275	1476012	init	src/bin/../point_add/pingpong_div.rs	1269	11
pp_coefficient_allocate	1275	1476012	init	src/bin/../point_add/pingpong_div.rs	1270	256
pp_coefficient_allocate	1275	1476012	init	src/bin/../point_add/pingpong_div.rs	1271	4
pp_coefficient_allocate	1275	1476012	init	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	499	1
pp_coefficient_allocate	1275	1476012	pp_coefficient_allocate	src/bin/../point_add/pingpong_div.rs	100	256
pp_coefficient_allocate	1275	1476012	pp_setup	src/bin/../point_add/arith/adder.rs	341	11
pp_coefficient_allocate	1275	1476012	pp_value_forward	src/bin/../point_add/pingpong_div.rs	287	1
pp_coefficient_allocate	1275	1476012	pp_value_forward	src/bin/../point_add/pingpong_div.rs	530	735
pp_coefficient_clear	1275	5925777	init	src/bin/../point_add/pingpong_div.rs	1269	11
pp_coefficient_clear	1275	5925777	init	src/bin/../point_add/pingpong_div.rs	1270	256
pp_coefficient_clear	1275	5925777	init	src/bin/../point_add/pingpong_div.rs	1271	4
pp_coefficient_clear	1275	5925777	init	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	499	1
pp_coefficient_clear	1275	5925777	pp_coefficient_allocate	src/bin/../point_add/pingpong_div.rs	100	256
pp_coefficient_clear	1275	5925777	pp_setup	src/bin/../point_add/arith/adder.rs	341	11
pp_coefficient_clear	1275	5925777	pp_value_forward	src/bin/../point_add/pingpong_div.rs	287	1
pp_coefficient_clear	1275	5925777	pp_value_forward	src/bin/../point_add/pingpong_div.rs	530	735
pp_endpoint	1379	5923721	init	src/bin/../point_add/pingpong_div.rs	1269	11
pp_endpoint	1379	5923721	init	src/bin/../point_add/pingpong_div.rs	1270	256
pp_endpoint	1379	5923721	init	src/bin/../point_add/pingpong_div.rs	1271	4
pp_endpoint	1379	5923721	init	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	499	1
pp_endpoint	1379	5923721	pp_coefficient_allocate	src/bin/../point_add/pingpong_div.rs	100	256
pp_endpoint	1379	5923721	pp_endpoint	src/bin/../point_add/arith/const_arith.rs	417	104
pp_endpoint	1379	5923721	pp_setup	src/bin/../point_add/arith/adder.rs	341	11
pp_endpoint	1379	5923721	pp_value_forward	src/bin/../point_add/pingpong_div.rs	287	1
