phase	start	end	ops	ccx	ccz	hmr	reset
init	0	22	22	3	0	2	2
window_qrom_xy_load_walk	22	8300	8278	14	0	14	14
tlm_coord_x_sub	8300	11916	3616	607	2	96	99
tlm_coord_y_sub	11916	15532	3616	607	2	96	99
window_qrom_xy_unload_measure	15532	16556	1024	0	0	512	512
window_qrom_xy_unload_clear	16556	26320	9764	12	0	0	8
pp_setup	26320	26570	250	0	0	0	0
pp_value_forward	26570	1476012	1449442	109891	0	109891	111860
pp_replay_halving_initial	1476012	1477048	1036	104	0	104	105
pp_replay_halving_seed	1477048	1479095	2047	168	0	169	170
pp_replay_halving_ordinary	1479095	1485150	6055	457	0	457	464
pp_replay_halving_ordinary	1485150	1491205	6055	457	0	457	464
pp_replay_halving_ordinary	1491205	1497260	6055	457	0	457	464
pp_replay_halving_ordinary	1497260	1503315	6055	457	0	457	464
pp_replay_halving_ordinary	1503315	1509370	6055	457	0	457	464
pp_replay_halving_ordinary	1509370	1515425	6055	457	0	457	464
pp_replay_halving_ordinary	1515425	1521480	6055	457	0	457	464
pp_replay_halving_ordinary	1521480	1527535	6055	457	0	457	464
pp_replay_halving_ordinary	1527535	1533590	6055	457	0	457	464
pp_replay_halving_ordinary	1533590	1539645	6055	457	0	457	464
pp_replay_halving_ordinary	1539645	1545700	6055	457	0	457	464
pp_replay_halving_ordinary	1545700	1551755	6055	457	0	457	464
pp_replay_halving_ordinary	1551755	1557810	6055	457	0	457	464
pp_replay_halving_ordinary	1557810	1563865	6055	457	0	457	464
pp_replay_halving_ordinary	1563865	1569920	6055	457	0	457	464
pp_replay_halving_ordinary	1569920	1575975	6055	457	0	457	464
pp_replay_halving_ordinary	1575975	1582030	6055	457	0	457	464
pp_replay_halving_ordinary	1582030	1588085	6055	457	0	457	464
pp_replay_halving_ordinary	1588085	1594140	6055	457	0	457	464
pp_replay_halving_ordinary	1594140	1600195	6055	457	0	457	464
pp_replay_halving_ordinary	1600195	1606250	6055	457	0	457	464
pp_replay_halving_ordinary	1606250	1612305	6055	457	0	457	464
pp_replay_halving_ordinary	1612305	1618360	6055	457	0	457	464
pp_replay_halving_ordinary	1618360	1624415	6055	457	0	457	464
pp_replay_halving_ordinary	1624415	1630470	6055	457	0	457	464
pp_replay_halving_ordinary	1630470	1636525	6055	457	0	457	464
pp_replay_halving_ordinary	1636525	1642580	6055	457	0	457	464
pp_replay_halving_ordinary	1642580	1648635	6055	457	0	457	464
pp_replay_halving_ordinary	1648635	1654690	6055	457	0	457	464
pp_replay_halving_ordinary	1654690	1660745	6055	457	0	457	464
pp_replay_halving_ordinary	1660745	1666800	6055	457	0	457	464
pp_replay_halving_ordinary	1666800	1672855	6055	457	0	457	464
pp_replay_halving_ordinary	1672855	1678910	6055	457	0	457	464
pp_replay_halving_ordinary	1678910	1684965	6055	457	0	457	464
pp_replay_halving_ordinary	1684965	1691020	6055	457	0	457	464
pp_replay_halving_ordinary	1691020	1697075	6055	457	0	457	464
pp_replay_halving_ordinary	1697075	1703130	6055	457	0	457	464
pp_replay_halving_ordinary	1703130	1709185	6055	457	0	457	464
pp_replay_halving_ordinary	1709185	1715240	6055	457	0	457	464
pp_replay_halving_ordinary	1715240	1721295	6055	457	0	457	464
pp_replay_halving_ordinary	1721295	1727350	6055	457	0	457	464
pp_replay_halving_ordinary	1727350	1733405	6055	457	0	457	464
pp_replay_halving_ordinary	1733405	1739460	6055	457	0	457	464
pp_replay_halving_ordinary	1739460	1745515	6055	457	0	457	464
pp_replay_halving_ordinary	1745515	1751570	6055	457	0	457	464
pp_replay_halving_ordinary	1751570	1757625	6055	457	0	457	464
pp_replay_halving_ordinary	1757625	1763680	6055	457	0	457	464
pp_replay_halving_ordinary	1763680	1769735	6055	457	0	457	464
