phase	start	end	ops	ccx	ccz	hmr	reset
init	0	87	87	29	0	0	3
window_qrom_xy_load_walk	87	33947725	33947638	65534	0	65534	65534
tlm_coord_x_sub	33947725	33951341	3616	607	2	96	99
tlm_coord_y_sub	33951341	33954957	3616	607	2	96	99
window_qrom_xy_unload_measure	33954957	33955981	1024	0	0	512	512
window_qrom_xy_unload_clear	33955981	67514505	33558524	1020	0	0	512
pp_setup	67514505	67514755	250	0	0	0	0
pp_value_forward	67514755	68964197	1449442	109891	0	109891	111860
pp_replay_halving_initial	68964197	68965233	1036	104	0	104	105
pp_replay_halving_seed	68965233	68967280	2047	168	0	169	170
pp_replay_halving_ordinary	68967280	68973335	6055	457	0	457	464
pp_replay_halving_ordinary	68973335	68979390	6055	457	0	457	464
pp_replay_halving_ordinary	68979390	68985445	6055	457	0	457	464
pp_replay_halving_ordinary	68985445	68991500	6055	457	0	457	464
pp_replay_halving_ordinary	68991500	68997555	6055	457	0	457	464
pp_replay_halving_ordinary	68997555	69003610	6055	457	0	457	464
pp_replay_halving_ordinary	69003610	69009665	6055	457	0	457	464
pp_replay_halving_ordinary	69009665	69015720	6055	457	0	457	464
pp_replay_halving_ordinary	69015720	69021775	6055	457	0	457	464
pp_replay_halving_ordinary	69021775	69027830	6055	457	0	457	464
pp_replay_halving_ordinary	69027830	69033885	6055	457	0	457	464
pp_replay_halving_ordinary	69033885	69039940	6055	457	0	457	464
pp_replay_halving_ordinary	69039940	69045995	6055	457	0	457	464
pp_replay_halving_ordinary	69045995	69052050	6055	457	0	457	464
pp_replay_halving_ordinary	69052050	69058105	6055	457	0	457	464
pp_replay_halving_ordinary	69058105	69064160	6055	457	0	457	464
pp_replay_halving_ordinary	69064160	69070215	6055	457	0	457	464
pp_replay_halving_ordinary	69070215	69076270	6055	457	0	457	464
pp_replay_halving_ordinary	69076270	69082325	6055	457	0	457	464
pp_replay_halving_ordinary	69082325	69088380	6055	457	0	457	464
pp_replay_halving_ordinary	69088380	69094435	6055	457	0	457	464
pp_replay_halving_ordinary	69094435	69100490	6055	457	0	457	464
pp_replay_halving_ordinary	69100490	69106545	6055	457	0	457	464
pp_replay_halving_ordinary	69106545	69112600	6055	457	0	457	464
