peak_phase	active	op_index	allocation_phase	file	line	count
init	1041	87	init	src/bin/../point_add/pingpong_div.rs	1269	256
init	1041	87	init	src/bin/../point_add/pingpong_div.rs	1270	256
init	1041	87	init	src/bin/../point_add/pingpong_div.rs	1271	16
init	1041	87	init	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	346	256
init	1041	87	init	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	347	256
init	1041	87	init	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	499	1
pp_coefficient_allocate	1287	69095265	init	src/bin/../point_add/pingpong_div.rs	1269	11
pp_coefficient_allocate	1287	69095265	init	src/bin/../point_add/pingpong_div.rs	1270	256
pp_coefficient_allocate	1287	69095265	init	src/bin/../point_add/pingpong_div.rs	1271	16
pp_coefficient_allocate	1287	69095265	init	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	499	1
pp_coefficient_allocate	1287	69095265	pp_coefficient_allocate	src/bin/../point_add/pingpong_div.rs	100	256
pp_coefficient_allocate	1287	69095265	pp_setup	src/bin/../point_add/arith/adder.rs	341	11
pp_coefficient_allocate	1287	69095265	pp_value_forward	src/bin/../point_add/pingpong_div.rs	287	1
pp_coefficient_allocate	1287	69095265	pp_value_forward	src/bin/../point_add/pingpong_div.rs	530	735
pp_coefficient_clear	1287	73545030	init	src/bin/../point_add/pingpong_div.rs	1269	11
pp_coefficient_clear	1287	73545030	init	src/bin/../point_add/pingpong_div.rs	1270	256
pp_coefficient_clear	1287	73545030	init	src/bin/../point_add/pingpong_div.rs	1271	16
pp_coefficient_clear	1287	73545030	init	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	499	1
pp_coefficient_clear	1287	73545030	pp_coefficient_allocate	src/bin/../point_add/pingpong_div.rs	100	256
pp_coefficient_clear	1287	73545030	pp_setup	src/bin/../point_add/arith/adder.rs	341	11
pp_coefficient_clear	1287	73545030	pp_value_forward	src/bin/../point_add/pingpong_div.rs	287	1
pp_coefficient_clear	1287	73545030	pp_value_forward	src/bin/../point_add/pingpong_div.rs	530	735
pp_endpoint	1391	73542974	init	src/bin/../point_add/pingpong_div.rs	1269	11
pp_endpoint	1391	73542974	init	src/bin/../point_add/pingpong_div.rs	1270	256
