phase	start	end	ops	ccx	ccz	hmr	reset
init	0	87	87	29	0	0	3
window_qrom_xy_load_walk	87	34078793	34078706	65534	0	65534	65534
tlm_coord_x_sub	34078793	34082409	3616	607	2	96	99
tlm_coord_y_sub	34082409	34086025	3616	607	2	96	99
window_qrom_xy_unload_measure	34086025	34087049	1024	0	0	512	512
window_qrom_xy_unload_clear	34087049	67645573	33558524	1020	0	0	512
pp_setup	67645573	67645823	250	0	0	0	0
pp_value_forward	67645823	69095265	1449442	109891	0	109891	111860
pp_replay_halving_initial	69095265	69096301	1036	104	0	104	105
pp_replay_halving_seed	69096301	69098348	2047	168	0	169	170
pp_replay_halving_ordinary	69098348	69104403	6055	457	0	457	464
pp_replay_halving_ordinary	69104403	69110458	6055	457	0	457	464
pp_replay_halving_ordinary	69110458	69116513	6055	457	0	457	464
pp_replay_halving_ordinary	69116513	69122568	6055	457	0	457	464
pp_replay_halving_ordinary	69122568	69128623	6055	457	0	457	464
pp_replay_halving_ordinary	69128623	69134678	6055	457	0	457	464
pp_replay_halving_ordinary	69134678	69140733	6055	457	0	457	464
pp_replay_halving_ordinary	69140733	69146788	6055	457	0	457	464
pp_replay_halving_ordinary	69146788	69152843	6055	457	0	457	464
pp_replay_halving_ordinary	69152843	69158898	6055	457	0	457	464
pp_replay_halving_ordinary	69158898	69164953	6055	457	0	457	464
pp_replay_halving_ordinary	69164953	69171008	6055	457	0	457	464
pp_replay_halving_ordinary	69171008	69177063	6055	457	0	457	464
pp_replay_halving_ordinary	69177063	69183118	6055	457	0	457	464
pp_replay_halving_ordinary	69183118	69189173	6055	457	0	457	464
pp_replay_halving_ordinary	69189173	69195228	6055	457	0	457	464
pp_replay_halving_ordinary	69195228	69201283	6055	457	0	457	464
pp_replay_halving_ordinary	69201283	69207338	6055	457	0	457	464
pp_replay_halving_ordinary	69207338	69213393	6055	457	0	457	464
pp_replay_halving_ordinary	69213393	69219448	6055	457	0	457	464
pp_replay_halving_ordinary	69219448	69225503	6055	457	0	457	464
