phase	start	end	ops	ccx	ccz	hmr	reset
init	0	22	22	3	0	2	2
window_qrom_xy_load_walk	22	8328	8306	14	0	14	14
tlm_coord_x_sub	8328	11944	3616	607	2	96	99
tlm_coord_y_sub	11944	15560	3616	607	2	96	99
window_qrom_xy_unload_measure	15560	16584	1024	0	0	512	512
window_qrom_xy_unload_clear	16584	26348	9764	12	0	0	8
pp_setup	26348	26598	250	0	0	0	0
pp_value_forward	26598	1476040	1449442	109891	0	109891	111860
pp_replay_halving_initial	1476040	1477076	1036	104	0	104	105
pp_replay_halving_seed	1477076	1479123	2047	168	0	169	170
pp_replay_halving_ordinary	1479123	1485178	6055	457	0	457	464
pp_replay_halving_ordinary	1485178	1491233	6055	457	0	457	464
pp_replay_halving_ordinary	1491233	1497288	6055	457	0	457	464
pp_replay_halving_ordinary	1497288	1503343	6055	457	0	457	464
pp_replay_halving_ordinary	1503343	1509398	6055	457	0	457	464
pp_replay_halving_ordinary	1509398	1515453	6055	457	0	457	464
pp_replay_halving_ordinary	1515453	1521508	6055	457	0	457	464
pp_replay_halving_ordinary	1521508	1527563	6055	457	0	457	464
pp_replay_halving_ordinary	1527563	1533618	6055	457	0	457	464
pp_replay_halving_ordinary	1533618	1539673	6055	457	0	457	464
pp_replay_halving_ordinary	1539673	1545728	6055	457	0	457	464
pp_replay_halving_ordinary	1545728	1551783	6055	457	0	457	464
pp_replay_halving_ordinary	1551783	1557838	6055	457	0	457	464
pp_replay_halving_ordinary	1557838	1563893	6055	457	0	457	464
pp_replay_halving_ordinary	1563893	1569948	6055	457	0	457	464
pp_replay_halving_ordinary	1569948	1576003	6055	457	0	457	464
pp_replay_halving_ordinary	1576003	1582058	6055	457	0	457	464
pp_replay_halving_ordinary	1582058	1588113	6055	457	0	457	464
pp_replay_halving_ordinary	1588113	1594168	6055	457	0	457	464
pp_replay_halving_ordinary	1594168	1600223	6055	457	0	457	464
pp_replay_halving_ordinary	1600223	1606278	6055	457	0	457	464
pp_replay_halving_ordinary	1606278	1612333	6055	457	0	457	464
pp_replay_halving_ordinary	1612333	1618388	6055	457	0	457	464
pp_replay_halving_ordinary	1618388	1624443	6055	457	0	457	464
pp_replay_halving_ordinary	1624443	1630498	6055	457	0	457	464
pp_replay_halving_ordinary	1630498	1636553	6055	457	0	457	464
pp_replay_halving_ordinary	1636553	1642608	6055	457	0	457	464
pp_replay_halving_ordinary	1642608	1648663	6055	457	0	457	464
pp_replay_halving_ordinary	1648663	1654718	6055	457	0	457	464
pp_replay_halving_ordinary	1654718	1660773	6055	457	0	457	464
pp_replay_halving_ordinary	1660773	1666828	6055	457	0	457	464
pp_replay_halving_ordinary	1666828	1672883	6055	457	0	457	464
pp_replay_halving_ordinary	1672883	1678938	6055	457	0	457	464
pp_replay_halving_ordinary	1678938	1684993	6055	457	0	457	464
pp_replay_halving_ordinary	1684993	1691048	6055	457	0	457	464
pp_replay_halving_ordinary	1691048	1697103	6055	457	0	457	464
pp_replay_halving_ordinary	1697103	1703158	6055	457	0	457	464
pp_replay_halving_ordinary	1703158	1709213	6055	457	0	457	464
pp_replay_halving_ordinary	1709213	1715268	6055	457	0	457	464
pp_replay_halving_ordinary	1715268	1721323	6055	457	0	457	464
pp_replay_halving_ordinary	1721323	1727378	6055	457	0	457	464
pp_replay_halving_ordinary	1727378	1733433	6055	457	0	457	464
pp_replay_halving_ordinary	1733433	1739488	6055	457	0	457	464
pp_replay_halving_ordinary	1739488	1745543	6055	457	0	457	464
pp_replay_halving_ordinary	1745543	1751598	6055	457	0	457	464
pp_replay_halving_ordinary	1751598	1757653	6055	457	0	457	464
pp_replay_halving_ordinary	1757653	1763708	6055	457	0	457	464
pp_replay_halving_ordinary	1763708	1769763	6055	457	0	457	464
pp_replay_halving_ordinary	1769763	1775818	6055	457	0	457	464
pp_replay_halving_ordinary	1775818	1781873	6055	457	0	457	464
pp_replay_halving_ordinary	1781873	1787928	6055	457	0	457	464
pp_replay_halving_ordinary	1787928	1793983	6055	457	0	457	464
pp_replay_halving_ordinary	1793983	1800038	6055	457	0	457	464
pp_replay_halving_ordinary	1800038	1806093	6055	457	0	457	464
pp_replay_halving_ordinary	1806093	1812148	6055	457	0	457	464
pp_replay_halving_ordinary	1812148	1818203	6055	457	0	457	464
pp_replay_halving_ordinary	1818203	1824258	6055	457	0	457	464
pp_replay_halving_ordinary	1824258	1830313	6055	457	0	457	464
pp_replay_halving_ordinary	1830313	1836368	6055	457	0	457	464
pp_replay_halving_ordinary	1836368	1842423	6055	457	0	457	464
pp_replay_halving_ordinary	1842423	1848478	6055	457	0	457	464
pp_replay_halving_ordinary	1848478	1854533	6055	457	0	457	464
pp_replay_halving_ordinary	1854533	1860588	6055	457	0	457	464
pp_replay_halving_ordinary	1860588	1866643	6055	457	0	457	464
pp_replay_halving_ordinary	1866643	1872698	6055	457	0	457	464
pp_replay_halving_ordinary	1872698	1878753	6055	457	0	457	464
pp_replay_halving_ordinary	1878753	1884808	6055	457	0	457	464
pp_replay_halving_ordinary	1884808	1890863	6055	457	0	457	464
pp_replay_halving_ordinary	1890863	1896918	6055	457	0	457	464
pp_replay_halving_ordinary	1896918	1902973	6055	457	0	457	464
pp_replay_halving_ordinary	1902973	1909028	6055	457	0	457	464
pp_replay_halving_ordinary	1909028	1915083	6055	457	0	457	464
pp_replay_halving_ordinary	1915083	1921138	6055	457	0	457	464
pp_replay_halving_ordinary	1921138	1927193	6055	457	0	457	464
pp_replay_halving_ordinary	1927193	1933248	6055	457	0	457	464
pp_replay_halving_ordinary	1933248	1939303	6055	457	0	457	464
pp_replay_halving_ordinary	1939303	1945358	6055	457	0	457	464
pp_replay_halving_ordinary	1945358	1951413	6055	457	0	457	464
pp_replay_halving_ordinary	1951413	1957468	6055	457	0	457	464
pp_replay_halving_ordinary	1957468	1963523	6055	457	0	457	464
pp_replay_halving_ordinary	1963523	1969578	6055	457	0	457	464
pp_replay_halving_ordinary	1969578	1975633	6055	457	0	457	464
pp_replay_halving_ordinary	1975633	1981688	6055	457	0	457	464
pp_replay_halving_ordinary	1981688	1987743	6055	457	0	457	464
pp_replay_halving_ordinary	1987743	1993798	6055	457	0	457	464
pp_replay_halving_ordinary	1993798	1999853	6055	457	0	457	464
pp_replay_halving_ordinary	1999853	2005908	6055	457	0	457	464
pp_replay_halving_ordinary	2005908	2011963	6055	457	0	457	464
pp_replay_halving_ordinary	2011963	2018018	6055	457	0	457	464
pp_replay_halving_ordinary	2018018	2024073	6055	457	0	457	464
pp_replay_halving_ordinary	2024073	2030128	6055	457	0	457	464
pp_replay_halving_ordinary	2030128	2036183	6055	457	0	457	464
pp_replay_halving_ordinary	2036183	2042238	6055	457	0	457	464
pp_replay_halving_ordinary	2042238	2048293	6055	457	0	457	464
pp_replay_halving_ordinary	2048293	2054348	6055	457	0	457	464
pp_replay_halving_ordinary	2054348	2060403	6055	457	0	457	464
pp_replay_halving_ordinary	2060403	2066458	6055	457	0	457	464
pp_replay_halving_ordinary	2066458	2072513	6055	457	0	457	464
pp_replay_halving_ordinary	2072513	2078568	6055	457	0	457	464
pp_replay_halving_ordinary	2078568	2084623	6055	457	0	457	464
pp_replay_halving_ordinary	2084623	2090678	6055	457	0	457	464
pp_replay_halving_ordinary	2090678	2096733	6055	457	0	457	464
pp_replay_halving_ordinary	2096733	2102788	6055	457	0	457	464
pp_replay_halving_ordinary	2102788	2108843	6055	457	0	457	464
pp_replay_halving_ordinary	2108843	2114898	6055	457	0	457	464
pp_replay_halving_ordinary	2114898	2120953	6055	457	0	457	464
pp_replay_halving_ordinary	2120953	2127008	6055	457	0	457	464
pp_replay_halving_ordinary	2127008	2133063	6055	457	0	457	464
pp_replay_halving_ordinary	2133063	2139118	6055	457	0	457	464
pp_replay_halving_ordinary	2139118	2145173	6055	457	0	457	464
pp_replay_halving_ordinary	2145173	2151228	6055	457	0	457	464
pp_replay_halving_ordinary	2151228	2157283	6055	457	0	457	464
pp_replay_halving_ordinary	2157283	2163338	6055	457	0	457	464
pp_replay_halving_ordinary	2163338	2169393	6055	457	0	457	464
pp_replay_halving_ordinary	2169393	2175448	6055	457	0	457	464
pp_replay_halving_ordinary	2175448	2181503	6055	457	0	457	464
pp_replay_halving_ordinary	2181503	2187558	6055	457	0	457	464
pp_replay_halving_ordinary	2187558	2193613	6055	457	0	457	464
pp_replay_halving_ordinary	2193613	2199668	6055	457	0	457	464
pp_replay_halving_ordinary	2199668	2205723	6055	457	0	457	464
pp_replay_halving_ordinary	2205723	2211778	6055	457	0	457	464
pp_replay_halving_ordinary	2211778	2217833	6055	457	0	457	464
pp_replay_halving_ordinary	2217833	2223888	6055	457	0	457	464
pp_replay_halving_ordinary	2223888	2229943	6055	457	0	457	464
pp_replay_halving_ordinary	2229943	2235998	6055	457	0	457	464
pp_replay_halving_ordinary	2235998	2242053	6055	457	0	457	464
pp_replay_halving_ordinary	2242053	2248108	6055	457	0	457	464
pp_replay_halving_ordinary	2248108	2254163	6055	457	0	457	464
pp_replay_halving_ordinary	2254163	2260218	6055	457	0	457	464
pp_replay_halving_ordinary	2260218	2266273	6055	457	0	457	464
pp_replay_halving_ordinary	2266273	2272328	6055	457	0	457	464
pp_replay_halving_ordinary	2272328	2278383	6055	457	0	457	464
pp_replay_halving_ordinary	2278383	2284438	6055	457	0	457	464
pp_replay_halving_ordinary	2284438	2290493	6055	457	0	457	464
pp_replay_halving_ordinary	2290493	2296548	6055	457	0	457	464
pp_replay_halving_ordinary	2296548	2302603	6055	457	0	457	464
pp_replay_halving_ordinary	2302603	2308658	6055	457	0	457	464
pp_replay_halving_ordinary	2308658	2314713	6055	457	0	457	464
pp_replay_halving_ordinary	2314713	2320768	6055	457	0	457	464
pp_replay_halving_ordinary	2320768	2326823	6055	457	0	457	464
pp_replay_halving_ordinary	2326823	2332878	6055	457	0	457	464
pp_replay_halving_ordinary	2332878	2338933	6055	457	0	457	464
pp_replay_halving_ordinary	2338933	2344988	6055	457	0	457	464
pp_replay_halving_ordinary	2344988	2351043	6055	457	0	457	464
pp_replay_halving_ordinary	2351043	2357098	6055	457	0	457	464
pp_replay_halving_ordinary	2357098	2363153	6055	457	0	457	464
pp_replay_halving_ordinary	2363153	2369208	6055	457	0	457	464
pp_replay_halving_ordinary	2369208	2375263	6055	457	0	457	464
pp_replay_halving_ordinary	2375263	2381318	6055	457	0	457	464
pp_replay_halving_ordinary	2381318	2387373	6055	457	0	457	464
pp_replay_halving_ordinary	2387373	2393428	6055	457	0	457	464
pp_replay_halving_ordinary	2393428	2399483	6055	457	0	457	464
pp_replay_halving_ordinary	2399483	2405538	6055	457	0	457	464
pp_replay_halving_ordinary	2405538	2411593	6055	457	0	457	464
pp_replay_halving_ordinary	2411593	2417648	6055	457	0	457	464
pp_replay_halving_ordinary	2417648	2423703	6055	457	0	457	464
pp_replay_halving_ordinary	2423703	2429758	6055	457	0	457	464
pp_replay_halving_ordinary	2429758	2435813	6055	457	0	457	464
pp_replay_halving_ordinary	2435813	2441868	6055	457	0	457	464
pp_replay_halving_ordinary	2441868	2447923	6055	457	0	457	464
pp_replay_halving_ordinary	2447923	2453978	6055	457	0	457	464
pp_replay_halving_ordinary	2453978	2460033	6055	457	0	457	464
pp_replay_halving_ordinary	2460033	2466088	6055	457	0	457	464
pp_replay_halving_ordinary	2466088	2472143	6055	457	0	457	464
pp_replay_halving_ordinary	2472143	2478198	6055	457	0	457	464
pp_replay_halving_ordinary	2478198	2484253	6055	457	0	457	464
pp_replay_halving_ordinary	2484253	2490308	6055	457	0	457	464
pp_replay_halving_ordinary	2490308	2496363	6055	457	0	457	464
pp_replay_halving_ordinary	2496363	2502418	6055	457	0	457	464
pp_replay_halving_ordinary	2502418	2508473	6055	457	0	457	464
pp_replay_halving_ordinary	2508473	2514528	6055	457	0	457	464
pp_replay_halving_ordinary	2514528	2520583	6055	457	0	457	464
pp_replay_halving_ordinary	2520583	2526638	6055	457	0	457	464
pp_replay_halving_ordinary	2526638	2532693	6055	457	0	457	464
pp_replay_halving_ordinary	2532693	2538748	6055	457	0	457	464
pp_replay_halving_ordinary	2538748	2544803	6055	457	0	457	464
pp_replay_halving_ordinary	2544803	2550858	6055	457	0	457	464
pp_replay_halving_ordinary	2550858	2556913	6055	457	0	457	464
