phase	start	end	ops	ccx	ccz	hmr	reset
tlm_coord_x_sub	0	6608	6608	330	2	331	590
tlm_coord_y_sub	6608	13216	6608	330	2	331	590
tlm_inverse	13216	13722	506	0	0	0	0
tlm_inverse_gcd_forward_shift_initial	13722	15254	1532	509	0	0	0
tlm_inverse_gcd_forward_compare_initial	15254	16020	766	255	0	0	0
tlm_inverse_gcd_forward_body_initial	16020	20614	4594	564	3	309	311
tlm_apply_inverse_fold_initial	20614	23472	2858	624	4	110	112
tlm_apply_inverse_swap_initial	23472	24240	768	256	0	0	0
tlm_apply_inverse_mod_sub_register_initial	24240	29960	5720	647	2	390	391
tlm_apply_inverse_mod_sub_fold_initial	29960	30619	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean_initial	30619	30935	316	19	0	20	22
tlm_inverse_gcd_forward_codec_initial	30935	30944	9	1	0	0	2
tlm_inverse_gcd_forward_shift	30944	31964	1020	254	0	0	0
tlm_inverse_gcd_forward_compare	31964	33058	1094	279	0	23	24
tlm_inverse_gcd_forward_body	33058	37708	4650	568	3	313	315
tlm_apply_inverse_fold	37708	39428	1720	310	0	54	62
tlm_apply_inverse_swap	39428	40196	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	40196	45944	5748	649	2	392	393
tlm_apply_inverse_mod_sub_fold	45944	46603	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	46603	46919	316	19	0	20	22
tlm_inverse_gcd_forward_codec	46919	46922	3	0	0	0	0
tlm_inverse_gcd_forward_shift	46922	47942	1020	254	0	0	0
tlm_inverse_gcd_forward_compare	47942	49036	1094	279	0	23	24
tlm_inverse_gcd_forward_body	49036	53715	4679	570	3	315	318
tlm_apply_inverse_fold	53715	55435	1720	310	0	54	62
tlm_apply_inverse_swap	55435	56203	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	56203	61993	5790	652	2	395	396
tlm_apply_inverse_mod_sub_fold	61993	62652	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	62652	62968	316	19	0	20	22
