peak_phase	active	op_index	allocation_phase	file	line	count
init	512	0	init	src/point_add/trailmix_ludicrous/mod.rs	460	256
init	512	0	init	src/point_add/trailmix_ludicrous/mod.rs	461	256
square_a_lo_apply_shifted_128_add	1150	4661922	init	src/point_add/trailmix_ludicrous/mod.rs	461	256
square_a_lo_apply_shifted_128_add	1150	4661922	square_a_lo_apply_shifted_128_add	src/point_add/trailmix_ludicrous/arith.rs	1616	1
square_a_lo_apply_shifted_128_add	1150	4661922	square_a_lo_apply_shifted_128_add	src/point_add/trailmix_ludicrous/arith.rs	1643	123
square_a_lo_apply_shifted_128_add	1150	4661922	square_a_lo_apply_shifted_128_add	src/point_add/trailmix_ludicrous/arith.rs	1760	1
square_a_lo_apply_shifted_128_add	1150	4661922	square_a_lo_apply_shifted_128_add	src/point_add/trailmix_ludicrous/square.rs	216	128
square_a_lo_apply_shifted_128_add	1150	4661922	square_a_lo_build	src/point_add/trailmix_ludicrous/square.rs	98	256
square_a_lo_apply_shifted_128_add	1150	4661922	square_sum_hi_lo	src/point_add/trailmix_ludicrous/square.rs	216	129
square_a_lo_apply_shifted_128_add	1150	4661922	tlm_inverse_gcd_reverse_body	reacquire	0	1
square_a_lo_apply_shifted_128_add	1150	4661922	tlm_inverse_gcd_reverse_decode	src/point_add/trailmix_ludicrous/gcd.rs	1482	255
square_a_lo_apply_unshifted_sub	1150	4657648	init	src/point_add/trailmix_ludicrous/mod.rs	461	256
square_a_lo_apply_unshifted_sub	1150	4657648	square_a_lo_apply_unshifted_sub	src/point_add/trailmix_ludicrous/arith.rs	1543	1
square_a_lo_apply_unshifted_sub	1150	4657648	square_a_lo_apply_unshifted_sub	src/point_add/trailmix_ludicrous/arith.rs	1616	1
square_a_lo_apply_unshifted_sub	1150	4657648	square_a_lo_apply_unshifted_sub	src/point_add/trailmix_ludicrous/arith.rs	1643	251
square_a_lo_apply_unshifted_sub	1150	4657648	square_a_lo_build	src/point_add/trailmix_ludicrous/square.rs	98	256
square_a_lo_apply_unshifted_sub	1150	4657648	square_sum_hi_lo	src/point_add/trailmix_ludicrous/square.rs	216	129
square_a_lo_apply_unshifted_sub	1150	4657648	tlm_inverse_gcd_reverse_body	reacquire	0	1
square_a_lo_apply_unshifted_sub	1150	4657648	tlm_inverse_gcd_reverse_decode	src/point_add/trailmix_ludicrous/gcd.rs	1482	255
square_a_lo_build	1026	4652417	init	src/point_add/trailmix_ludicrous/mod.rs	461	256
square_a_lo_build	1026	4652417	square_a_lo_build	src/point_add/arith/multiply.rs	1944	128
square_a_lo_build	1026	4652417	square_a_lo_build	src/point_add/arith/multiply.rs	1950	1
square_a_lo_build	1026	4652417	square_a_lo_build	src/point_add/trailmix_ludicrous/square.rs	98	256
square_a_lo_build	1026	4652417	square_sum_hi_lo	src/point_add/trailmix_ludicrous/square.rs	216	129
square_a_lo_build	1026	4652417	tlm_inverse_gcd_reverse_body	reacquire	0	1
square_a_lo_build	1026	4652417	tlm_inverse_gcd_reverse_decode	src/point_add/trailmix_ludicrous/gcd.rs	1482	255
square_a_lo_unbuild	1026	4683416	init	src/point_add/trailmix_ludicrous/mod.rs	461	256
square_a_lo_unbuild	1026	4683416	square_a_lo_build	src/point_add/trailmix_ludicrous/square.rs	98	256
square_a_lo_unbuild	1026	4683416	square_a_lo_unbuild	src/point_add/arith/multiply.rs	2018	128
square_a_lo_unbuild	1026	4683416	square_a_lo_unbuild	src/point_add/arith/multiply.rs	2021	1
square_a_lo_unbuild	1026	4683416	square_sum_hi_lo	src/point_add/trailmix_ludicrous/square.rs	216	129
square_a_lo_unbuild	1026	4683416	tlm_inverse_gcd_reverse_body	reacquire	0	1
square_a_lo_unbuild	1026	4683416	tlm_inverse_gcd_reverse_decode	src/point_add/trailmix_ludicrous/gcd.rs	1482	255
square_b_hi_apply_f_times_sub	1150	4894425	init	src/point_add/trailmix_ludicrous/mod.rs	461	256
square_b_hi_apply_f_times_sub	1150	4894425	square_b_hi_apply_f_times_sub	src/point_add/trailmix_ludicrous/arith.rs	1543	1
square_b_hi_apply_f_times_sub	1150	4894425	square_b_hi_apply_f_times_sub	src/point_add/trailmix_ludicrous/arith.rs	1616	1
square_b_hi_apply_f_times_sub	1150	4894425	square_b_hi_apply_f_times_sub	src/point_add/trailmix_ludicrous/arith.rs	1643	251
square_b_hi_apply_f_times_sub	1150	4894425	square_b_hi_build	src/point_add/trailmix_ludicrous/square.rs	98	256
square_b_hi_apply_f_times_sub	1150	4894425	square_sum_hi_lo	src/point_add/trailmix_ludicrous/square.rs	216	129
square_b_hi_apply_f_times_sub	1150	4894425	tlm_inverse_gcd_reverse_body	reacquire	0	1
square_b_hi_apply_f_times_sub	1150	4894425	tlm_inverse_gcd_reverse_decode	src/point_add/trailmix_ludicrous/gcd.rs	1482	255
