peak_phase	active	op_index	allocation_phase	file	line	count
init	1041	87	init	src/point_add/trailmix_ludicrous/ec_add.rs	319	256
init	1041	87	init	src/point_add/trailmix_ludicrous/ec_add.rs	320	256
init	1041	87	init	src/point_add/trailmix_ludicrous/ec_add.rs	471	1
init	1041	87	init	src/point_add/trailmix_ludicrous/mod.rs	460	256
init	1041	87	init	src/point_add/trailmix_ludicrous/mod.rs	461	256
init	1041	87	init	src/point_add/trailmix_ludicrous/mod.rs	469	16
square_a_lo_apply_shifted_128_add	1043	105975517	init	src/point_add/trailmix_ludicrous/ec_add.rs	471	1
square_a_lo_apply_shifted_128_add	1043	105975517	init	src/point_add/trailmix_ludicrous/mod.rs	461	256
square_a_lo_apply_shifted_128_add	1043	105975517	init	src/point_add/trailmix_ludicrous/mod.rs	469	16
square_a_lo_apply_shifted_128_add	1043	105975517	square_a_lo_apply_shifted_128_add	src/point_add/trailmix_ludicrous/arith.rs	1518	1
square_a_lo_apply_shifted_128_add	1043	105975517	square_a_lo_apply_shifted_128_add	src/point_add/trailmix_ludicrous/square.rs	216	128
square_a_lo_apply_shifted_128_add	1043	105975517	square_a_lo_build	src/point_add/trailmix_ludicrous/square.rs	98	256
square_a_lo_apply_shifted_128_add	1043	105975517	square_sum_hi_lo	src/point_add/trailmix_ludicrous/square.rs	216	129
square_a_lo_apply_shifted_128_add	1043	105975517	tlm_inverse_gcd_reverse_body	reacquire	0	1
square_a_lo_apply_shifted_128_add	1043	105975517	tlm_inverse_gcd_reverse_decode	src/point_add/trailmix_ludicrous/gcd.rs	1482	255
square_a_lo_apply_unshifted_sub	915	105970075	init	src/point_add/trailmix_ludicrous/ec_add.rs	471	1
square_a_lo_apply_unshifted_sub	915	105970075	init	src/point_add/trailmix_ludicrous/mod.rs	461	256
square_a_lo_apply_unshifted_sub	915	105970075	init	src/point_add/trailmix_ludicrous/mod.rs	469	16
square_a_lo_apply_unshifted_sub	915	105970075	square_a_lo_apply_unshifted_sub	src/point_add/trailmix_ludicrous/gcd.rs	1832	1
square_a_lo_apply_unshifted_sub	915	105970075	square_a_lo_build	src/point_add/trailmix_ludicrous/square.rs	98	256
square_a_lo_apply_unshifted_sub	915	105970075	square_sum_hi_lo	src/point_add/trailmix_ludicrous/square.rs	216	129
square_a_lo_apply_unshifted_sub	915	105970075	tlm_inverse_gcd_reverse_body	reacquire	0	1
square_a_lo_apply_unshifted_sub	915	105970075	tlm_inverse_gcd_reverse_decode	src/point_add/trailmix_ludicrous/gcd.rs	1482	255
square_a_lo_build	1043	105966111	init	src/point_add/trailmix_ludicrous/ec_add.rs	471	1
square_a_lo_build	1043	105966111	init	src/point_add/trailmix_ludicrous/mod.rs	461	256
square_a_lo_build	1043	105966111	init	src/point_add/trailmix_ludicrous/mod.rs	469	16
square_a_lo_build	1043	105966111	square_a_lo_build	src/point_add/arith/multiply.rs	1944	128
square_a_lo_build	1043	105966111	square_a_lo_build	src/point_add/arith/multiply.rs	1950	1
