phase	start	end	ops	ccx	ccz	hmr	reset
init	0	87	87	29	0	0	3
window_qrom_xy_load_walk	87	33947725	33947638	65534	0	65534	65534
tlm_coord_x_sub	33947725	33951005	3280	586	2	75	78
tlm_coord_y_sub	33951005	33954285	3280	586	2	75	78
window_qrom_xy_unload_measure	33954285	33955309	1024	0	0	512	512
window_qrom_xy_unload_clear	33955309	67513833	33558524	1020	0	0	512
tlm_inverse	67513833	67514339	506	0	0	0	0
tlm_inverse_gcd_forward_shift_initial	67514339	67515871	1532	509	0	0	0
tlm_inverse_gcd_forward_compare_initial	67515871	67516637	766	255	0	0	0
tlm_inverse_gcd_forward_body_initial	67516637	67521316	4679	570	3	315	318
tlm_apply_inverse_fold_initial	67521316	67524174	2858	624	4	110	112
tlm_apply_inverse_swap_initial	67524174	67524942	768	256	0	0	0
tlm_apply_inverse_mod_sub_register_initial	67524942	67530900	5958	664	2	407	408
tlm_apply_inverse_mod_sub_fold_initial	67530900	67531559	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean_initial	67531559	67531875	316	19	0	20	22
tlm_inverse_gcd_forward_codec_initial	67531875	67531884	9	1	0	0	2
tlm_inverse_gcd_forward_shift	67531884	67532904	1020	254	0	0	0
tlm_inverse_gcd_forward_compare	67532904	67533998	1094	279	0	23	24
tlm_inverse_gcd_forward_body	67533998	67538677	4679	570	3	315	318
tlm_apply_inverse_fold	67538677	67540397	1720	310	0	54	62
tlm_apply_inverse_swap	67540397	67541165	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	67541165	67547151	5986	666	2	409	410
tlm_apply_inverse_mod_sub_fold	67547151	67547810	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	67547810	67548126	316	19	0	20	22
tlm_inverse_gcd_forward_codec	67548126	67548129	3	0	0	0	0
tlm_inverse_gcd_forward_shift	67548129	67549149	1020	254	0	0	0
tlm_inverse_gcd_forward_compare	67549149	67550243	1094	279	0	23	24
tlm_inverse_gcd_forward_body	67550243	67554922	4679	570	3	315	318
tlm_apply_inverse_fold	67554922	67556642	1720	310	0	54	62
tlm_apply_inverse_swap	67556642	67557410	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	67557410	67563438	6028	669	2	412	413
