phase	start	end	ops	ccx	ccz	hmr	reset
init	0	87	87	29	0	0	3
window_qrom_xy_load_walk	87	34078793	34078706	65534	0	65534	65534
tlm_coord_x_sub	34078793	34082073	3280	586	2	75	78
tlm_coord_y_sub	34082073	34085353	3280	586	2	75	78
window_qrom_xy_unload_measure	34085353	34086377	1024	0	0	512	512
window_qrom_xy_unload_clear	34086377	67644901	33558524	1020	0	0	512
tlm_inverse	67644901	67645407	506	0	0	0	0
tlm_inverse_gcd_forward_shift_initial	67645407	67646939	1532	509	0	0	0
tlm_inverse_gcd_forward_compare_initial	67646939	67647705	766	255	0	0	0
tlm_inverse_gcd_forward_body_initial	67647705	67652384	4679	570	3	315	318
tlm_apply_inverse_fold_initial	67652384	67655242	2858	624	4	110	112
tlm_apply_inverse_swap_initial	67655242	67656010	768	256	0	0	0
tlm_apply_inverse_mod_sub_register_initial	67656010	67661968	5958	664	2	407	408
tlm_apply_inverse_mod_sub_fold_initial	67661968	67662627	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean_initial	67662627	67662943	316	19	0	20	22
tlm_inverse_gcd_forward_codec_initial	67662943	67662952	9	1	0	0	2
tlm_inverse_gcd_forward_shift	67662952	67663972	1020	254	0	0	0
tlm_inverse_gcd_forward_compare	67663972	67665066	1094	279	0	23	24
tlm_inverse_gcd_forward_body	67665066	67669745	4679	570	3	315	318
tlm_apply_inverse_fold	67669745	67671465	1720	310	0	54	62
tlm_apply_inverse_swap	67671465	67672233	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	67672233	67678219	5986	666	2	409	410
tlm_apply_inverse_mod_sub_fold	67678219	67678878	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	67678878	67679194	316	19	0	20	22
tlm_inverse_gcd_forward_codec	67679194	67679197	3	0	0	0	0
tlm_inverse_gcd_forward_shift	67679197	67680217	1020	254	0	0	0
tlm_inverse_gcd_forward_compare	67680217	67681311	1094	279	0	23	24
tlm_inverse_gcd_forward_body	67681311	67685990	4679	570	3	315	318
