peak_phase	active	op_index	allocation_phase	file	line	count
init	1029	22	init	src/point_add/trailmix_ludicrous/ec_add.rs	319	256
init	1029	22	init	src/point_add/trailmix_ludicrous/ec_add.rs	320	256
init	1029	22	init	src/point_add/trailmix_ludicrous/ec_add.rs	471	1
init	1029	22	init	src/point_add/trailmix_ludicrous/mod.rs	460	256
init	1029	22	init	src/point_add/trailmix_ludicrous/mod.rs	461	256
init	1029	22	init	src/point_add/trailmix_ludicrous/mod.rs	469	4
square_a_lo_apply_shifted_128_add	1031	4707667	init	src/point_add/trailmix_ludicrous/ec_add.rs	471	1
square_a_lo_apply_shifted_128_add	1031	4707667	init	src/point_add/trailmix_ludicrous/mod.rs	461	256
square_a_lo_apply_shifted_128_add	1031	4707667	init	src/point_add/trailmix_ludicrous/mod.rs	469	4
square_a_lo_apply_shifted_128_add	1031	4707667	square_a_lo_apply_shifted_128_add	src/point_add/trailmix_ludicrous/arith.rs	1518	1
square_a_lo_apply_shifted_128_add	1031	4707667	square_a_lo_apply_shifted_128_add	src/point_add/trailmix_ludicrous/square.rs	216	128
square_a_lo_apply_shifted_128_add	1031	4707667	square_a_lo_build	src/point_add/trailmix_ludicrous/square.rs	98	256
square_a_lo_apply_shifted_128_add	1031	4707667	square_sum_hi_lo	src/point_add/trailmix_ludicrous/square.rs	216	129
square_a_lo_apply_shifted_128_add	1031	4707667	tlm_inverse_gcd_reverse_body	reacquire	0	1
square_a_lo_apply_shifted_128_add	1031	4707667	tlm_inverse_gcd_reverse_decode	src/point_add/trailmix_ludicrous/gcd.rs	1482	255
square_a_lo_apply_unshifted_sub	903	4702225	init	src/point_add/trailmix_ludicrous/ec_add.rs	471	1
square_a_lo_apply_unshifted_sub	903	4702225	init	src/point_add/trailmix_ludicrous/mod.rs	461	256
square_a_lo_apply_unshifted_sub	903	4702225	init	src/point_add/trailmix_ludicrous/mod.rs	469	4
square_a_lo_apply_unshifted_sub	903	4702225	square_a_lo_apply_unshifted_sub	src/point_add/trailmix_ludicrous/gcd.rs	1832	1
square_a_lo_apply_unshifted_sub	903	4702225	square_a_lo_build	src/point_add/trailmix_ludicrous/square.rs	98	256
square_a_lo_apply_unshifted_sub	903	4702225	square_sum_hi_lo	src/point_add/trailmix_ludicrous/square.rs	216	129
square_a_lo_apply_unshifted_sub	903	4702225	tlm_inverse_gcd_reverse_body	reacquire	0	1
square_a_lo_apply_unshifted_sub	903	4702225	tlm_inverse_gcd_reverse_decode	src/point_add/trailmix_ludicrous/gcd.rs	1482	255
square_a_lo_build	1031	4698261	init	src/point_add/trailmix_ludicrous/ec_add.rs	471	1
square_a_lo_build	1031	4698261	init	src/point_add/trailmix_ludicrous/mod.rs	461	256
square_a_lo_build	1031	4698261	init	src/point_add/trailmix_ludicrous/mod.rs	469	4
square_a_lo_build	1031	4698261	square_a_lo_build	src/point_add/arith/multiply.rs	1944	128
square_a_lo_build	1031	4698261	square_a_lo_build	src/point_add/arith/multiply.rs	1950	1
square_a_lo_build	1031	4698261	square_a_lo_build	src/point_add/trailmix_ludicrous/square.rs	98	256
square_a_lo_build	1031	4698261	square_sum_hi_lo	src/point_add/trailmix_ludicrous/square.rs	216	129
square_a_lo_build	1031	4698261	tlm_inverse_gcd_reverse_body	reacquire	0	1
square_a_lo_build	1031	4698261	tlm_inverse_gcd_reverse_decode	src/point_add/trailmix_ludicrous/gcd.rs	1482	255
square_a_lo_unbuild	1031	4738884	init	src/point_add/trailmix_ludicrous/ec_add.rs	471	1
square_a_lo_unbuild	1031	4738884	init	src/point_add/trailmix_ludicrous/mod.rs	461	256
square_a_lo_unbuild	1031	4738884	init	src/point_add/trailmix_ludicrous/mod.rs	469	4
square_a_lo_unbuild	1031	4738884	square_a_lo_build	src/point_add/trailmix_ludicrous/square.rs	98	256
square_a_lo_unbuild	1031	4738884	square_a_lo_unbuild	src/point_add/arith/multiply.rs	2018	128
square_a_lo_unbuild	1031	4738884	square_a_lo_unbuild	src/point_add/arith/multiply.rs	2021	1
square_a_lo_unbuild	1031	4738884	square_sum_hi_lo	src/point_add/trailmix_ludicrous/square.rs	216	129
square_a_lo_unbuild	1031	4738884	tlm_inverse_gcd_reverse_body	reacquire	0	1
square_a_lo_unbuild	1031	4738884	tlm_inverse_gcd_reverse_decode	src/point_add/trailmix_ludicrous/gcd.rs	1482	255
square_b_hi_apply_f_times_sub	904	4957574	init	src/point_add/trailmix_ludicrous/ec_add.rs	471	1
square_b_hi_apply_f_times_sub	904	4957574	init	src/point_add/trailmix_ludicrous/mod.rs	461	256
square_b_hi_apply_f_times_sub	904	4957574	init	src/point_add/trailmix_ludicrous/mod.rs	469	4
square_b_hi_apply_f_times_sub	904	4957574	square_b_hi_apply_f_times_sub	src/point_add/trailmix_ludicrous/gcd.rs	1832	1
square_b_hi_apply_f_times_sub	904	4957574	square_b_hi_apply_f_times_sub	src/point_add/trailmix_ludicrous/square.rs	216	1
square_b_hi_apply_f_times_sub	904	4957574	square_b_hi_build	src/point_add/trailmix_ludicrous/square.rs	98	256
square_b_hi_apply_f_times_sub	904	4957574	square_sum_hi_lo	src/point_add/trailmix_ludicrous/square.rs	216	129
square_b_hi_apply_f_times_sub	904	4957574	tlm_inverse_gcd_reverse_body	reacquire	0	1
square_b_hi_apply_f_times_sub	904	4957574	tlm_inverse_gcd_reverse_decode	src/point_add/trailmix_ludicrous/gcd.rs	1482	255
square_b_hi_apply_shifted_128_add	1031	4927146	init	src/point_add/trailmix_ludicrous/ec_add.rs	471	1
square_b_hi_apply_shifted_128_add	1031	4927146	init	src/point_add/trailmix_ludicrous/mod.rs	461	256
