phase	start	end	ops	ccx	ccz	hmr	reset
init	0	22	22	3	0	2	2
window_qrom_xy_load_walk	22	8328	8306	14	0	14	14
tlm_coord_x_sub	8328	11608	3280	586	2	75	78
tlm_coord_y_sub	11608	14888	3280	586	2	75	78
window_qrom_xy_unload_measure	14888	15912	1024	0	0	512	512
window_qrom_xy_unload_clear	15912	25676	9764	12	0	0	8
tlm_inverse	25676	26182	506	0	0	0	0
tlm_inverse_gcd_forward_shift_initial	26182	27714	1532	509	0	0	0
tlm_inverse_gcd_forward_compare_initial	27714	28480	766	255	0	0	0
tlm_inverse_gcd_forward_body_initial	28480	33159	4679	570	3	315	318
tlm_apply_inverse_fold_initial	33159	36017	2858	624	4	110	112
tlm_apply_inverse_swap_initial	36017	36785	768	256	0	0	0
tlm_apply_inverse_mod_sub_register_initial	36785	42575	5790	652	2	395	396
tlm_apply_inverse_mod_sub_fold_initial	42575	43234	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean_initial	43234	43550	316	19	0	20	22
tlm_inverse_gcd_forward_codec_initial	43550	43559	9	1	0	0	2
tlm_inverse_gcd_forward_shift	43559	44579	1020	254	0	0	0
tlm_inverse_gcd_forward_compare	44579	45673	1094	279	0	23	24
tlm_inverse_gcd_forward_body	45673	50352	4679	570	3	315	318
tlm_apply_inverse_fold	50352	52072	1720	310	0	54	62
tlm_apply_inverse_swap	52072	52840	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	52840	58658	5818	654	2	397	398
tlm_apply_inverse_mod_sub_fold	58658	59317	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	59317	59633	316	19	0	20	22
tlm_inverse_gcd_forward_codec	59633	59636	3	0	0	0	0
tlm_inverse_gcd_forward_shift	59636	60656	1020	254	0	0	0
tlm_inverse_gcd_forward_compare	60656	61750	1094	279	0	23	24
tlm_inverse_gcd_forward_body	61750	66429	4679	570	3	315	318
tlm_apply_inverse_fold	66429	68149	1720	310	0	54	62
tlm_apply_inverse_swap	68149	68917	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	68917	74777	5860	657	2	400	401
tlm_apply_inverse_mod_sub_fold	74777	75436	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	75436	75752	316	19	0	20	22
tlm_inverse_gcd_forward_codec	75752	75755	3	0	0	0	0
tlm_inverse_gcd_forward_shift	75755	76775	1020	254	0	0	0
tlm_inverse_gcd_forward_compare	76775	77883	1108	280	0	24	25
tlm_inverse_gcd_forward_body	77883	82562	4679	570	3	315	318
tlm_apply_inverse_fold	82562	84282	1720	310	0	54	62
tlm_apply_inverse_swap	84282	85050	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	85050	90952	5902	660	2	403	404
tlm_apply_inverse_mod_sub_fold	90952	91611	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	91611	91927	316	19	0	20	22
tlm_inverse_gcd_forward_codec	91927	92093	166	18	0	4	7
tlm_inverse_gcd_forward_shift	92093	93113	1020	254	0	0	0
tlm_inverse_gcd_forward_compare	93113	94235	1122	281	0	25	26
tlm_inverse_gcd_forward_body	94235	98914	4679	570	3	315	318
tlm_apply_inverse_fold	98914	100634	1720	310	0	54	62
tlm_apply_inverse_swap	100634	101402	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	101402	107318	5916	661	2	404	405
tlm_apply_inverse_mod_sub_fold	107318	107977	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	107977	108293	316	19	0	20	22
tlm_inverse_gcd_forward_codec	108293	108296	3	0	0	0	0
tlm_inverse_gcd_forward_shift	108296	109316	1020	254	0	0	0
tlm_inverse_gcd_forward_compare	109316	110466	1150	283	0	27	28
tlm_inverse_gcd_forward_body	110466	115145	4679	570	3	315	318
tlm_apply_inverse_fold	115145	116865	1720	310	0	54	62
tlm_apply_inverse_swap	116865	117633	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	117633	123591	5958	664	2	407	408
tlm_apply_inverse_mod_sub_fold	123591	124250	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	124250	124566	316	19	0	20	22
tlm_inverse_gcd_forward_codec	124566	124569	3	0	0	0	0
tlm_inverse_gcd_forward_shift	124569	125589	1020	254	0	0	0
tlm_inverse_gcd_forward_compare	125589	126739	1150	283	0	27	28
tlm_inverse_gcd_forward_body	126739	131418	4679	570	3	315	318
tlm_apply_inverse_fold	131418	133138	1720	310	0	54	62
tlm_apply_inverse_swap	133138	133906	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	133906	139906	6000	667	2	410	411
tlm_apply_inverse_mod_sub_fold	139906	140565	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	140565	140881	316	19	0	20	22
tlm_inverse_gcd_forward_codec	140881	141047	166	18	0	4	7
tlm_inverse_gcd_forward_shift	141047	142067	1020	254	0	0	0
tlm_inverse_gcd_forward_compare	142067	143231	1164	284	0	28	29
tlm_inverse_gcd_forward_body	143231	147910	4679	570	3	315	318
tlm_apply_inverse_fold	147910	149630	1720	310	0	54	62
tlm_apply_inverse_swap	149630	150398	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	150398	156412	6014	668	2	411	412
tlm_apply_inverse_mod_sub_fold	156412	157071	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	157071	157387	316	19	0	20	22
tlm_inverse_gcd_forward_codec	157387	157390	3	0	0	0	0
tlm_inverse_gcd_forward_shift	157390	158410	1020	254	0	0	0
tlm_inverse_gcd_forward_compare	158410	159602	1192	286	0	30	31
tlm_inverse_gcd_forward_body	159602	164281	4679	570	3	315	318
tlm_apply_inverse_fold	164281	166001	1720	310	0	54	62
tlm_apply_inverse_swap	166001	166769	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	166769	172825	6056	671	2	414	415
tlm_apply_inverse_mod_sub_fold	172825	173484	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	173484	173800	316	19	0	20	22
tlm_inverse_gcd_forward_codec	173800	173803	3	0	0	0	0
tlm_inverse_gcd_forward_shift	173803	174823	1020	254	0	0	0
tlm_inverse_gcd_forward_compare	174823	176015	1192	286	0	30	31
tlm_inverse_gcd_forward_body	176015	180694	4679	570	3	315	318
tlm_apply_inverse_fold	180694	182414	1720	310	0	54	62
tlm_apply_inverse_swap	182414	183182	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	183182	189280	6098	674	2	417	418
tlm_apply_inverse_mod_sub_fold	189280	189939	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	189939	190255	316	19	0	20	22
tlm_inverse_gcd_forward_codec	190255	190421	166	18	0	4	7
tlm_inverse_gcd_forward_shift	190421	191441	1020	254	0	0	0
tlm_inverse_gcd_forward_compare	191441	192661	1220	288	0	32	33
tlm_inverse_gcd_forward_body	192661	197340	4679	570	3	315	318
tlm_apply_inverse_fold	197340	199060	1720	310	0	54	62
tlm_apply_inverse_swap	199060	199828	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	199828	205940	6112	675	2	418	419
tlm_apply_inverse_mod_sub_fold	205940	206599	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	206599	206915	316	19	0	20	22
tlm_inverse_gcd_forward_codec	206915	206918	3	0	0	0	0
tlm_inverse_gcd_forward_shift	206918	207936	1018	253	0	0	2
tlm_inverse_gcd_forward_compare	207936	209153	1217	287	0	32	33
tlm_inverse_gcd_forward_body	209153	213817	4664	568	3	314	317
tlm_apply_inverse_fold	213817	215537	1720	310	0	54	62
tlm_apply_inverse_swap	215537	216305	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	216305	222431	6126	676	2	419	420
tlm_apply_inverse_mod_sub_fold	222431	223090	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	223090	223406	316	19	0	20	22
tlm_inverse_gcd_forward_codec	223406	223409	3	0	0	0	0
tlm_inverse_gcd_forward_shift	223409	224423	1014	252	0	0	2
tlm_inverse_gcd_forward_compare	224423	225637	1214	286	0	32	33
tlm_inverse_gcd_forward_body	225637	230286	4649	566	3	313	316
tlm_apply_inverse_fold	230286	232006	1720	310	0	54	62
tlm_apply_inverse_swap	232006	232774	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	232774	237235	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	237235	237894	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	237894	238210	316	19	0	20	22
tlm_inverse_gcd_forward_codec	238210	238376	166	18	0	4	7
tlm_inverse_gcd_forward_shift	238376	239386	1010	251	0	0	2
tlm_inverse_gcd_forward_compare	239386	240597	1211	285	0	32	33
tlm_inverse_gcd_forward_body	240597	245231	4634	564	3	312	315
tlm_apply_inverse_fold	245231	246951	1720	310	0	54	62
tlm_apply_inverse_swap	246951	247719	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	247719	252180	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	252180	252839	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	252839	253155	316	19	0	20	22
tlm_inverse_gcd_forward_codec	253155	253158	3	0	0	0	0
tlm_inverse_gcd_forward_shift	253158	254164	1006	250	0	0	2
tlm_inverse_gcd_forward_compare	254164	255372	1208	284	0	32	33
tlm_inverse_gcd_forward_body	255372	259991	4619	562	3	311	314
tlm_apply_inverse_fold	259991	261711	1720	310	0	54	62
tlm_apply_inverse_swap	261711	262479	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	262479	266940	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	266940	267599	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	267599	267915	316	19	0	20	22
tlm_inverse_gcd_forward_codec	267915	267918	3	0	0	0	0
tlm_inverse_gcd_forward_shift	267918	268920	1002	249	0	0	2
tlm_inverse_gcd_forward_compare	268920	270125	1205	283	0	32	33
tlm_inverse_gcd_forward_body	270125	274729	4604	560	3	310	313
tlm_apply_inverse_fold	274729	276449	1720	310	0	54	62
tlm_apply_inverse_swap	276449	277217	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	277217	281678	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	281678	282337	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	282337	282653	316	19	0	20	22
tlm_inverse_gcd_forward_codec	282653	282819	166	18	0	4	7
tlm_inverse_gcd_forward_shift	282819	283817	998	248	0	0	2
tlm_inverse_gcd_forward_compare	283817	285033	1216	283	0	33	34
tlm_inverse_gcd_forward_body	285033	289622	4589	558	3	309	312
tlm_apply_inverse_fold	289622	291342	1720	310	0	54	62
tlm_apply_inverse_swap	291342	292110	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	292110	296571	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	296571	297230	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	297230	297546	316	19	0	20	22
tlm_inverse_gcd_forward_codec	297546	297549	3	0	0	0	0
tlm_inverse_gcd_forward_shift	297549	298543	994	247	0	0	2
tlm_inverse_gcd_forward_compare	298543	299756	1213	282	0	33	34
tlm_inverse_gcd_forward_body	299756	304330	4574	556	3	308	311
tlm_apply_inverse_fold	304330	306050	1720	310	0	54	62
tlm_apply_inverse_swap	306050	306818	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	306818	311279	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	311279	311938	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	311938	312254	316	19	0	20	22
tlm_inverse_gcd_forward_codec	312254	312257	3	0	0	0	0
tlm_inverse_gcd_forward_shift	312257	313247	990	246	0	0	2
tlm_inverse_gcd_forward_compare	313247	314443	1196	280	0	32	33
tlm_inverse_gcd_forward_body	314443	319002	4559	554	3	307	310
tlm_apply_inverse_fold	319002	320722	1720	310	0	54	62
tlm_apply_inverse_swap	320722	321490	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	321490	325951	4461	557	2	300	302
tlm_apply_inverse_mod_sub_fold	325951	326610	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	326610	326926	316	19	0	20	22
tlm_inverse_gcd_forward_codec	326926	327092	166	18	0	4	7
tlm_inverse_gcd_forward_shift	327092	328078	986	245	0	0	2
tlm_inverse_gcd_forward_compare	328078	329285	1207	280	0	33	34
tlm_inverse_gcd_forward_body	329285	333829	4544	552	3	306	309
tlm_apply_inverse_fold	333829	335549	1720	310	0	54	62
