peak_phase	active	op_index	allocation_phase	file	line	count
init	512	0	init	src/bin/../point_add/pingpong_div.rs	1194	256
init	512	0	init	src/bin/../point_add/pingpong_div.rs	1195	256
pp_coefficient_allocate	1232	1319751	init	src/bin/../point_add/pingpong_div.rs	1194	8
pp_coefficient_allocate	1232	1319751	init	src/bin/../point_add/pingpong_div.rs	1195	256
pp_coefficient_allocate	1232	1319751	pp_coefficient_allocate	src/bin/../point_add/pingpong_div.rs	76	256
pp_coefficient_allocate	1232	1319751	pp_setup	src/bin/../point_add/arith/adder.rs	341	8
pp_coefficient_allocate	1232	1319751	pp_value_forward	src/bin/../point_add/pingpong_div.rs	265	1
pp_coefficient_allocate	1232	1319751	pp_value_forward	src/bin/../point_add/pingpong_div.rs	508	703
pp_coefficient_clear	1232	4991244	init	src/bin/../point_add/pingpong_div.rs	1194	8
pp_coefficient_clear	1232	4991244	init	src/bin/../point_add/pingpong_div.rs	1195	256
pp_coefficient_clear	1232	4991244	pp_coefficient_allocate	src/bin/../point_add/pingpong_div.rs	76	256
pp_coefficient_clear	1232	4991244	pp_setup	src/bin/../point_add/arith/adder.rs	341	8
pp_coefficient_clear	1232	4991244	pp_value_forward	src/bin/../point_add/pingpong_div.rs	265	1
pp_coefficient_clear	1232	4991244	pp_value_forward	src/bin/../point_add/pingpong_div.rs	508	703
pp_endpoint	1320	4989412	init	src/bin/../point_add/pingpong_div.rs	1194	8
pp_endpoint	1320	4989412	init	src/bin/../point_add/pingpong_div.rs	1195	256
pp_endpoint	1320	4989412	pp_coefficient_allocate	src/bin/../point_add/pingpong_div.rs	76	256
pp_endpoint	1320	4989412	pp_endpoint	src/bin/../point_add/arith/const_arith.rs	417	88
pp_endpoint	1320	4989412	pp_setup	src/bin/../point_add/arith/adder.rs	341	8
pp_endpoint	1320	4989412	pp_value_forward	src/bin/../point_add/pingpong_div.rs	265	1
pp_endpoint	1320	4989412	pp_value_forward	src/bin/../point_add/pingpong_div.rs	508	703
pp_replay_halving_initial	1321	1319752	init	src/bin/../point_add/pingpong_div.rs	1194	8
pp_replay_halving_initial	1321	1319752	init	src/bin/../point_add/pingpong_div.rs	1195	256
pp_replay_halving_initial	1321	1319752	pp_coefficient_allocate	src/bin/../point_add/pingpong_div.rs	76	256
pp_replay_halving_initial	1321	1319752	pp_replay_halving_initial	src/bin/../point_add/arith/const_arith.rs	417	88
pp_replay_halving_initial	1321	1319752	pp_replay_halving_initial	src/bin/../point_add/pingpong_div.rs	1081	1
pp_replay_halving_initial	1321	1319752	pp_setup	src/bin/../point_add/arith/adder.rs	341	8
pp_replay_halving_initial	1321	1319752	pp_value_forward	src/bin/../point_add/pingpong_div.rs	265	1
pp_replay_halving_initial	1321	1319752	pp_value_forward	src/bin/../point_add/pingpong_div.rs	508	703
pp_replay_halving_ordinary	1319	1322866	init	src/bin/../point_add/pingpong_div.rs	1194	8
pp_replay_halving_ordinary	1319	1322866	init	src/bin/../point_add/pingpong_div.rs	1195	256
pp_replay_halving_ordinary	1319	1322866	pp_coefficient_allocate	src/bin/../point_add/pingpong_div.rs	76	256
pp_replay_halving_ordinary	1319	1322866	pp_replay_halving_ordinary	src/bin/../point_add/pingpong_div.rs	629	85
pp_replay_halving_ordinary	1319	1322866	pp_replay_halving_ordinary	src/bin/../point_add/pingpong_div.rs	714	1
pp_replay_halving_ordinary	1319	1322866	pp_replay_halving_ordinary	src/bin/../point_add/pingpong_div.rs	873	1
pp_replay_halving_ordinary	1319	1322866	pp_setup	src/bin/../point_add/arith/adder.rs	341	8
pp_replay_halving_ordinary	1319	1322866	pp_value_forward	src/bin/../point_add/pingpong_div.rs	265	1
pp_replay_halving_ordinary	1319	1322866	pp_value_forward	src/bin/../point_add/pingpong_div.rs	508	703
pp_replay_halving_seed	1321	1321687	init	src/bin/../point_add/pingpong_div.rs	1194	8
pp_replay_halving_seed	1321	1321687	init	src/bin/../point_add/pingpong_div.rs	1195	256
pp_replay_halving_seed	1321	1321687	pp_coefficient_allocate	src/bin/../point_add/pingpong_div.rs	76	256
pp_replay_halving_seed	1321	1321687	pp_replay_halving_seed	src/bin/../point_add/arith/const_arith.rs	417	88
pp_replay_halving_seed	1321	1321687	pp_replay_halving_seed	src/bin/../point_add/pingpong_div.rs	1081	1
pp_replay_halving_seed	1321	1321687	pp_setup	src/bin/../point_add/arith/adder.rs	341	8
pp_replay_halving_seed	1321	1321687	pp_value_forward	src/bin/../point_add/pingpong_div.rs	265	1
pp_replay_halving_seed	1321	1321687	pp_value_forward	src/bin/../point_add/pingpong_div.rs	508	703
pp_replay_inverse_initial	1321	12262562	init	src/bin/../point_add/pingpong_div.rs	1194	8
pp_replay_inverse_initial	1321	12262562	init	src/bin/../point_add/pingpong_div.rs	1195	256
pp_replay_inverse_initial	1321	12262562	pp_coefficient_allocate	src/bin/../point_add/pingpong_div.rs	76	256
pp_replay_inverse_initial	1321	12262562	pp_replay_inverse_initial	src/bin/../point_add/arith/const_arith.rs	417	88
pp_replay_inverse_initial	1321	12262562	pp_replay_inverse_initial	src/bin/../point_add/pingpong_div.rs	1102	1
pp_replay_inverse_initial	1321	12262562	pp_setup	src/bin/../point_add/arith/adder.rs	341	8
pp_replay_inverse_initial	1321	12262562	pp_value_forward	src/bin/../point_add/pingpong_div.rs	265	1
pp_replay_inverse_initial	1321	12262562	pp_value_forward	src/bin/../point_add/pingpong_div.rs	508	703
pp_replay_inverse_ordinary	1320	8590127	init	src/bin/../point_add/pingpong_div.rs	1194	8
pp_replay_inverse_ordinary	1320	8590127	init	src/bin/../point_add/pingpong_div.rs	1195	256
pp_replay_inverse_ordinary	1320	8590127	pp_coefficient_allocate	src/bin/../point_add/pingpong_div.rs	76	256
pp_replay_inverse_ordinary	1320	8590127	pp_replay_inverse_ordinary	src/bin/../point_add/pingpong_div.rs	629	85
pp_replay_inverse_ordinary	1320	8590127	pp_replay_inverse_ordinary	src/bin/../point_add/pingpong_div.rs	714	1
pp_replay_inverse_ordinary	1320	8590127	pp_replay_inverse_ordinary	src/bin/../point_add/pingpong_div.rs	961	1
pp_replay_inverse_ordinary	1320	8590127	pp_replay_inverse_ordinary	src/bin/../point_add/pingpong_div.rs	970	1
pp_replay_inverse_ordinary	1320	8590127	pp_setup	src/bin/../point_add/arith/adder.rs	341	8
pp_replay_inverse_ordinary	1320	8590127	pp_value_forward	src/bin/../point_add/pingpong_div.rs	265	1
pp_replay_inverse_ordinary	1320	8590127	pp_value_forward	src/bin/../point_add/pingpong_div.rs	508	703
pp_replay_inverse_seed	1321	12260628	init	src/bin/../point_add/pingpong_div.rs	1194	8
pp_replay_inverse_seed	1321	12260628	init	src/bin/../point_add/pingpong_div.rs	1195	256
pp_replay_inverse_seed	1321	12260628	pp_coefficient_allocate	src/bin/../point_add/pingpong_div.rs	76	256
pp_replay_inverse_seed	1321	12260628	pp_replay_inverse_seed	src/bin/../point_add/arith/const_arith.rs	417	88
pp_replay_inverse_seed	1321	12260628	pp_replay_inverse_seed	src/bin/../point_add/pingpong_div.rs	1102	1
pp_replay_inverse_seed	1321	12260628	pp_setup	src/bin/../point_add/arith/adder.rs	341	8
pp_replay_inverse_seed	1321	12260628	pp_value_forward	src/bin/../point_add/pingpong_div.rs	265	1
pp_replay_inverse_seed	1321	12260628	pp_value_forward	src/bin/../point_add/pingpong_div.rs	508	703
pp_restore_layout	775	6295161	init	src/bin/../point_add/pingpong_div.rs	1194	8
pp_restore_layout	775	6295161	init	src/bin/../point_add/pingpong_div.rs	1195	256
pp_restore_layout	775	6295161	pp_restore_layout	reacquire	0	1
pp_restore_layout	775	6295161	pp_setup	src/bin/../point_add/arith/adder.rs	341	8
pp_restore_layout	775	6295161	pp_value_reverse	src/bin/../point_add/pingpong_div.rs	527	251
pp_restore_layout	775	6295161	pp_value_reverse	src/bin/../point_add/pingpong_div.rs	528	251
pp_setup	774	13466	init	src/bin/../point_add/pingpong_div.rs	1194	256
pp_setup	774	13466	init	src/bin/../point_add/pingpong_div.rs	1195	256
pp_setup	774	13466	pp_setup	src/bin/../point_add/arith/adder.rs	341	256
pp_setup	774	13466	pp_setup	src/bin/../point_add/pingpong_div.rs	49	3
pp_setup	774	13466	pp_setup	src/bin/../point_add/pingpong_div.rs	52	3
pp_value_forward	1063	728800	init	src/bin/../point_add/pingpong_div.rs	1194	188
pp_value_forward	1063	728800	init	src/bin/../point_add/pingpong_div.rs	1195	256
pp_value_forward	1063	728800	pp_setup	src/bin/../point_add/arith/adder.rs	341	188
pp_value_forward	1063	728800	pp_value_forward	src/bin/../point_add/pingpong_div.rs	265	1
pp_value_forward	1063	728800	pp_value_forward	src/bin/../point_add/pingpong_div.rs	423	187
pp_value_forward	1063	728800	pp_value_forward	src/bin/../point_add/pingpong_div.rs	508	243
pp_value_reverse	1063	5436396	init	src/bin/../point_add/pingpong_div.rs	1194	8
pp_value_reverse	1063	5436396	init	src/bin/../point_add/pingpong_div.rs	1195	256
pp_value_reverse	1063	5436396	pp_setup	src/bin/../point_add/arith/adder.rs	341	8
pp_value_reverse	1063	5436396	pp_value_forward	src/bin/../point_add/pingpong_div.rs	265	1
pp_value_reverse	1063	5436396	pp_value_forward	src/bin/../point_add/pingpong_div.rs	508	306
pp_value_reverse	1063	5436396	pp_value_reverse	src/bin/../point_add/pingpong_div.rs	423	166
pp_value_reverse	1063	5436396	pp_value_reverse	src/bin/../point_add/pingpong_div.rs	527	159
pp_value_reverse	1063	5436396	pp_value_reverse	src/bin/../point_add/pingpong_div.rs	528	159
square_product_register	1287	7103252	init	src/bin/../point_add/pingpong_div.rs	1194	8
square_product_register	1287	7103252	init	src/bin/../point_add/pingpong_div.rs	1195	256
square_product_register	1287	7103252	pp_restore_layout	reacquire	0	83
square_product_register	1287	7103252	pp_value_reverse	src/bin/../point_add/pingpong_div.rs	527	165
square_product_register	1287	7103252	square_product_register	src/bin/../point_add/trailmix_ludicrous/arith.rs	788	257
square_product_register	1287	7103252	square_product_register	src/bin/../point_add/trailmix_ludicrous/square/product_register.rs	120	129
square_product_register	1287	7103252	square_product_register	src/bin/../point_add/trailmix_ludicrous/square/product_register.rs	300	1
square_product_register	1287	7103252	square_product_register	src/bin/../point_add/trailmix_ludicrous/square/product_register.rs	301	1
square_product_register	1287	7103252	square_product_register	src/bin/../point_add/trailmix_ludicrous/square/product_register.rs	304	129
square_product_register	1287	7103252	square_product_register	src/bin/../point_add/trailmix_ludicrous/square/product_register.rs	332	258
tlm_coord_add3x	1026	6333221	init	src/bin/../point_add/pingpong_div.rs	1194	8
tlm_coord_add3x	1026	6333221	init	src/bin/../point_add/pingpong_div.rs	1195	256
tlm_coord_add3x	1026	6333221	pp_restore_layout	reacquire	0	83
tlm_coord_add3x	1026	6333221	pp_value_reverse	src/bin/../point_add/pingpong_div.rs	527	165
tlm_coord_add3x	1026	6333221	tlm_coord_add3x	src/bin/../point_add/trailmix_ludicrous/arith.rs	788	256
tlm_coord_add3x	1026	6333221	tlm_coord_add3x	src/bin/../point_add/trailmix_ludicrous/arith.rs	1580	1
tlm_coord_add3x	1026	6333221	tlm_coord_add3x	src/bin/../point_add/trailmix_ludicrous/arith.rs	1723	1
tlm_coord_add3x	1026	6333221	tlm_coord_add3x	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	64	256
tlm_coord_rsub_final	1026	13581182	init	src/bin/../point_add/pingpong_div.rs	1194	8
tlm_coord_rsub_final	1026	13581182	init	src/bin/../point_add/pingpong_div.rs	1195	256
tlm_coord_rsub_final	1026	13581182	pp_restore_layout	reacquire	0	83
tlm_coord_rsub_final	1026	13581182	pp_value_reverse	src/bin/../point_add/pingpong_div.rs	527	165
tlm_coord_rsub_final	1026	13581182	tlm_coord_rsub_final	src/bin/../point_add/trailmix_ludicrous/arith.rs	788	256
tlm_coord_rsub_final	1026	13581182	tlm_coord_rsub_final	src/bin/../point_add/trailmix_ludicrous/arith.rs	1580	1
tlm_coord_rsub_final	1026	13581182	tlm_coord_rsub_final	src/bin/../point_add/trailmix_ludicrous/arith.rs	1598	1
tlm_coord_rsub_final	1026	13581182	tlm_coord_rsub_final	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	239	256
tlm_coord_x_sub	1026	2045	init	src/bin/../point_add/pingpong_div.rs	1194	256
tlm_coord_x_sub	1026	2045	init	src/bin/../point_add/pingpong_div.rs	1195	256
tlm_coord_x_sub	1026	2045	tlm_coord_x_sub	src/bin/../point_add/trailmix_ludicrous/arith.rs	788	256
tlm_coord_x_sub	1026	2045	tlm_coord_x_sub	src/bin/../point_add/trailmix_ludicrous/arith.rs	1580	1
tlm_coord_x_sub	1026	2045	tlm_coord_x_sub	src/bin/../point_add/trailmix_ludicrous/arith.rs	1810	1
tlm_coord_x_sub	1026	2045	tlm_coord_x_sub	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	40	256
tlm_coord_y_sub	1026	8653	init	src/bin/../point_add/pingpong_div.rs	1194	256
tlm_coord_y_sub	1026	8653	init	src/bin/../point_add/pingpong_div.rs	1195	256
tlm_coord_y_sub	1026	8653	tlm_coord_y_sub	src/bin/../point_add/trailmix_ludicrous/arith.rs	788	256
tlm_coord_y_sub	1026	8653	tlm_coord_y_sub	src/bin/../point_add/trailmix_ludicrous/arith.rs	1580	1
tlm_coord_y_sub	1026	8653	tlm_coord_y_sub	src/bin/../point_add/trailmix_ludicrous/arith.rs	1810	1
tlm_coord_y_sub	1026	8653	tlm_coord_y_sub	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	40	256
tlm_coord_y_sub_final	1026	13570203	init	src/bin/../point_add/pingpong_div.rs	1194	8
tlm_coord_y_sub_final	1026	13570203	init	src/bin/../point_add/pingpong_div.rs	1195	256
tlm_coord_y_sub_final	1026	13570203	pp_restore_layout	reacquire	0	83
tlm_coord_y_sub_final	1026	13570203	pp_value_reverse	src/bin/../point_add/pingpong_div.rs	527	165
tlm_coord_y_sub_final	1026	13570203	tlm_coord_y_sub_final	src/bin/../point_add/trailmix_ludicrous/arith.rs	788	256
tlm_coord_y_sub_final	1026	13570203	tlm_coord_y_sub_final	src/bin/../point_add/trailmix_ludicrous/arith.rs	1580	1
tlm_coord_y_sub_final	1026	13570203	tlm_coord_y_sub_final	src/bin/../point_add/trailmix_ludicrous/arith.rs	1810	1
tlm_coord_y_sub_final	1026	13570203	tlm_coord_y_sub_final	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	40	256
tlm_forward_multiply	512	7280991	init	src/bin/../point_add/pingpong_div.rs	1194	8
tlm_forward_multiply	512	7280991	init	src/bin/../point_add/pingpong_div.rs	1195	256
tlm_forward_multiply	512	7280991	pp_restore_layout	reacquire	0	83
tlm_forward_multiply	512	7280991	pp_value_reverse	src/bin/../point_add/pingpong_div.rs	527	165
tlm_inverse	512	13216	init	src/bin/../point_add/pingpong_div.rs	1194	256
tlm_inverse	512	13216	init	src/bin/../point_add/pingpong_div.rs	1195	256
tlm_square	512	6337640	init	src/bin/../point_add/pingpong_div.rs	1194	8
tlm_square	512	6337640	init	src/bin/../point_add/pingpong_div.rs	1195	256
tlm_square	512	6337640	pp_restore_layout	reacquire	0	83
tlm_square	512	6337640	pp_value_reverse	src/bin/../point_add/pingpong_div.rs	527	165
