phase	start	end	ops	ccx	ccz	hmr	reset
init	0	22	22	3	0	2	2
window_qrom_xy_load_walk	22	8300	8278	14	0	14	14
tlm_coord_x_sub	8300	11580	3280	586	2	75	78
tlm_coord_y_sub	11580	14860	3280	586	2	75	78
window_qrom_xy_unload_measure	14860	15884	1024	0	0	512	512
window_qrom_xy_unload_clear	15884	25648	9764	12	0	0	8
pp_setup	25648	25898	250	0	0	0	0
pp_value_forward	25898	1332183	1306285	98942	0	98942	100853
pp_replay_halving_initial	1332183	1333107	924	88	0	88	89
pp_replay_halving_seed	1333107	1335042	1935	152	0	153	154
pp_replay_halving_ordinary	1335042	1340265	5223	393	0	393	400
pp_replay_halving_ordinary	1340265	1345488	5223	393	0	393	400
pp_replay_halving_ordinary	1345488	1350711	5223	393	0	393	400
pp_replay_halving_ordinary	1350711	1355934	5223	393	0	393	400
pp_replay_halving_ordinary	1355934	1361157	5223	393	0	393	400
pp_replay_halving_ordinary	1361157	1366380	5223	393	0	393	400
pp_replay_halving_ordinary	1366380	1371603	5223	393	0	393	400
pp_replay_halving_ordinary	1371603	1376826	5223	393	0	393	400
pp_replay_halving_ordinary	1376826	1382049	5223	393	0	393	400
pp_replay_halving_ordinary	1382049	1387272	5223	393	0	393	400
pp_replay_halving_ordinary	1387272	1392495	5223	393	0	393	400
pp_replay_halving_ordinary	1392495	1397718	5223	393	0	393	400
pp_replay_halving_ordinary	1397718	1402941	5223	393	0	393	400
pp_replay_halving_ordinary	1402941	1408164	5223	393	0	393	400
pp_replay_halving_ordinary	1408164	1413387	5223	393	0	393	400
pp_replay_halving_ordinary	1413387	1418610	5223	393	0	393	400
pp_replay_halving_ordinary	1418610	1423833	5223	393	0	393	400
pp_replay_halving_ordinary	1423833	1429056	5223	393	0	393	400
pp_replay_halving_ordinary	1429056	1434279	5223	393	0	393	400
pp_replay_halving_ordinary	1434279	1439502	5223	393	0	393	400
pp_replay_halving_ordinary	1439502	1444725	5223	393	0	393	400
pp_replay_halving_ordinary	1444725	1449948	5223	393	0	393	400
pp_replay_halving_ordinary	1449948	1455171	5223	393	0	393	400
pp_replay_halving_ordinary	1455171	1460394	5223	393	0	393	400
pp_replay_halving_ordinary	1460394	1465617	5223	393	0	393	400
pp_replay_halving_ordinary	1465617	1470840	5223	393	0	393	400
pp_replay_halving_ordinary	1470840	1476063	5223	393	0	393	400
pp_replay_halving_ordinary	1476063	1481286	5223	393	0	393	400
pp_replay_halving_ordinary	1481286	1486509	5223	393	0	393	400
pp_replay_halving_ordinary	1486509	1491732	5223	393	0	393	400
pp_replay_halving_ordinary	1491732	1496955	5223	393	0	393	400
pp_replay_halving_ordinary	1496955	1502178	5223	393	0	393	400
pp_replay_halving_ordinary	1502178	1507401	5223	393	0	393	400
pp_replay_halving_ordinary	1507401	1512624	5223	393	0	393	400
pp_replay_halving_ordinary	1512624	1517847	5223	393	0	393	400
pp_replay_halving_ordinary	1517847	1523070	5223	393	0	393	400
pp_replay_halving_ordinary	1523070	1528293	5223	393	0	393	400
pp_replay_halving_ordinary	1528293	1533516	5223	393	0	393	400
pp_replay_halving_ordinary	1533516	1538739	5223	393	0	393	400
pp_replay_halving_ordinary	1538739	1543962	5223	393	0	393	400
pp_replay_halving_ordinary	1543962	1549185	5223	393	0	393	400
pp_replay_halving_ordinary	1549185	1554408	5223	393	0	393	400
pp_replay_halving_ordinary	1554408	1559631	5223	393	0	393	400
pp_replay_halving_ordinary	1559631	1564854	5223	393	0	393	400
pp_replay_halving_ordinary	1564854	1570077	5223	393	0	393	400
pp_replay_halving_ordinary	1570077	1575300	5223	393	0	393	400
pp_replay_halving_ordinary	1575300	1580523	5223	393	0	393	400
pp_replay_halving_ordinary	1580523	1585746	5223	393	0	393	400
