peak_phase	active	op_index	allocation_phase	file	line	count
init	1029	22	init	src/bin/../point_add/pingpong_div.rs	1242	256
init	1029	22	init	src/bin/../point_add/pingpong_div.rs	1243	256
init	1029	22	init	src/bin/../point_add/pingpong_div.rs	1244	4
init	1029	22	init	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	346	256
init	1029	22	init	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	347	256
init	1029	22	init	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	499	1
pp_coefficient_allocate	1237	1332211	init	src/bin/../point_add/pingpong_div.rs	1242	8
pp_coefficient_allocate	1237	1332211	init	src/bin/../point_add/pingpong_div.rs	1243	256
pp_coefficient_allocate	1237	1332211	init	src/bin/../point_add/pingpong_div.rs	1244	4
pp_coefficient_allocate	1237	1332211	init	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	499	1
pp_coefficient_allocate	1237	1332211	pp_coefficient_allocate	src/bin/../point_add/pingpong_div.rs	76	256
pp_coefficient_allocate	1237	1332211	pp_setup	src/bin/../point_add/arith/adder.rs	341	8
pp_coefficient_allocate	1237	1332211	pp_value_forward	src/bin/../point_add/pingpong_div.rs	265	1
pp_coefficient_allocate	1237	1332211	pp_value_forward	src/bin/../point_add/pingpong_div.rs	508	703
pp_coefficient_clear	1237	5003704	init	src/bin/../point_add/pingpong_div.rs	1242	8
pp_coefficient_clear	1237	5003704	init	src/bin/../point_add/pingpong_div.rs	1243	256
pp_coefficient_clear	1237	5003704	init	src/bin/../point_add/pingpong_div.rs	1244	4
pp_coefficient_clear	1237	5003704	init	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	499	1
pp_coefficient_clear	1237	5003704	pp_coefficient_allocate	src/bin/../point_add/pingpong_div.rs	76	256
pp_coefficient_clear	1237	5003704	pp_setup	src/bin/../point_add/arith/adder.rs	341	8
pp_coefficient_clear	1237	5003704	pp_value_forward	src/bin/../point_add/pingpong_div.rs	265	1
pp_coefficient_clear	1237	5003704	pp_value_forward	src/bin/../point_add/pingpong_div.rs	508	703
pp_endpoint	1325	5001872	init	src/bin/../point_add/pingpong_div.rs	1242	8
pp_endpoint	1325	5001872	init	src/bin/../point_add/pingpong_div.rs	1243	256
pp_endpoint	1325	5001872	init	src/bin/../point_add/pingpong_div.rs	1244	4
pp_endpoint	1325	5001872	init	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	499	1
pp_endpoint	1325	5001872	pp_coefficient_allocate	src/bin/../point_add/pingpong_div.rs	76	256
pp_endpoint	1325	5001872	pp_endpoint	src/bin/../point_add/arith/const_arith.rs	417	88
pp_endpoint	1325	5001872	pp_setup	src/bin/../point_add/arith/adder.rs	341	8
pp_endpoint	1325	5001872	pp_value_forward	src/bin/../point_add/pingpong_div.rs	265	1
pp_endpoint	1325	5001872	pp_value_forward	src/bin/../point_add/pingpong_div.rs	508	703
pp_replay_halving_initial	1326	1332212	init	src/bin/../point_add/pingpong_div.rs	1242	8
pp_replay_halving_initial	1326	1332212	init	src/bin/../point_add/pingpong_div.rs	1243	256
pp_replay_halving_initial	1326	1332212	init	src/bin/../point_add/pingpong_div.rs	1244	4
pp_replay_halving_initial	1326	1332212	init	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	499	1
pp_replay_halving_initial	1326	1332212	pp_coefficient_allocate	src/bin/../point_add/pingpong_div.rs	76	256
pp_replay_halving_initial	1326	1332212	pp_replay_halving_initial	src/bin/../point_add/arith/const_arith.rs	417	88
pp_replay_halving_initial	1326	1332212	pp_replay_halving_initial	src/bin/../point_add/pingpong_div.rs	1081	1
pp_replay_halving_initial	1326	1332212	pp_setup	src/bin/../point_add/arith/adder.rs	341	8
pp_replay_halving_initial	1326	1332212	pp_value_forward	src/bin/../point_add/pingpong_div.rs	265	1
pp_replay_halving_initial	1326	1332212	pp_value_forward	src/bin/../point_add/pingpong_div.rs	508	703
pp_replay_halving_ordinary	1324	1335326	init	src/bin/../point_add/pingpong_div.rs	1242	8
pp_replay_halving_ordinary	1324	1335326	init	src/bin/../point_add/pingpong_div.rs	1243	256
pp_replay_halving_ordinary	1324	1335326	init	src/bin/../point_add/pingpong_div.rs	1244	4
