peak_phase	active	op_index	allocation_phase	file	line	count
init	1041	87	init	src/bin/../point_add/pingpong_div.rs	1242	256
init	1041	87	init	src/bin/../point_add/pingpong_div.rs	1243	256
init	1041	87	init	src/bin/../point_add/pingpong_div.rs	1244	16
init	1041	87	init	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	346	256
init	1041	87	init	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	347	256
init	1041	87	init	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	499	1
pp_coefficient_allocate	1249	68820368	init	src/bin/../point_add/pingpong_div.rs	1242	8
pp_coefficient_allocate	1249	68820368	init	src/bin/../point_add/pingpong_div.rs	1243	256
pp_coefficient_allocate	1249	68820368	init	src/bin/../point_add/pingpong_div.rs	1244	16
pp_coefficient_allocate	1249	68820368	init	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	499	1
pp_coefficient_allocate	1249	68820368	pp_coefficient_allocate	src/bin/../point_add/pingpong_div.rs	76	256
pp_coefficient_allocate	1249	68820368	pp_setup	src/bin/../point_add/arith/adder.rs	341	8
pp_coefficient_allocate	1249	68820368	pp_value_forward	src/bin/../point_add/pingpong_div.rs	265	1
pp_coefficient_allocate	1249	68820368	pp_value_forward	src/bin/../point_add/pingpong_div.rs	508	703
pp_coefficient_clear	1249	72491861	init	src/bin/../point_add/pingpong_div.rs	1242	8
pp_coefficient_clear	1249	72491861	init	src/bin/../point_add/pingpong_div.rs	1243	256
pp_coefficient_clear	1249	72491861	init	src/bin/../point_add/pingpong_div.rs	1244	16
pp_coefficient_clear	1249	72491861	init	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	499	1
pp_coefficient_clear	1249	72491861	pp_coefficient_allocate	src/bin/../point_add/pingpong_div.rs	76	256
pp_coefficient_clear	1249	72491861	pp_setup	src/bin/../point_add/arith/adder.rs	341	8
pp_coefficient_clear	1249	72491861	pp_value_forward	src/bin/../point_add/pingpong_div.rs	265	1
pp_coefficient_clear	1249	72491861	pp_value_forward	src/bin/../point_add/pingpong_div.rs	508	703
pp_endpoint	1337	72490029	init	src/bin/../point_add/pingpong_div.rs	1242	8
pp_endpoint	1337	72490029	init	src/bin/../point_add/pingpong_div.rs	1243	256
pp_endpoint	1337	72490029	init	src/bin/../point_add/pingpong_div.rs	1244	16
pp_endpoint	1337	72490029	init	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	499	1
pp_endpoint	1337	72490029	pp_coefficient_allocate	src/bin/../point_add/pingpong_div.rs	76	256
pp_endpoint	1337	72490029	pp_endpoint	src/bin/../point_add/arith/const_arith.rs	417	88
pp_endpoint	1337	72490029	pp_setup	src/bin/../point_add/arith/adder.rs	341	8
pp_endpoint	1337	72490029	pp_value_forward	src/bin/../point_add/pingpong_div.rs	265	1
pp_endpoint	1337	72490029	pp_value_forward	src/bin/../point_add/pingpong_div.rs	508	703
pp_replay_halving_initial	1338	68820369	init	src/bin/../point_add/pingpong_div.rs	1242	8
pp_replay_halving_initial	1338	68820369	init	src/bin/../point_add/pingpong_div.rs	1243	256
pp_replay_halving_initial	1338	68820369	init	src/bin/../point_add/pingpong_div.rs	1244	16
pp_replay_halving_initial	1338	68820369	init	src/bin/../point_add/trailmix_ludicrous/ec_add.rs	499	1
pp_replay_halving_initial	1338	68820369	pp_coefficient_allocate	src/bin/../point_add/pingpong_div.rs	76	256
pp_replay_halving_initial	1338	68820369	pp_replay_halving_initial	src/bin/../point_add/arith/const_arith.rs	417	88
pp_replay_halving_initial	1338	68820369	pp_replay_halving_initial	src/bin/../point_add/pingpong_div.rs	1081	1
pp_replay_halving_initial	1338	68820369	pp_setup	src/bin/../point_add/arith/adder.rs	341	8
