phase	start	end	ops	ccx	ccz	hmr	reset
init	0	87	87	29	0	0	3
window_qrom_xy_load_walk	87	34078793	34078706	65534	0	65534	65534
tlm_coord_x_sub	34078793	34082073	3280	586	2	75	78
tlm_coord_y_sub	34082073	34085353	3280	586	2	75	78
window_qrom_xy_unload_measure	34085353	34086377	1024	0	0	512	512
window_qrom_xy_unload_clear	34086377	67644901	33558524	1020	0	0	512
pp_setup	67644901	67645151	250	0	0	0	0
pp_value_forward	67645151	68951436	1306285	98942	0	98942	100853
pp_replay_halving_initial	68951436	68952360	924	88	0	88	89
pp_replay_halving_seed	68952360	68954295	1935	152	0	153	154
pp_replay_halving_ordinary	68954295	68959518	5223	393	0	393	400
pp_replay_halving_ordinary	68959518	68964741	5223	393	0	393	400
pp_replay_halving_ordinary	68964741	68969964	5223	393	0	393	400
pp_replay_halving_ordinary	68969964	68975187	5223	393	0	393	400
pp_replay_halving_ordinary	68975187	68980410	5223	393	0	393	400
pp_replay_halving_ordinary	68980410	68985633	5223	393	0	393	400
pp_replay_halving_ordinary	68985633	68990856	5223	393	0	393	400
pp_replay_halving_ordinary	68990856	68996079	5223	393	0	393	400
pp_replay_halving_ordinary	68996079	69001302	5223	393	0	393	400
pp_replay_halving_ordinary	69001302	69006525	5223	393	0	393	400
pp_replay_halving_ordinary	69006525	69011748	5223	393	0	393	400
pp_replay_halving_ordinary	69011748	69016971	5223	393	0	393	400
pp_replay_halving_ordinary	69016971	69022194	5223	393	0	393	400
pp_replay_halving_ordinary	69022194	69027417	5223	393	0	393	400
pp_replay_halving_ordinary	69027417	69032640	5223	393	0	393	400
pp_replay_halving_ordinary	69032640	69037863	5223	393	0	393	400
pp_replay_halving_ordinary	69037863	69043086	5223	393	0	393	400
pp_replay_halving_ordinary	69043086	69048309	5223	393	0	393	400
pp_replay_halving_ordinary	69048309	69053532	5223	393	0	393	400
pp_replay_halving_ordinary	69053532	69058755	5223	393	0	393	400
pp_replay_halving_ordinary	69058755	69063978	5223	393	0	393	400
