phase	start	end	ops	ccx	ccz	hmr	reset
init	0	22	22	3	0	2	2
window_qrom_xy_load_walk	22	8328	8306	14	0	14	14
tlm_coord_x_sub	8328	11608	3280	586	2	75	78
tlm_coord_y_sub	11608	14888	3280	586	2	75	78
window_qrom_xy_unload_measure	14888	15912	1024	0	0	512	512
window_qrom_xy_unload_clear	15912	25676	9764	12	0	0	8
pp_setup	25676	25926	250	0	0	0	0
pp_value_forward	25926	1332211	1306285	98942	0	98942	100853
pp_replay_halving_initial	1332211	1333135	924	88	0	88	89
pp_replay_halving_seed	1333135	1335070	1935	152	0	153	154
pp_replay_halving_ordinary	1335070	1340293	5223	393	0	393	400
pp_replay_halving_ordinary	1340293	1345516	5223	393	0	393	400
pp_replay_halving_ordinary	1345516	1350739	5223	393	0	393	400
pp_replay_halving_ordinary	1350739	1355962	5223	393	0	393	400
pp_replay_halving_ordinary	1355962	1361185	5223	393	0	393	400
pp_replay_halving_ordinary	1361185	1366408	5223	393	0	393	400
pp_replay_halving_ordinary	1366408	1371631	5223	393	0	393	400
pp_replay_halving_ordinary	1371631	1376854	5223	393	0	393	400
pp_replay_halving_ordinary	1376854	1382077	5223	393	0	393	400
pp_replay_halving_ordinary	1382077	1387300	5223	393	0	393	400
pp_replay_halving_ordinary	1387300	1392523	5223	393	0	393	400
pp_replay_halving_ordinary	1392523	1397746	5223	393	0	393	400
pp_replay_halving_ordinary	1397746	1402969	5223	393	0	393	400
pp_replay_halving_ordinary	1402969	1408192	5223	393	0	393	400
pp_replay_halving_ordinary	1408192	1413415	5223	393	0	393	400
pp_replay_halving_ordinary	1413415	1418638	5223	393	0	393	400
pp_replay_halving_ordinary	1418638	1423861	5223	393	0	393	400
pp_replay_halving_ordinary	1423861	1429084	5223	393	0	393	400
pp_replay_halving_ordinary	1429084	1434307	5223	393	0	393	400
pp_replay_halving_ordinary	1434307	1439530	5223	393	0	393	400
pp_replay_halving_ordinary	1439530	1444753	5223	393	0	393	400
pp_replay_halving_ordinary	1444753	1449976	5223	393	0	393	400
pp_replay_halving_ordinary	1449976	1455199	5223	393	0	393	400
pp_replay_halving_ordinary	1455199	1460422	5223	393	0	393	400
pp_replay_halving_ordinary	1460422	1465645	5223	393	0	393	400
pp_replay_halving_ordinary	1465645	1470868	5223	393	0	393	400
pp_replay_halving_ordinary	1470868	1476091	5223	393	0	393	400
pp_replay_halving_ordinary	1476091	1481314	5223	393	0	393	400
pp_replay_halving_ordinary	1481314	1486537	5223	393	0	393	400
pp_replay_halving_ordinary	1486537	1491760	5223	393	0	393	400
pp_replay_halving_ordinary	1491760	1496983	5223	393	0	393	400
pp_replay_halving_ordinary	1496983	1502206	5223	393	0	393	400
pp_replay_halving_ordinary	1502206	1507429	5223	393	0	393	400
pp_replay_halving_ordinary	1507429	1512652	5223	393	0	393	400
pp_replay_halving_ordinary	1512652	1517875	5223	393	0	393	400
pp_replay_halving_ordinary	1517875	1523098	5223	393	0	393	400
pp_replay_halving_ordinary	1523098	1528321	5223	393	0	393	400
pp_replay_halving_ordinary	1528321	1533544	5223	393	0	393	400
pp_replay_halving_ordinary	1533544	1538767	5223	393	0	393	400
pp_replay_halving_ordinary	1538767	1543990	5223	393	0	393	400
pp_replay_halving_ordinary	1543990	1549213	5223	393	0	393	400
pp_replay_halving_ordinary	1549213	1554436	5223	393	0	393	400
pp_replay_halving_ordinary	1554436	1559659	5223	393	0	393	400
pp_replay_halving_ordinary	1559659	1564882	5223	393	0	393	400
pp_replay_halving_ordinary	1564882	1570105	5223	393	0	393	400
pp_replay_halving_ordinary	1570105	1575328	5223	393	0	393	400
pp_replay_halving_ordinary	1575328	1580551	5223	393	0	393	400
pp_replay_halving_ordinary	1580551	1585774	5223	393	0	393	400
pp_replay_halving_ordinary	1585774	1590997	5223	393	0	393	400
pp_replay_halving_ordinary	1590997	1596220	5223	393	0	393	400
pp_replay_halving_ordinary	1596220	1601443	5223	393	0	393	400
pp_replay_halving_ordinary	1601443	1606666	5223	393	0	393	400
pp_replay_halving_ordinary	1606666	1611889	5223	393	0	393	400
pp_replay_halving_ordinary	1611889	1617112	5223	393	0	393	400
pp_replay_halving_ordinary	1617112	1622335	5223	393	0	393	400
pp_replay_halving_ordinary	1622335	1627558	5223	393	0	393	400
pp_replay_halving_ordinary	1627558	1632781	5223	393	0	393	400
pp_replay_halving_ordinary	1632781	1638004	5223	393	0	393	400
pp_replay_halving_ordinary	1638004	1643227	5223	393	0	393	400
pp_replay_halving_ordinary	1643227	1648450	5223	393	0	393	400
pp_replay_halving_ordinary	1648450	1653673	5223	393	0	393	400
pp_replay_halving_ordinary	1653673	1658896	5223	393	0	393	400
pp_replay_halving_ordinary	1658896	1664119	5223	393	0	393	400
pp_replay_halving_ordinary	1664119	1669342	5223	393	0	393	400
pp_replay_halving_ordinary	1669342	1674565	5223	393	0	393	400
pp_replay_halving_ordinary	1674565	1679788	5223	393	0	393	400
pp_replay_halving_ordinary	1679788	1685011	5223	393	0	393	400
pp_replay_halving_ordinary	1685011	1690234	5223	393	0	393	400
pp_replay_halving_ordinary	1690234	1695457	5223	393	0	393	400
pp_replay_halving_ordinary	1695457	1700680	5223	393	0	393	400
pp_replay_halving_ordinary	1700680	1705903	5223	393	0	393	400
pp_replay_halving_ordinary	1705903	1711126	5223	393	0	393	400
pp_replay_halving_ordinary	1711126	1716349	5223	393	0	393	400
pp_replay_halving_ordinary	1716349	1721572	5223	393	0	393	400
pp_replay_halving_ordinary	1721572	1726795	5223	393	0	393	400
pp_replay_halving_ordinary	1726795	1732018	5223	393	0	393	400
pp_replay_halving_ordinary	1732018	1737241	5223	393	0	393	400
pp_replay_halving_ordinary	1737241	1742464	5223	393	0	393	400
pp_replay_halving_ordinary	1742464	1747687	5223	393	0	393	400
pp_replay_halving_ordinary	1747687	1752910	5223	393	0	393	400
pp_replay_halving_ordinary	1752910	1758133	5223	393	0	393	400
pp_replay_halving_ordinary	1758133	1763356	5223	393	0	393	400
pp_replay_halving_ordinary	1763356	1768579	5223	393	0	393	400
pp_replay_halving_ordinary	1768579	1773802	5223	393	0	393	400
pp_replay_halving_ordinary	1773802	1779025	5223	393	0	393	400
pp_replay_halving_ordinary	1779025	1784248	5223	393	0	393	400
pp_replay_halving_ordinary	1784248	1789471	5223	393	0	393	400
pp_replay_halving_ordinary	1789471	1794694	5223	393	0	393	400
pp_replay_halving_ordinary	1794694	1799917	5223	393	0	393	400
pp_replay_halving_ordinary	1799917	1805140	5223	393	0	393	400
pp_replay_halving_ordinary	1805140	1810363	5223	393	0	393	400
pp_replay_halving_ordinary	1810363	1815586	5223	393	0	393	400
pp_replay_halving_ordinary	1815586	1820809	5223	393	0	393	400
pp_replay_halving_ordinary	1820809	1826032	5223	393	0	393	400
pp_replay_halving_ordinary	1826032	1831255	5223	393	0	393	400
pp_replay_halving_ordinary	1831255	1836478	5223	393	0	393	400
pp_replay_halving_ordinary	1836478	1841701	5223	393	0	393	400
pp_replay_halving_ordinary	1841701	1846924	5223	393	0	393	400
pp_replay_halving_ordinary	1846924	1852147	5223	393	0	393	400
pp_replay_halving_ordinary	1852147	1857370	5223	393	0	393	400
pp_replay_halving_ordinary	1857370	1862593	5223	393	0	393	400
pp_replay_halving_ordinary	1862593	1867816	5223	393	0	393	400
pp_replay_halving_ordinary	1867816	1873039	5223	393	0	393	400
pp_replay_halving_ordinary	1873039	1878262	5223	393	0	393	400
pp_replay_halving_ordinary	1878262	1883485	5223	393	0	393	400
pp_replay_halving_ordinary	1883485	1888708	5223	393	0	393	400
pp_replay_halving_ordinary	1888708	1893931	5223	393	0	393	400
pp_replay_halving_ordinary	1893931	1899154	5223	393	0	393	400
pp_replay_halving_ordinary	1899154	1904377	5223	393	0	393	400
pp_replay_halving_ordinary	1904377	1909600	5223	393	0	393	400
pp_replay_halving_ordinary	1909600	1914823	5223	393	0	393	400
pp_replay_halving_ordinary	1914823	1920046	5223	393	0	393	400
pp_replay_halving_ordinary	1920046	1925269	5223	393	0	393	400
pp_replay_halving_ordinary	1925269	1930492	5223	393	0	393	400
pp_replay_halving_ordinary	1930492	1935715	5223	393	0	393	400
pp_replay_halving_ordinary	1935715	1940938	5223	393	0	393	400
pp_replay_halving_ordinary	1940938	1946161	5223	393	0	393	400
pp_replay_halving_ordinary	1946161	1951384	5223	393	0	393	400
pp_replay_halving_ordinary	1951384	1956607	5223	393	0	393	400
pp_replay_halving_ordinary	1956607	1961830	5223	393	0	393	400
pp_replay_halving_ordinary	1961830	1967053	5223	393	0	393	400
pp_replay_halving_ordinary	1967053	1972276	5223	393	0	393	400
pp_replay_halving_ordinary	1972276	1977499	5223	393	0	393	400
pp_replay_halving_ordinary	1977499	1982722	5223	393	0	393	400
pp_replay_halving_ordinary	1982722	1987945	5223	393	0	393	400
pp_replay_halving_ordinary	1987945	1993168	5223	393	0	393	400
pp_replay_halving_ordinary	1993168	1998391	5223	393	0	393	400
pp_replay_halving_ordinary	1998391	2003614	5223	393	0	393	400
pp_replay_halving_ordinary	2003614	2008837	5223	393	0	393	400
pp_replay_halving_ordinary	2008837	2014060	5223	393	0	393	400
pp_replay_halving_ordinary	2014060	2019283	5223	393	0	393	400
pp_replay_halving_ordinary	2019283	2024506	5223	393	0	393	400
pp_replay_halving_ordinary	2024506	2029729	5223	393	0	393	400
pp_replay_halving_ordinary	2029729	2034952	5223	393	0	393	400
pp_replay_halving_ordinary	2034952	2040175	5223	393	0	393	400
pp_replay_halving_ordinary	2040175	2045398	5223	393	0	393	400
pp_replay_halving_ordinary	2045398	2050621	5223	393	0	393	400
pp_replay_halving_ordinary	2050621	2055844	5223	393	0	393	400
pp_replay_halving_ordinary	2055844	2061067	5223	393	0	393	400
pp_replay_halving_ordinary	2061067	2066290	5223	393	0	393	400
pp_replay_halving_ordinary	2066290	2071513	5223	393	0	393	400
pp_replay_halving_ordinary	2071513	2076736	5223	393	0	393	400
pp_replay_halving_ordinary	2076736	2081959	5223	393	0	393	400
pp_replay_halving_ordinary	2081959	2087182	5223	393	0	393	400
pp_replay_halving_ordinary	2087182	2092405	5223	393	0	393	400
pp_replay_halving_ordinary	2092405	2097628	5223	393	0	393	400
pp_replay_halving_ordinary	2097628	2102851	5223	393	0	393	400
pp_replay_halving_ordinary	2102851	2108074	5223	393	0	393	400
pp_replay_halving_ordinary	2108074	2113297	5223	393	0	393	400
pp_replay_halving_ordinary	2113297	2118520	5223	393	0	393	400
pp_replay_halving_ordinary	2118520	2123743	5223	393	0	393	400
pp_replay_halving_ordinary	2123743	2128966	5223	393	0	393	400
pp_replay_halving_ordinary	2128966	2134189	5223	393	0	393	400
pp_replay_halving_ordinary	2134189	2139412	5223	393	0	393	400
pp_replay_halving_ordinary	2139412	2144635	5223	393	0	393	400
pp_replay_halving_ordinary	2144635	2149858	5223	393	0	393	400
pp_replay_halving_ordinary	2149858	2155081	5223	393	0	393	400
pp_replay_halving_ordinary	2155081	2160304	5223	393	0	393	400
pp_replay_halving_ordinary	2160304	2165527	5223	393	0	393	400
pp_replay_halving_ordinary	2165527	2170750	5223	393	0	393	400
pp_replay_halving_ordinary	2170750	2175973	5223	393	0	393	400
pp_replay_halving_ordinary	2175973	2181196	5223	393	0	393	400
pp_replay_halving_ordinary	2181196	2186419	5223	393	0	393	400
pp_replay_halving_ordinary	2186419	2191642	5223	393	0	393	400
pp_replay_halving_ordinary	2191642	2196865	5223	393	0	393	400
pp_replay_halving_ordinary	2196865	2202088	5223	393	0	393	400
pp_replay_halving_ordinary	2202088	2207311	5223	393	0	393	400
pp_replay_halving_ordinary	2207311	2212534	5223	393	0	393	400
pp_replay_halving_ordinary	2212534	2217757	5223	393	0	393	400
pp_replay_halving_ordinary	2217757	2222980	5223	393	0	393	400
pp_replay_halving_ordinary	2222980	2228203	5223	393	0	393	400
pp_replay_halving_ordinary	2228203	2233426	5223	393	0	393	400
pp_replay_halving_ordinary	2233426	2238649	5223	393	0	393	400
pp_replay_halving_ordinary	2238649	2243872	5223	393	0	393	400
pp_replay_halving_ordinary	2243872	2249095	5223	393	0	393	400
pp_replay_halving_ordinary	2249095	2254318	5223	393	0	393	400
pp_replay_halving_ordinary	2254318	2259541	5223	393	0	393	400
pp_replay_halving_ordinary	2259541	2264764	5223	393	0	393	400
