name,exit_code,live_peak,raw_operations,raw_static_toffoli,final_operations,final_static_toffoli
ablation-legacy-legacy,0,1150,9031983,1357682,9031983,1357682
ablation-legacy-legacy-unchanged,0,,,,9031983,1357682
ablation-legacy-product,0,1287,9277283,1349527,9277283,1349527
ablation-legacy-product-unchanged,0,,,,9277283,1349527
ablation-pingpong-legacy,0,1321,13341512,1017240,13341608,1017240
ablation-pingpong-legacy-unchanged,0,,,,13341608,1017240
ablation-pingpong-product,0,1321,13586737,1009077,13586833,1009077
ablation-pingpong-product-unchanged,0,,,,13586833,1009077
conservative-w4,0,1380,15710441,1179870,15710537,1179870
conservative-w4-count,0,1380,15710357,1179870,,
conservative-w4-unchanged,0,,,,15710537,1179870
conservative1392-count,0,1392,218109655,1347296,,
conservative1392-exact-count,0,1392,218437323,1347296,,
conservative1392-exact-w4,0,1380,15710441,1179870,15710537,1179870
conservative1392-exact-w4-count,0,1380,15710441,1179870,,
conservative1392-exact-w4-unchanged,0,,,,15710537,1179870
jump2-mixed,0,1151,9143581,1370715,9133449,1358316
jump2-mixed-count,0,1151,9143581,1370715,,
jump2-mixed-unchanged,0,,,,9133449,1358316
jump2-windowed-count,0,1162,211763379,1594698,,
jump2-windowed-exact-count,0,1162,212091047,1594698,,
jump2-windowed-exact-w4,0,1151,9294065,1391676,9293305,1390886
jump2-windowed-exact-w4-count,0,1151,9294065,1391676,,
jump2-windowed-exact-w4-unchanged,0,,,,9293305,1390886
mixed1321,0,1321,13586737,1009077,13586833,1009077
mixed1321-count,0,1321,13586737,1009077,,
mixed1321-unchanged,0,,,,13586833,1009077
original-w4,0,1326,13579145,1016705,13579241,1016705
original-w4-count,0,1326,13579061,1016705,,
original-w4-unchanged,0,,,,13579241,1016705
pingpong-legacy-square,0,1321,13341512,1017240,13341608,1017240
pingpong-legacy-square-count,0,1321,13341512,1017240,,
pingpong-legacy-square-unchanged,0,,,,13341608,1017240
windowed1338-count,0,1338,215978359,1184131,,
windowed1338-exact-count,0,1338,216306027,1184131,,
windowed1338-exact-w4,0,1326,13579145,1016705,13579241,1016705
windowed1338-exact-w4-count,0,1326,13579145,1016705,,
windowed1338-exact-w4-unchanged,0,,,,13579241,1016705
