variant,kernel,scope,cases,word_bad,field_bad,phase,ancilla,source_bad,control_bad,peak,emitted_toffoli
cells-final-baseline,negate,canonical,18,2,1,0,0,0,0,617,115
cells-final-baseline,negate,includes_p,2,1,0,0,0,0,0,617,115
cells-final-baseline,canonical_negate_exact,canonical,18,0,0,0,0,0,0,770,777
cells-final-baseline,canonical_negate_exact,includes_p,2,1,0,1,0,0,0,770,777
cells-final-baseline,seed,canonical,18,2,1,0,0,0,0,578,76
cells-final-baseline,seed,includes_p,2,1,0,0,0,0,0,578,76
cells-final-baseline,halve,canonical,18,2,2,0,0,0,0,618,116
cells-final-baseline,halve,includes_p,2,2,0,0,0,0,0,618,116
cells-final-baseline,double,canonical,18,0,0,0,0,0,0,618,116
cells-final-baseline,double,includes_p,2,2,0,0,0,0,0,618,116
cells-final-baseline,signed_add,canonical,162,21,5,30,0,0,0,618,500
cells-final-baseline,signed_add,includes_p,38,11,1,7,0,0,0,618,500
cells-final-baseline,fused_halve,canonical,162,34,24,26,0,0,0,600,457
cells-final-baseline,fused_halve,includes_p,38,11,3,9,0,0,0,600,457
cells-final-baseline,fused_double,canonical,162,19,3,17,0,0,0,601,457
cells-final-baseline,fused_double,includes_p,38,14,2,5,0,0,0,601,457
cells-final-full_compare,negate,canonical,18,2,1,0,0,0,0,617,115
cells-final-full_compare,negate,includes_p,2,1,0,0,0,0,0,617,115
cells-final-full_compare,canonical_negate_exact,canonical,18,0,0,0,0,0,0,770,777
cells-final-full_compare,canonical_negate_exact,includes_p,2,1,0,1,0,0,0,770,777
cells-final-full_compare,seed,canonical,18,2,1,0,0,0,0,578,76
cells-final-full_compare,seed,includes_p,2,1,0,0,0,0,0,578,76
cells-final-full_compare,halve,canonical,18,2,2,0,0,0,0,618,116
cells-final-full_compare,halve,includes_p,2,2,0,0,0,0,0,618,116
cells-final-full_compare,double,canonical,18,0,0,0,0,0,0,618,116
cells-final-full_compare,double,includes_p,2,2,0,0,0,0,0,618,116
cells-final-full_compare,signed_add,canonical,162,21,5,15,0,0,0,771,799
cells-final-full_compare,signed_add,includes_p,38,11,1,2,0,0,0,771,799
cells-final-full_compare,fused_halve,canonical,162,34,24,23,0,0,0,772,756
cells-final-full_compare,fused_halve,includes_p,38,11,3,9,0,0,0,772,756
cells-final-full_compare,fused_double,canonical,162,19,3,18,0,0,0,771,756
cells-final-full_compare,fused_double,includes_p,38,14,2,4,0,0,0,771,756
cells-final-full_width,negate,canonical,18,1,0,0,0,0,0,768,266
cells-final-full_width,negate,includes_p,2,1,0,0,0,0,0,768,266
cells-final-full_width,canonical_negate_exact,canonical,18,0,0,0,0,0,0,770,777
cells-final-full_width,canonical_negate_exact,includes_p,2,1,0,1,0,0,0,770,777
cells-final-full_width,seed,canonical,18,1,0,0,0,0,0,768,266
cells-final-full_width,seed,includes_p,2,1,0,0,0,0,0,768,266
cells-final-full_width,halve,canonical,18,2,2,0,0,0,0,769,267
cells-final-full_width,halve,includes_p,2,2,0,0,0,0,0,769,267
cells-final-full_width,double,canonical,18,0,0,0,0,0,0,769,267
cells-final-full_width,double,includes_p,2,2,0,0,0,0,0,769,267
cells-final-full_width,signed_add,canonical,162,16,0,23,0,0,0,771,950
cells-final-full_width,signed_add,includes_p,38,10,0,3,0,0,0,771,950
cells-final-full_width,fused_halve,canonical,162,24,14,32,0,0,0,775,940
cells-final-full_width,fused_halve,includes_p,38,10,2,8,0,0,0,775,940
cells-final-full_width,fused_double,canonical,162,16,0,23,0,0,0,777,940
cells-final-full_width,fused_double,includes_p,38,14,2,5,0,0,0,777,940
