label	got_x	got_y	classical	phase	ancilla	interface_ok
0	0x1b821824f67fbd36c75d13761110ccdab426ec3348a8e25ea91e710c9bf806f5	0x45b79e4d8c96e0f8102e0b051ba204ffd44575dcd23103739c46a98bd1599e20	0	0	0	true
1	0x85991baf62cccb92e594750f48209e5083b8631e43d21c7af8b6b004fd549418	0xe4eb890133cab0ea8e734879877f3a1affd83be4c67b7d12d7e59c63bfd8a892	0	0	0	true
2	0x2975274ceed64c0f8d9da63af386a27e7ab81df4b5848f1461b607f53f28ed3e	0xbcda8a0b3dafa504f1ef27514fe225e381a7c10813c60b697eb9502e715f72a0	0	0	0	true
3	0xccf928c4004ec3e7562930f2e7bfa17708765804e4119a8cc59627c7db4f8842	0xe9ab3d8a7e2fb00ea18cfb3fe543584e8d936af14413706e0ebb2c28aa8e43c1	0	0	0	true
4	0x3eeda8df7c90e7ae9a647177f392e502047cdc4ac13186d370a0dc4f48ab8092	0x88ed565e4a20a6053e8f67bb5757d6631b97884c5ca2170be6d5e7ec07f866e9	0	0	0	true
5	0x5bc6d6e322bfdb6309374a9c903eaae983fb4644146cf670a9f5d76e96c190f3	0x6a48ffd7584d05020661b94a5e18a0d39c93ab81946f4dd334ec8d9a5a306980	0	0	0	true
6	0xfbd40bff01b867622f1412ae09b496455849026f67ea5f7e18646e941f443f83	0x47d44787355f2af6b622e1855fad9c3e7c4f50609d090a4923b0e1e504c64e6e	0	0	0	true
7	0x189da55133543322e421526e21429b68a3f7b769a20ce5c9f14ac669e2332e0f	0xd38a8069c5bb190c6555c6027566580ded585f8fa0304fbc59809dbaf6362047	0	0	0	true
8	0x8a30a1b9531684d7a205d6b95bb94a210934894376db02161c8659a064755508	0x15ece7ac034dfb32e9a234531082c16bf360df964f5a259296c59115707436f	0	0	0	true
9	0xd1399bf8a028df3abf80202b014d2d785b53f5d5cb80dbec4e13b1539ea7267d	0x3ec720d4e024654a55b36b36864311e294deff2effa2d93f1e4c68ba9e5a7ea1	0	0	0	true
10	0x3601c3310d3ef1d3991f8852be27092be1468f72b2f5722d91f246c45ee8a6c	0xf14dc5dd543cff170251a909c0a4ea7a13beb2c0452945ebcfac2e7dee339c18	0	0	0	true
11	0xfc38acf41025014484d34e4bdbe22d82c441279f6994e6e77e2d583d515449a2	0x6b496af4f9a0947880ecea3956851d84d10b1795b3a0b52d21c31fdc94090ca	0	0	0	true
12	0x132ea318768471112fb3ae744873d24f345b4600b60a47ba34b61d08ebacfb97	0xe670ff9db1df369baa48016dd2401bc0e9ee13c0236543738712d8b8d5ee6087	0	0	0	true
13	0x748edf40b312d2b62db55fb6fed8d176b867734d34030a92d4f2e3085fc2b0d3	0x6ef7ad9d10bc89af817e733140141b1274ec0412240da1abbedb423623efa182	0	0	0	true
14	0xc2b400e329b441822bf212d447bc24b7ae3a94fd5f1778bfbf4a1fa2824725b9	0x1e53d17376a2cee318500cf329734e7d737100e32dd843c294c574c9152d1555	0	0	0	true
15	0x20144ffeb8ab92a6e3b177d024b947d84f3ba8476106b194c5a20763417ffb06	0x32739a2e86151a7c3561577df934762f4448b8fda5186c94e7f68e94f16feeb2	0	0	0	true
16	0xcb9bb6dfcc9430e667a511dbfba3de66815d4b1e155f6b0317071c98a4017050	0x4435775a5bdbd71fc3b8bbfa991faab2b8b89e06647f3faee38a0015c8d8d767	0	0	0	true
17	0xa032f8864bdab893a5f549615390891b0a604dc230a7e8955ce1cee9d1ad5a2f	0x301514e20aa9dd2d235dfc0fc7fba80b7170587ec9ea44b815fb880890712842	0	0	0	true
18	0xdf630bae38290478eb8beffeb248c120c06dd47381c3809a468497b7f5f9ca73	0xd7cde51562064f5f5564b1f8ec3b2f0c9d58952ac1d8bdec50cc3ac0a168e114	0	0	0	true
19	0xb5ce3c25c6f53b29b639a6d640ae4ec4052031f7a5798f73be6cc80abd41cfb6	0x205663434285c383c84ffd76534ec6c3a43eac2ea3155861c7935f05d7547dee	0	0	0	true
