batch	shots	toffoli	clifford	classical_failures	phase_failure_shots	ancilla_failure_shots	any_failure_shots	phase_garbage_batches	ancilla_garbage_batches	inputs_end_offset
1	64	332007865	5999346988	0	0	0	0	0	0	36092
0	64	332006659	6000871570	0	0	0	0	0	0	72012
3	64	332007227	6004215964	0	0	0	0	0	0	107986
2	64	332007364	6002488230	0	0	0	0	0	0	143965
5	64	332008208	6003433691	0	0	0	0	0	0	179954
4	64	332007344	6005696808	0	0	0	0	0	0	215950
7	64	332007386	6009132258	0	0	0	0	0	0	251942
6	64	332008730	6010541666	0	0	0	0	0	0	287915
8	64	332008438	6007931456	0	0	0	0	0	0	323883
9	64	332007514	6004522036	0	0	0	0	0	0	359870
10	64	332007502	6003695479	0	0	0	0	0	0	395913
11	64	332006178	5998203814	0	0	0	0	0	0	431963
13	64	332008249	6006779513	0	0	0	0	0	0	468000
12	64	332009425	6008194224	0	0	0	0	0	0	504045
14	64	332005822	6002988135	0	0	0	0	0	0	540080
15	64	332008379	5996063342	0	0	0	0	0	0	576148
16	64	332007517	5998545930	0	0	0	0	0	0	612236
17	64	332007619	5998992459	0	0	0	0	0	0	648322
19	64	332006999	6004487799	0	0	0	0	0	0	684432
18	64	332007050	6002171233	0	0	0	0	0	0	720547
20	64	332006979	5998475835	0	0	0	0	0	0	756662
21	64	332006752	6009431483	0	0	0	0	0	0	792776
23	64	332007107	6005801326	0	0	0	0	0	0	828882
22	64	332006085	5995141182	0	0	0	0	0	0	864994
25	64	332006956	6005657481	0	0	0	0	0	0	901106
24	64	332008097	6005207798	0	0	0	0	0	0	937219
27	64	332008794	5994676807	0	0	0	0	0	0	973335
26	64	332006970	6007301399	0	0	0	0	0	0	1009448
29	64	332008191	5990274639	0	0	0	0	0	0	1045567
28	64	332007229	5997383381	0	0	0	0	0	0	1081686
31	64	332006611	6002913081	0	0	0	0	0	0	1117788
30	64	332007545	5998208636	0	0	0	0	0	0	1153911
33	64	332008312	6007933187	0	0	0	0	0	0	1190025
32	64	332007627	5997069704	0	0	0	0	0	0	1226139
35	64	332006566	6004029412	0	0	0	0	0	0	1262258
34	64	332007052	6006701632	0	0	0	0	0	0	1298364
37	64	332007511	5998350718	0	0	0	0	0	0	1334466
36	64	332007535	5994010588	0	0	0	0	0	0	1370562
38	64	332008066	6003942791	0	0	0	0	0	0	1406668
39	64	332006011	6004497184	0	0	0	0	0	0	1442783
41	64	332007243	6000051794	0	0	0	0	0	0	1478898
40	64	332006929	5998016470	0	0	0	0	0	0	1514995
42	64	332007010	6006039404	0	0	0	0	0	0	1551106
43	64	332008682	6004275969	0	0	0	0	0	0	1587234
44	64	332007320	5989081691	0	0	0	0	0	0	1623351
45	64	332007247	6008636693	0	0	0	0	0	0	1659465
47	64	332008067	5999195523	0	0	0	0	0	0	1695569
46	64	332008471	5990837860	0	0	0	0	0	0	1731679
49	64	332006992	6003630096	0	0	0	0	0	0	1767788
48	64	332007546	6000036470	0	0	0	0	0	0	1803901
51	64	332007617	6003286028	0	0	0	0	0	0	1840012
50	64	332005904	6003842569	0	0	0	0	0	0	1876130
53	64	332007766	6003187067	0	0	0	0	0	0	1912246
52	64	332007439	6003065695	0	0	0	0	0	0	1948353
54	64	332006473	5994974538	0	0	0	0	0	0	1984444
55	64	332007604	6000530135	0	0	0	0	0	0	2020561
56	64	332008674	6008104197	0	0	0	0	0	0	2056661
57	64	332007775	6006989199	0	0	0	0	0	0	2092760
59	64	332007157	6003766842	0	0	0	0	0	0	2128866
58	64	332007163	6000824282	0	0	0	0	0	0	2164968
60	64	332007790	6001026505	0	0	0	0	0	0	2201080
61	64	332007352	6002346472	0	0	0	0	0	0	2237190
62	64	332007043	6004912824	0	0	0	0	0	0	2273311
63	64	332007538	5996388352	0	0	0	0	0	0	2309426
