CELL_HEADER kernel,sign,source,target,got,expected,word_bad,field_bad,phase,ancilla,source_bad,control_bad,toffoli_sum64,peak,emitted_toffoli
CELL negate,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,49728,770,777
CELL negate,0,0x0,0x1,0x1,0x1,0,0,0,0,0,0,49728,770,777
CELL negate,0,0x0,0x2,0x2,0x2,0,0,0,0,0,0,49728,770,777
CELL negate,0,0x0,0x1000003d0,0x1000003d0,0x1000003d0,0,0,0,0,0,0,49728,770,777
CELL negate,0,0x0,0x1000003d1,0x1000003d1,0x1000003d1,0,0,0,0,0,0,49728,770,777
CELL negate,0,0x0,0x1000003d2,0x1000003d2,0x1000003d2,0,0,0,0,0,0,49728,770,777
CELL negate,0,0x0,0x7fffffffffffffffffffffffffffffffffffffffffffffffffffffff7ffffe17,0x7fffffffffffffffffffffffffffffffffffffffffffffffffffffff7ffffe17,0x7fffffffffffffffffffffffffffffffffffffffffffffffffffffff7ffffe17,0,0,0,0,0,0,49728,770,777
CELL negate,0,0x0,0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffefffffc2d,0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffefffffc2d,0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffefffffc2d,0,0,0,0,0,0,49728,770,777
CELL negate,0,0x0,0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffefffffc2e,0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffefffffc2e,0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffefffffc2e,0,0,0,0,0,0,49728,770,777
CELL negate,0,0x0,0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffefffffc2f,0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffefffffc2f,0x0,1,0,0,0,0,0,49728,770,777
CELL negate,1,0x0,0x0,0x0,0x0,0,0,0,0,0,0,49728,770,777
CELL negate,1,0x0,0x1,0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffefffffc2e,0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffefffffc2e,0,0,0,0,0,0,49728,770,777
