label	got_x	got_y	classical	phase	ancilla	interface_ok
d1-y1-0	0x5a0b2d85d855ffb7ab2b6f074f5f034c894243d5dc6bc7ebc7bb61956e121fc4	0x89946ef456d2f1a06029556c19f5a88dfcde81820e53b71399e97a9198279bd9	1	0	0	true
d1-y1-1	0x5a0b2d85d855ffb7ab2b6f074f5f034c894243d5dc6bc7ebc7bb61956e121fc4	0x89946ef456d2f1a06029556c19f5a88dfcde81820e53b71399e97a9198279bd9	1	1	0	true
d1-y1-2	0x5a0b2d85d855ffb7ab2b6f074f5f034c894243d5dc6bc7ebc7bb61956e121fc4	0x89946ef456d2f1a06029556c19f5a88dfcde81820e53b71399e97a9198279bd9	1	0	0	true
d1-y1-3	0x5a0b2d85d855ffb7ab2b6f074f5f034c894243d5dc6bc7ebc7bb61956e121fc4	0x89946ef456d2f1a06029556c19f5a88dfcde81820e53b71399e97a9198279bd9	1	0	0	true
d1-y1-4	0x5a0b2d85d855ffb7ab2b6f074f5f034c894243d5dc6bc7ebc7bb61956e121fc4	0x89946ef456d2f1a06029556c19f5a88dfcde81820e53b71399e97a9198279bd9	1	1	0	true
d1-y1-5	0x5a0b2d85d855ffb7ab2b6f074f5f034c894243d5dc6bc7ebc7bb61956e121fc4	0x89946ef456d2f1a06029556c19f5a88dfcde81820e53b71399e97a9198279bd9	1	1	0	true
d1-y1-6	0x5a0b2d85d855ffb7ab2b6f074f5f034c894243d5dc6bc7ebc7bb61956e121fc4	0x89946ef456d2f1a06029556c19f5a88dfcde81820e53b71399e97a9198279bd9	1	1	0	true
d1-y1-7	0x5a0b2d85d855ffb7ab2b6f074f5f034c894243d5dc6bc7ebc7bb61956e121fc4	0x89946ef456d2f1a06029556c19f5a88dfcde81820e53b71399e97a9198279bd9	1	1	0	true
d1-y0-0	0x6e331e22c976acd766468ddbde53e8290b7474cfac129718950dc0a6e9205fc0	0x77914916c621ca87df40f3021c897618914f52f36bf3d7becb1c8ac4291f92d	1	1	0	true
d1-y0-1	0x6e331e22c976acd766468ddbde53e8290b7474cfac129718950dc0a6e9205fc0	0x77914916c621ca87df40f3021c897618914f52f36bf3d7becb1c8ac4291f92d	1	1	0	true
d1-y0-2	0x6e331e22c976acd766468ddbde53e8290b7474cfac129718950dc0a6e9205fc0	0x77914916c621ca87df40f3021c897618914f52f36bf3d7becb1c8ac4291f92d	1	0	0	true
d1-y0-3	0x6e331e22c976acd766468ddbde53e8290b7474cfac129718950dc0a6e9205fc0	0x77914916c621ca87df40f3021c897618914f52f36bf3d7becb1c8ac4291f92d	1	1	0	true
d1-y0-4	0x6e331e22c976acd766468ddbde53e8290b7474cfac129718950dc0a6e9205fc0	0x77914916c621ca87df40f3021c897618914f52f36bf3d7becb1c8ac4291f92d	1	1	0	true
d1-y0-5	0x6e331e22c976acd766468ddbde53e8290b7474cfac129718950dc0a6e9205fc0	0x77914916c621ca87df40f3021c897618914f52f36bf3d7becb1c8ac4291f92d	1	1	0	true
d1-y0-6	0x6e331e22c976acd766468ddbde53e8290b7474cfac129718950dc0a6e9205fc0	0x77914916c621ca87df40f3021c897618914f52f36bf3d7becb1c8ac4291f92d	1	1	0	true
d1-y0-7	0x6e331e22c976acd766468ddbde53e8290b7474cfac129718950dc0a6e9205fc0	0x77914916c621ca87df40f3021c897618914f52f36bf3d7becb1c8ac4291f92d	1	0	0	true
d3-y1-0	0xc986fe10c927c4479e4f7a72b5358562a7d752c0569b3a86c7ab7d489dac06b3	0xae9d0dc1f9e52f4d51cac13e1beb143f429e243d6c58c9614e48f1a9d145513d	1	1	0	true
d3-y1-1	0xc986fe10c927c4479e4f7a72b5358562a7d752c0569b3a86c7ab7d489dac06b3	0xae9d0dc1f9e52f4d51cac13e1beb143f429e243d6c58c9614e48f1a9d145513d	1	0	0	true
d3-y1-2	0xc986fe10c927c4479e4f7a72b5358562a7d752c0569b3a86c7ab7d489dac06b3	0xae9d0dc1f9e52f4d51cac13e1beb143f429e243d6c58c9614e48f1a9d145513d	1	1	0	true
d3-y1-3	0xc986fe10c927c4479e4f7a72b5358562a7d752c0569b3a86c7ab7d489dac06b3	0xae9d0dc1f9e52f4d51cac13e1beb143f429e243d6c58c9614e48f1a9d145513d	1	1	0	true
d3-y1-4	0xc986fe10c927c4479e4f7a72b5358562a7d752c0569b3a86c7ab7d489dac06b3	0xae9d0dc1f9e52f4d51cac13e1beb143f429e243d6c58c9614e48f1a9d145513d	1	0	0	true
d3-y1-5	0xc986fe10c927c4479e4f7a72b5358562a7d752c0569b3a86c7ab7d489dac06b3	0xae9d0dc1f9e52f4d51cac13e1beb143f429e243d6c58c9614e48f1a9d145513d	1	0	0	true
d3-y1-6	0xc986fe10c927c4479e4f7a72b5358562a7d752c0569b3a86c7ab7d489dac06b3	0xae9d0dc1f9e52f4d51cac13e1beb143f429e243d6c58c9614e48f1a9d145513d	1	1	0	true
d3-y1-7	0xc986fe10c927c4479e4f7a72b5358562a7d752c0569b3a86c7ab7d489dac06b3	0xae9d0dc1f9e52f4d51cac13e1beb143f429e243d6c58c9614e48f1a9d145513d	1	1	0	true
d3-y0-0	0x8c8aca13e572ee2b234085a539c7b91ee09485c4f2ce39f74c4ace0bd0c1671c	0xbad60f15fc9f2b7a23d8252344c69a0f582241928a1f85f7154ea22d4922c1dc	1	1	0	true
d3-y0-1	0x8c8aca13e572ee2b234085a539c7b91ee09485c4f2ce39f74c4ace0bd0c1671c	0xbad60f15fc9f2b7a23d8252344c69a0f582241928a1f85f7154ea22d4922c1dc	1	0	0	true
d3-y0-2	0x8c8aca13e572ee2b234085a539c7b91ee09485c4f2ce39f74c4ace0bd0c1671c	0xbad60f15fc9f2b7a23d8252344c69a0f582241928a1f85f7154ea22d4922c1dc	1	0	0	true
d3-y0-3	0x8c8aca13e572ee2b234085a539c7b91ee09485c4f2ce39f74c4ace0bd0c1671c	0xbad60f15fc9f2b7a23d8252344c69a0f582241928a1f85f7154ea22d4922c1dc	1	0	0	true
d3-y0-4	0x8c8aca13e572ee2b234085a539c7b91ee09485c4f2ce39f74c4ace0bd0c1671c	0xbad60f15fc9f2b7a23d8252344c69a0f582241928a1f85f7154ea22d4922c1dc	1	1	0	true
d3-y0-5	0x8c8aca13e572ee2b234085a539c7b91ee09485c4f2ce39f74c4ace0bd0c1671c	0xbad60f15fc9f2b7a23d8252344c69a0f582241928a1f85f7154ea22d4922c1dc	1	0	0	true
d3-y0-6	0x8c8aca13e572ee2b234085a539c7b91ee09485c4f2ce39f74c4ace0bd0c1671c	0xbad60f15fc9f2b7a23d8252344c69a0f582241928a1f85f7154ea22d4922c1dc	1	0	0	true
d3-y0-7	0x8c8aca13e572ee2b234085a539c7b91ee09485c4f2ce39f74c4ace0bd0c1671c	0xbad60f15fc9f2b7a23d8252344c69a0f582241928a1f85f7154ea22d4922c1dc	1	1	0	true
d57896044618658097711785492504343953926634992332820282019728792003956564819968-y1-0	0xe8a945cec3e75e688b9e74e4e25e73b85c8eff63c4ad3ce8224432a9d40a7d3e	0x1ed240b508c56955d314eba306c13b1d4e6ef2ab377167c8bb8b2020b6a276ae	1	1	0	true
d57896044618658097711785492504343953926634992332820282019728792003956564819968-y1-1	0xe8a945cec3e75e688b9e74e4e25e73b85c8eff63c4ad3ce8224432a9d40a7d3e	0x1ed240b508c56955d314eba306c13b1d4e6ef2ab377167c8bb8b2020b6a276ae	1	0	0	true
d57896044618658097711785492504343953926634992332820282019728792003956564819968-y1-2	0xe8a945cec3e75e688b9e74e4e25e73b85c8eff63c4ad3ce8224432a9d40a7d3e	0x1ed240b508c56955d314eba306c13b1d4e6ef2ab377167c8bb8b2020b6a276ae	1	1	0	true
d57896044618658097711785492504343953926634992332820282019728792003956564819968-y1-3	0xe8a945cec3e75e688b9e74e4e25e73b85c8eff63c4ad3ce8224432a9d40a7d3e	0x1ed240b508c56955d314eba306c13b1d4e6ef2ab377167c8bb8b2020b6a276ae	1	0	0	true
d57896044618658097711785492504343953926634992332820282019728792003956564819968-y1-4	0xe8a945cec3e75e688b9e74e4e25e73b85c8eff63c4ad3ce8224432a9d40a7d3e	0x1ed240b508c56955d314eba306c13b1d4e6ef2ab377167c8bb8b2020b6a276ae	1	1	0	true
d57896044618658097711785492504343953926634992332820282019728792003956564819968-y1-5	0xe8a945cec3e75e688b9e74e4e25e73b85c8eff63c4ad3ce8224432a9d40a7d3e	0x1ed240b508c56955d314eba306c13b1d4e6ef2ab377167c8bb8b2020b6a276ae	1	0	0	true
d57896044618658097711785492504343953926634992332820282019728792003956564819968-y1-6	0xe8a945cec3e75e688b9e74e4e25e73b85c8eff63c4ad3ce8224432a9d40a7d3e	0x1ed240b508c56955d314eba306c13b1d4e6ef2ab377167c8bb8b2020b6a276ae	1	1	0	true
