batch	shots	toffoli	clifford	classical_failures	phase_failure_shots	ancilla_failure_shots	any_failure_shots	phase_garbage_batches	ancilla_garbage_batches	inputs_end_offset
4	64	86798506	4936349743	0	0	0	0	0	0	36143
5	64	86764504	4933723995	0	0	0	0	0	0	72141
2	64	86823571	4934421312	0	0	0	0	0	0	108114
1	64	86823177	4933855845	0	0	0	0	0	0	144049
3	64	86809852	4937890805	0	0	0	0	0	0	180025
0	64	86800916	4938395014	0	0	0	0	0	0	215935
9	64	86798713	4938755439	0	0	0	0	0	0	251923
10	64	86793269	4936275211	0	0	0	0	0	0	287982
11	64	86806879	4934295316	0	0	0	0	0	0	324030
8	64	86803681	4941803519	0	0	0	0	0	0	360015
7	64	86806175	4933869198	0	0	0	0	0	0	395993
6	64	86785013	4934699182	0	0	0	0	0	0	431986
16	64	86818969	4933673846	0	0	0	0	0	0	468085
13	64	86782510	4933825626	0	0	0	0	0	0	504132
12	64	86794216	4938094249	0	0	0	0	0	0	540184
17	64	86809236	4936270584	0	0	0	0	0	0	576304
14	64	86788216	4942550816	0	0	0	0	0	0	612361
15	64	86824888	4935636113	0	0	0	0	0	0	648427
19	64	86794335	4933632014	0	0	0	0	0	0	684531
23	64	86828256	4943184470	0	0	0	0	0	0	720648
20	64	86822059	4944797184	0	0	0	0	0	0	756747
22	64	86757134	4940351187	0	0	0	0	0	0	792854
21	64	86771980	4935353846	0	0	0	0	0	0	828984
18	64	86805178	4933604766	0	0	0	0	0	0	865098
28	64	86848275	4936201754	0	0	0	0	0	0	901214
29	64	86812252	4937099467	0	0	0	0	0	0	937322
24	64	86790031	4943688341	0	0	0	0	0	0	973432
26	64	86785791	4944070228	0	0	0	0	0	0	1009545
25	64	86796533	4937246517	0	0	0	0	0	0	1045661
27	64	86781879	4944959985	0	0	0	0	0	0	1081783
32	64	86813877	4934561478	0	0	0	0	0	0	1117887
30	64	86810254	4934190245	0	0	0	0	0	0	1154008
34	64	86813557	4937714584	0	0	0	0	0	0	1190132
35	64	86819093	4936371260	0	0	0	0	0	0	1226232
33	64	86856689	4942173033	0	0	0	0	0	0	1262349
31	64	86775795	4938423505	0	0	0	0	0	0	1298465
36	64	86783969	4944123703	0	0	0	0	0	0	1334581
38	64	86845914	4938412023	0	0	0	0	0	0	1370673
39	64	86793398	4944889082	0	0	0	0	0	0	1406791
41	64	86797268	4942913358	0	0	0	0	0	0	1442904
40	64	86794813	4937418710	0	0	0	0	0	0	1479017
37	64	86822944	4945822789	0	0	0	0	0	0	1515121
42	64	86755971	4943388630	0	0	0	0	0	0	1551246
43	64	86782295	4934041942	0	0	0	0	0	0	1587357
46	64	86798698	4941288319	0	0	0	0	0	0	1623461
47	64	86798705	4933170122	0	0	0	0	0	0	1659572
44	64	86785062	4928951947	0	0	0	0	0	0	1695687
45	64	86826352	4930692084	0	0	0	0	0	0	1731793
52	64	86800252	4936928197	0	0	0	0	0	0	1767891
53	64	86807196	4945148959	0	0	0	0	0	0	1803991
51	64	86845166	4937247008	0	0	0	0	0	0	1840098
49	64	86837972	4938174414	0	0	0	0	0	0	1876214
48	64	86791229	4944225797	0	0	0	0	0	0	1912322
50	64	86809909	4942565227	0	0	0	0	0	0	1948418
59	64	86840076	4940970621	0	0	0	0	0	0	1984522
55	64	86809062	4936873836	0	0	0	0	0	0	2020629
54	64	86812493	4938787763	0	0	0	0	0	0	2056756
58	64	86803047	4939454280	0	0	0	0	0	0	2092862
56	64	86780243	4943386544	0	0	0	0	0	0	2128952
57	64	86841660	4938942194	0	0	0	0	0	0	2164929
64	64	86789724	4944104945	0	0	0	0	0	0	2201053
63	64	86826473	4937148075	0	0	0	0	0	0	2237165
60	64	86823760	4940319294	0	0	0	0	0	0	2273273
61	64	86797888	4929158373	0	0	0	0	0	0	2309385
62	64	86787292	4932815922	0	0	0	0	0	0	2345485
65	64	86848785	4934002979	0	0	0	0	0	0	2381591
69	64	86790247	4933059340	0	0	0	0	0	0	2417704
70	64	86809310	4941165772	0	0	0	0	0	0	2453827
67	64	86823769	4941619826	0	0	0	0	0	0	2489951
71	64	86833189	4940010309	0	0	0	0	0	0	2526072
68	64	86811345	4936388078	0	0	0	0	0	0	2562187
66	64	86824256	4936313464	0	0	0	0	0	0	2598309
72	64	86782793	4935439730	0	0	0	0	0	0	2634425
74	64	86807711	4937174807	0	0	0	0	0	0	2670536
76	64	86821973	4937914199	0	0	0	0	0	0	2706653
73	64	86822099	4938990872	0	0	0	0	0	0	2742750
77	64	86812647	4940845799	0	0	0	0	0	0	2778859
75	64	86761461	4941978645	0	0	0	0	0	0	2814978
81	64	86784896	4937194619	0	0	0	0	0	0	2851081
82	64	86877157	4942530415	0	0	0	0	0	0	2887197
78	64	86806245	4928819594	0	0	0	0	0	0	2923317
79	64	86807741	4932869753	0	0	0	0	0	0	2959431
83	64	86792934	4935182823	0	0	0	0	0	0	2995545
