k,u_before,v_before,tape_bit,sum,u_after,v_after
0,115792089237316195423570985008687907853269984665640564039457584007908834671663,57896044618658097711785492504343953926634992332820282019728792003956564819968,0,,115792089237316195423570985008687907853269984665640564039457584007908834671663,-86844066927987146567678238756515930889952488499230423029593188005930552261679
1,115792089237316195423570985008687907853269984665640564039457584007908834671663,-86844066927987146567678238756515930889952488499230423029593188005930552261679,1,202636156165303341991249223765203838743222473164870987069050772013839386933342,101318078082651670995624611882601919371611236582435493534525386006919693466671,-86844066927987146567678238756515930889952488499230423029593188005930552261679
2,101318078082651670995624611882601919371611236582435493534525386006919693466671,-86844066927987146567678238756515930889952488499230423029593188005930552261679,1,-188162145010638817563302850639117850261563725081665916564118574012850245728350,101318078082651670995624611882601919371611236582435493534525386006919693466671,-94081072505319408781651425319558925130781862540832958282059287006425122864175
3,101318078082651670995624611882601919371611236582435493534525386006919693466671,-94081072505319408781651425319558925130781862540832958282059287006425122864175,1,195399150587971079777276037202160844502393099123268451816584673013344816330846,97699575293985539888638018601080422251196549561634225908292336506672408165423,-94081072505319408781651425319558925130781862540832958282059287006425122864175
4,97699575293985539888638018601080422251196549561634225908292336506672408165423,-94081072505319408781651425319558925130781862540832958282059287006425122864175,1,-191780647799304948670289443920639347381978412102467184190351623513097531029598,97699575293985539888638018601080422251196549561634225908292336506672408165423,-95890323899652474335144721960319673690989206051233592095175811756548765514799
5,97699575293985539888638018601080422251196549561634225908292336506672408165423,-95890323899652474335144721960319673690989206051233592095175811756548765514799,1,193589899193638014223782740561400095942185755612867818003468148263221173680222,96794949596819007111891370280700047971092877806433909001734074131610586840111,-95890323899652474335144721960319673690989206051233592095175811756548765514799
6,96794949596819007111891370280700047971092877806433909001734074131610586840111,-95890323899652474335144721960319673690989206051233592095175811756548765514799,1,-192685273496471481447036092241019721662082083857667501096909885888159352354910,96794949596819007111891370280700047971092877806433909001734074131610586840111,-96342636748235740723518046120509860831041041928833750548454942944079676177455
7,96794949596819007111891370280700047971092877806433909001734074131610586840111,-96342636748235740723518046120509860831041041928833750548454942944079676177455,1,193137586345054747835409416401209908802133919735267659550189017075690263017566,96568793172527373917704708200604954401066959867633829775094508537845131508783,-96342636748235740723518046120509860831041041928833750548454942944079676177455
8,96568793172527373917704708200604954401066959867633829775094508537845131508783,-96342636748235740723518046120509860831041041928833750548454942944079676177455,1,-192911429920763114641222754321114815232108001796467580323549451481924807686238,96568793172527373917704708200604954401066959867633829775094508537845131508783,-96455714960381557320611377160557407616054000898233790161774725740962403843119
9,96568793172527373917704708200604954401066959867633829775094508537845131508783,-96455714960381557320611377160557407616054000898233790161774725740962403843119,1,193024508132908931238316085361162362017120960765867619936869234278807535351902,96512254066454465619158042680581181008560480382933809968434617139403767675951,-96455714960381557320611377160557407616054000898233790161774725740962403843119
