k,u_before,v_before,tape_bit,sum,u_after,v_after
0,115792089237316195423570985008687907853269984665640564039457584007908834671663,3,1,,115792089237316195423570985008687907853269984665640564039457584007908834671663,57896044618658097711785492504343953926634992332820282019728792003954417335833
1,115792089237316195423570985008687907853269984665640564039457584007908834671663,57896044618658097711785492504343953926634992332820282019728792003954417335833,1,57896044618658097711785492504343953926634992332820282019728792003954417335830,28948022309329048855892746252171976963317496166410141009864396001977208667915,57896044618658097711785492504343953926634992332820282019728792003954417335833
2,28948022309329048855892746252171976963317496166410141009864396001977208667915,57896044618658097711785492504343953926634992332820282019728792003954417335833,1,28948022309329048855892746252171976963317496166410141009864396001977208667918,28948022309329048855892746252171976963317496166410141009864396001977208667915,14474011154664524427946373126085988481658748083205070504932198000988604333959
3,28948022309329048855892746252171976963317496166410141009864396001977208667915,14474011154664524427946373126085988481658748083205070504932198000988604333959,0,43422033463993573283839119378257965444976244249615211514796594002965813001874,21711016731996786641919559689128982722488122124807605757398297001482906500937,14474011154664524427946373126085988481658748083205070504932198000988604333959
4,21711016731996786641919559689128982722488122124807605757398297001482906500937,14474011154664524427946373126085988481658748083205070504932198000988604333959,1,-7237005577332262213973186563042994240829374041602535252466099000494302166978,21711016731996786641919559689128982722488122124807605757398297001482906500937,-3618502788666131106986593281521497120414687020801267626233049500247151083489
5,21711016731996786641919559689128982722488122124807605757398297001482906500937,-3618502788666131106986593281521497120414687020801267626233049500247151083489,1,25329519520662917748906152970650479842902809145608873383631346501730057584426,12664759760331458874453076485325239921451404572804436691815673250865028792213,-3618502788666131106986593281521497120414687020801267626233049500247151083489
6,12664759760331458874453076485325239921451404572804436691815673250865028792213,-3618502788666131106986593281521497120414687020801267626233049500247151083489,1,-16283262548997589981439669766846737041866091593605704318048722751112179875702,12664759760331458874453076485325239921451404572804436691815673250865028792213,-8141631274498794990719834883423368520933045796802852159024361375556089937851
7,12664759760331458874453076485325239921451404572804436691815673250865028792213,-8141631274498794990719834883423368520933045796802852159024361375556089937851,0,4523128485832663883733241601901871400518358776001584532791311875308938854362,2261564242916331941866620800950935700259179388000792266395655937654469427181,-8141631274498794990719834883423368520933045796802852159024361375556089937851
8,2261564242916331941866620800950935700259179388000792266395655937654469427181,-8141631274498794990719834883423368520933045796802852159024361375556089937851,0,-5880067031582463048853214082472432820673866408802059892628705437901620510670,2261564242916331941866620800950935700259179388000792266395655937654469427181,-2940033515791231524426607041236216410336933204401029946314352718950810255335
9,2261564242916331941866620800950935700259179388000792266395655937654469427181,-2940033515791231524426607041236216410336933204401029946314352718950810255335,0,-678469272874899582559986240285280710077753816400237679918696781296340828154,-339234636437449791279993120142640355038876908200118839959348390648170414077,-2940033515791231524426607041236216410336933204401029946314352718950810255335
10,-339234636437449791279993120142640355038876908200118839959348390648170414077,-2940033515791231524426607041236216410336933204401029946314352718950810255335,1,-2600798879353781733146613921093576055298056296200911106355004328302639841258,-339234636437449791279993120142640355038876908200118839959348390648170414077,-1300399439676890866573306960546788027649028148100455553177502164151319920629
11,-339234636437449791279993120142640355038876908200118839959348390648170414077,-1300399439676890866573306960546788027649028148100455553177502164151319920629,0,-1639634076114340657853300080689428382687905056300574393136850554799490334706,-819817038057170328926650040344714191343952528150287196568425277399745167353,-1300399439676890866573306960546788027649028148100455553177502164151319920629
12,-819817038057170328926650040344714191343952528150287196568425277399745167353,-1300399439676890866573306960546788027649028148100455553177502164151319920629,0,-2120216477734061195499957000891502218992980676250742749745927441551065087982,-819817038057170328926650040344714191343952528150287196568425277399745167353,-1060108238867030597749978500445751109496490338125371374872963720775532543991
13,-819817038057170328926650040344714191343952528150287196568425277399745167353,-1060108238867030597749978500445751109496490338125371374872963720775532543991,1,240291200809860268823328460101036918152537809975084178304538443375787376638,120145600404930134411664230050518459076268904987542089152269221687893688319,-1060108238867030597749978500445751109496490338125371374872963720775532543991
14,120145600404930134411664230050518459076268904987542089152269221687893688319,-1060108238867030597749978500445751109496490338125371374872963720775532543991,1,-1180253839271960732161642730496269568572759243112913464025232942463426232310,120145600404930134411664230050518459076268904987542089152269221687893688319,-590126919635980366080821365248134784286379621556456732012616471231713116155
15,120145600404930134411664230050518459076268904987542089152269221687893688319,-590126919635980366080821365248134784286379621556456732012616471231713116155,1,710272520040910500492485595298653243362648526543998821164885692919606804474,355136260020455250246242797649326621681324263271999410582442846459803402237,-590126919635980366080821365248134784286379621556456732012616471231713116155
16,355136260020455250246242797649326621681324263271999410582442846459803402237,-590126919635980366080821365248134784286379621556456732012616471231713116155,0,-234990659615525115834578567598808162605055358284457321430173624771909713918,355136260020455250246242797649326621681324263271999410582442846459803402237,-117495329807762557917289283799404081302527679142228660715086812385954856959
17,355136260020455250246242797649326621681324263271999410582442846459803402237,-117495329807762557917289283799404081302527679142228660715086812385954856959,0,237640930212692692328953513849922540378796584129770749867356034073848545278,118820465106346346164476756924961270189398292064885374933678017036924272639,-117495329807762557917289283799404081302527679142228660715086812385954856959
18,118820465106346346164476756924961270189398292064885374933678017036924272639,-117495329807762557917289283799404081302527679142228660715086812385954856959,1,-236315794914108904081766040724365351491925971207114035648764829422879129598,118820465106346346164476756924961270189398292064885374933678017036924272639,-118157897457054452040883020362182675745962985603557017824382414711439564799
19,118820465106346346164476756924961270189398292064885374933678017036924272639,-118157897457054452040883020362182675745962985603557017824382414711439564799,1,236978362563400798205359777287143945935361277668442392758060431748363837438,118489181281700399102679888643571972967680638834221196379030215874181918719,-118157897457054452040883020362182675745962985603557017824382414711439564799
20,118489181281700399102679888643571972967680638834221196379030215874181918719,-118157897457054452040883020362182675745962985603557017824382414711439564799,1,-236647078738754851143562909005754648713643624437778214203412630585621483518,118489181281700399102679888643571972967680638834221196379030215874181918719,-118323539369377425571781454502877324356821812218889107101706315292810741759
21,118489181281700399102679888643571972967680638834221196379030215874181918719,-118323539369377425571781454502877324356821812218889107101706315292810741759,1,236812720651077824674461343146449297324502451053110303480736531166992660478,118406360325538912337230671573224648662251225526555151740368265583496330239,-118323539369377425571781454502877324356821812218889107101706315292810741759
22,118406360325538912337230671573224648662251225526555151740368265583496330239,-118323539369377425571781454502877324356821812218889107101706315292810741759,1,-236729899694916337909012126076101973019073037745444258842074580876307071998,118406360325538912337230671573224648662251225526555151740368265583496330239,-118364949847458168954506063038050986509536518872722129421037290438153535999
23,118406360325538912337230671573224648662251225526555151740368265583496330239,-118364949847458168954506063038050986509536518872722129421037290438153535999,1,236771310172997081291736734611275635171787744399277281161405556021649866238,118385655086498540645868367305637817585893872199638640580702778010824933119,-118364949847458168954506063038050986509536518872722129421037290438153535999
24,118385655086498540645868367305637817585893872199638640580702778010824933119,-118364949847458168954506063038050986509536518872722129421037290438153535999,1,-236750604933956709600374430343688804095430391072360770001740068448978469118,118385655086498540645868367305637817585893872199638640580702778010824933119,-118375302466978354800187215171844402047715195536180385000870034224489234559
25,118385655086498540645868367305637817585893872199638640580702778010824933119,-118375302466978354800187215171844402047715195536180385000870034224489234559,1,236760957553476895446055582477482219633609067735819025581572812235314167678,118380478776738447723027791238741109816804533867909512790786406117657083839,-118375302466978354800187215171844402047715195536180385000870034224489234559
26,118380478776738447723027791238741109816804533867909512790786406117657083839,-118375302466978354800187215171844402047715195536180385000870034224489234559,1,-236755781243716802523215006410585511864519729404089897791656440342146318398,118380478776738447723027791238741109816804533867909512790786406117657083839,-118377890621858401261607503205292755932259864702044948895828220171073159199
