k_zero_based,round_one_based,base704,rounds736,widths_guarded736,proposed_taper768,proposed_full259_768,proved_sufficient_ordinary_width258
0,1,259,259,259,259,259,258
1,2,259,259,259,259,259,258
2,3,259,259,259,259,259,258
3,4,259,259,259,259,259,258
4,5,259,259,259,259,259,258
5,6,259,259,259,259,259,258
6,7,259,259,259,259,259,258
7,8,259,259,259,259,259,258
8,9,259,259,259,259,259,258
9,10,259,259,259,259,259,258
10,11,259,259,259,259,259,258
11,12,259,259,259,259,259,258
12,13,258,258,259,259,259,258
13,14,258,258,259,259,259,258
14,15,258,258,259,259,259,258
15,16,258,258,259,259,259,258
16,17,258,258,259,259,259,258
17,18,258,258,259,259,259,258
18,19,257,257,259,259,259,258
19,20,257,257,259,259,259,258
20,21,257,257,259,259,259,258
21,22,257,257,259,259,259,258
22,23,257,257,259,259,259,258
23,24,257,257,259,259,259,258
24,25,256,256,259,259,259,258
25,26,256,256,259,259,259,258
26,27,256,256,259,259,259,258
27,28,256,256,259,259,259,258
28,29,256,256,259,259,259,258
29,30,256,256,259,259,259,258
30,31,255,255,259,259,259,258
31,32,255,255,259,259,259,258
32,33,255,255,259,259,259,258
33,34,255,255,259,259,259,258
34,35,255,255,259,259,259,258
35,36,255,255,259,259,259,258
36,37,254,254,259,259,259,258
37,38,254,254,259,259,259,258
38,39,254,254,259,259,259,258
39,40,254,254,259,259,259,258
40,41,254,254,259,259,259,258
41,42,254,254,259,259,259,258
42,43,254,254,259,259,259,258
43,44,254,254,259,259,259,258
44,45,253,253,259,259,259,258
45,46,253,253,259,259,259,258
46,47,253,253,259,259,259,258
47,48,252,252,259,259,259,258
48,49,252,252,259,259,259,258
49,50,252,252,259,259,259,258
50,51,251,251,259,259,259,258
51,52,251,251,259,259,259,258
52,53,251,251,259,259,259,258
53,54,250,250,259,259,259,258
54,55,250,250,259,259,259,258
55,56,250,250,259,259,259,258
56,57,249,249,259,259,259,258
57,58,249,249,259,259,259,258
58,59,249,249,259,259,259,258
59,60,248,248,259,259,259,258
60,61,248,248,259,259,259,258
61,62,248,248,259,259,259,258
62,63,247,247,259,259,259,258
63,64,247,247,259,259,259,258
64,65,247,247,259,259,259,258
65,66,246,246,259,259,259,258
66,67,246,246,259,259,259,258
67,68,246,246,259,259,259,258
68,69,245,245,259,259,259,258
69,70,245,245,259,259,259,258
70,71,245,245,259,259,259,258
71,72,244,244,259,259,259,258
72,73,244,244,259,259,259,258
73,74,244,244,259,259,259,258
74,75,243,243,259,259,259,258
75,76,243,243,259,259,259,258
76,77,243,243,259,259,259,258
77,78,242,242,258,258,259,258
78,79,242,242,258,258,259,258
79,80,242,242,258,258,259,258
80,81,241,241,257,257,259,258
81,82,241,241,257,257,259,258
82,83,241,241,257,257,259,258
83,84,240,240,256,256,259,258
84,85,240,240,256,256,259,258
85,86,240,240,256,256,259,258
86,87,239,239,255,255,259,258
87,88,239,239,255,255,259,258
88,89,239,239,255,255,259,258
89,90,238,238,254,254,259,258
90,91,238,238,254,254,259,258
91,92,238,238,254,254,259,258
92,93,237,237,253,253,259,258
93,94,237,237,253,253,259,258
94,95,237,237,253,253,259,258
95,96,236,236,252,252,259,258
96,97,236,236,252,252,259,258
97,98,236,236,252,252,259,258
98,99,235,235,251,251,259,258
99,100,235,235,251,251,259,258
100,101,235,235,251,251,259,258
101,102,234,234,250,250,259,258
102,103,234,234,250,250,259,258
103,104,234,234,250,250,259,258
104,105,233,233,249,249,259,258
105,106,233,233,249,249,259,258
106,107,233,233,249,249,259,258
107,108,232,232,248,248,259,258
108,109,232,232,248,248,259,258
109,110,232,232,248,248,259,258
110,111,231,231,247,247,259,258
111,112,231,231,247,247,259,258
112,113,231,231,247,247,259,258
113,114,230,230,246,246,259,258
114,115,230,230,246,246,259,258
115,116,230,230,246,246,259,258
116,117,229,229,245,245,259,258
117,118,229,229,245,245,259,258
118,119,229,229,245,245,259,258
119,120,228,228,244,244,259,258
120,121,228,228,244,244,259,258
121,122,228,228,244,244,259,258
122,123,227,227,243,243,259,258
123,124,227,227,243,243,259,258
124,125,227,227,243,243,259,258
125,126,226,226,242,242,259,258
126,127,226,226,242,242,259,258
127,128,226,226,242,242,259,258
128,129,225,225,241,241,259,258
129,130,225,225,241,241,259,258
130,131,225,225,241,241,259,258
131,132,224,224,240,240,259,258
132,133,224,224,240,240,259,258
133,134,224,224,240,240,259,258
134,135,223,223,239,239,259,258
135,136,223,223,239,239,259,258
136,137,223,223,239,239,259,258
137,138,222,222,238,238,259,258
138,139,222,222,238,238,259,258
139,140,222,222,238,238,259,258
140,141,221,221,237,237,259,258
141,142,221,221,237,237,259,258
142,143,221,221,237,237,259,258
143,144,221,221,237,237,259,258
144,145,220,220,236,236,259,258
145,146,220,220,236,236,259,258
146,147,220,220,236,236,259,258
147,148,219,219,235,235,259,258
148,149,219,219,235,235,259,258
149,150,219,219,235,235,259,258
150,151,218,218,234,234,259,258
151,152,218,218,234,234,259,258
152,153,218,218,234,234,259,258
153,154,217,217,233,233,259,258
154,155,217,217,233,233,259,258
155,156,217,217,233,233,259,258
156,157,216,216,232,232,259,258
157,158,216,216,232,232,259,258
158,159,216,216,232,232,259,258
159,160,215,215,231,231,259,258
160,161,215,215,231,231,259,258
161,162,215,215,231,231,259,258
162,163,214,214,230,230,259,258
163,164,214,214,230,230,259,258
164,165,214,214,230,230,259,258
165,166,213,213,229,229,259,258
166,167,213,213,229,229,259,258
167,168,213,213,229,229,259,258
168,169,212,212,228,228,259,258
169,170,212,212,228,228,259,258
170,171,212,212,228,228,259,258
171,172,211,211,227,227,259,258
172,173,211,211,227,227,259,258
173,174,211,211,227,227,259,258
174,175,210,210,226,226,259,258
175,176,210,210,226,226,259,258
176,177,210,210,226,226,259,258
177,178,209,209,225,225,259,258
178,179,209,209,225,225,259,258
179,180,209,209,225,225,259,258
180,181,208,208,224,224,259,258
181,182,208,208,224,224,259,258
182,183,208,208,224,224,259,258
